epoch,stage,lr_pg0,lr_pg1,lr_pg2,train_box_loss,train_cls_loss,train_dfl_loss,kd_loss,reach_match_loss,reach_rank_loss,cmdistill_pcc_levels,cmdistill_slrd_tokens,cmdistill_ibcld_candidate_ratio,cmdistill_ibcld_fg_count,cmdistill_ibcld_teacher_conf_added_count,cmdistill_ibcld_cls_loss,cmdistill_ibcld_box_loss,cmdistill_pcc_loss,cmdistill_relation_loss,cmdistill_ibcld_loss,cmdistill_total_loss,bn_running_var_max,bn_running_var_mean,bn_running_var_p95,bn_running_mean_abs_max,bn_num_layers,bn_stats_mode,bn_stats_frozen_this_epoch,nonfinite_metrics_or_cmdistill,nonfinite_bn_stats,nan_or_inf_detected,grad_norm_total,grad_norm_backbone,grad_norm_neck,grad_norm_head,base_alpha_kd,effective_alpha_kd,kd_multiplier,kd_warmup_active,ladd_kd_decay_mode,ladd_kd_decay_start_epoch,ladd_kd_decay_end_epoch,ladd_kd_final_mult,ladd_kd_stop_after_epoch,b_loss_warmup_mode,b_loss_warmup_start_epoch,b_loss_warmup_end_epoch,b_loss_warmup_final_mult,b_loss_warmup_scope,b_loss_warmup_multiplier,b_loss_warmup_active,ladd_b_a2_core,ladd_b_det_only,ladd_a2_det_only,effective_alpha_s_rec,effective_alpha_sep,effective_lambda_residual_aux,effective_lambda_reach,effective_lambda_match_inner,effective_lambda_rank_inner
11,b,0.0029988551188174736,0.0009996183729391577,0.0029988551188174736,2.74222,2.08015,1.46547,1501.67737,0.00273,0.15337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.206920623779297,0.08848938345909119,0.2115694284439087,5.20912504196167,81,normal,0,1,0,1,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
12,b,0.0029986147311552363,0.000999538243718412,0.0029986147311552363,2.73049,2.07835,1.44912,1529.95081,0.00283,0.15338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.558998107910156,0.08852549642324448,0.2136656790971756,5.459568023681641,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
13,b,0.0029983514643185257,0.0009994504881061753,0.0029983514643185257,2.7067,2.06791,1.44568,1269.61121,0.00292,0.15339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.331287384033203,0.09419646114110947,0.23937632143497467,5.583866596221924,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
14,b,0.002998065322367242,0.0009993551074557474,0.002998065322367242,2.70727,2.07276,1.45273,1242.7478,0.00277,0.15337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.454570770263672,0.09710647910833359,0.2484028935432434,5.862779140472412,81,normal,0,1,0,1,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
15,b,0.002997756309714049,0.0009992521032380164,0.002997756309714049,2.6799,2.07376,1.4431,962.07074,0.00277,0.15337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.00052261352539,0.09922229498624802,0.2541171908378601,6.0581865310668945,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
16,b,0.002997424431124303,0.0009991414770414344,0.002997424431124303,2.68493,2.07654,1.44544,850.58508,0.00277,0.15337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.46190071105957,0.10404354333877563,0.27014803886413574,6.239675045013428,81,normal,0,1,0,1,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
17,b,0.0029970696917159833,0.0009990232305719944,0.0029970696917159833,2.68529,2.12336,1.44498,960.99072,0.00289,0.15339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.4404239654541,0.1076219454407692,0.28310975432395935,6.3577070236206055,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
18,b,0.00299669209695961,0.0009988973656532034,0.00299669209695961,2.69806,2.12539,1.43771,882.88568,0.00286,0.15338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.614696502685547,0.11070962995290756,0.28666263818740845,6.627824306488037,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
19,b,0.002996291652678161,0.0009987638842260537,0.002996291652678161,2.66088,2.14172,1.43963,690.37659,0.00292,0.15339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.199495315551758,0.1156587079167366,0.3132691979408264,7.320869445800781,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
20,b,0.002995868365046983,0.0009986227883489944,0.002995868365046983,2.66395,2.11361,1.4221,532.24457,0.003,0.1534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.66695785522461,0.11873746663331985,0.3183785676956177,7.545498847961426,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
21,b,0.002995422240593695,0.0009984740801978983,0.002995422240593695,2.67885,2.11479,1.42576,454.61133,0.00323,0.15344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.270158767700195,0.12018407136201859,0.31918200850486755,8.047002792358398,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
22,b,0.0029949532861980876,0.0009983177620660293,0.0029949532861980876,2.65829,2.0774,1.42225,389.97885,0.0032,0.15343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.46441650390625,0.12438255548477173,0.3376922905445099,7.978771209716797,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
23,b,0.0029944615090920176,0.000998153836364006,0.0029944615090920176,2.64423,2.08047,1.41685,344.9631,0.00375,0.15366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.76650047302246,0.12575598061084747,0.3368165194988251,8.213455200195312,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
24,b,0.002993946916859297,0.0009979823056197657,0.002993946916859297,2.6258,2.0395,1.39809,312.76828,0.00402,0.15377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.389690399169922,0.1271258443593979,0.34405016899108887,8.119573593139648,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
25,b,0.002993409517435574,0.0009978031724785245,0.002993409517435574,2.63433,2.06543,1.40806,301.09485,0.00469,0.1541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.9859619140625,0.12860284745693207,0.3538454473018646,8.278904914855957,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
26,b,0.0029928493191082126,0.0009976164397027375,0.0029928493191082126,2.6155,2.01935,1.40936,258.13318,0.00321,0.15343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.179588317871094,0.13133372366428375,0.3523188829421997,8.43767261505127,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
27,b,0.002992266330516164,0.0009974221101720546,0.002992266330516164,2.62961,2.02363,1.39319,239.4138,0.00312,0.15342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.706302642822266,0.13204117119312286,0.3565613925457001,8.862568855285645,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
28,b,0.002991660560649833,0.0009972201868832778,0.002991660560649833,2.61944,2.00937,1.37819,235.48734,0.00309,0.15342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.617830276489258,0.1344248354434967,0.36673688888549805,8.652536392211914,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
29,b,0.002991032018850942,0.000997010672950314,0.002991032018850942,2.61863,2.01791,1.38731,221.41052,0.00405,0.15394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.518945693969727,0.13701586425304413,0.36373111605644226,8.679129600524902,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
