method,role,status,active,progress,csv_rows,latest_epoch,latest_AP50-95,latest_AP50,best_AP50-95,best_epoch,late5,late10,late20,late50,latest_delta,late20_delta,epoch100_delta,positive_epochs,eta
det-only-3090,baseline,baseline,yes,548/800,548/800,548,0.51959,0.78301,0.51959,548,0.518788,0.518176,0.5166485,0.5121896000000001,,,,NA,2026-06-25 20:15
singleproj,candidate,PROMISING_EARLY,yes,437/800,437/800,437,0.5039,0.77334,0.50408,432,0.503844,0.503798,0.5026149999999999,0.49887280000000006,0.01545000000000002,0.016816000000000005,0.00043999999999999595,398/437,2026-06-26 00:43
wo_s_rec,candidate,PROMISING_EARLY,yes,464/800,464/800,464,0.5118,0.77853,0.5118,464,0.51102,0.51039,0.5089214999999999,0.5046266,0.016430000000000056,0.015350000000000013,0.0036399999999999766,442/464,2026-06-25 23:38
plain,candidate,PROMISING_EARLY,yes,335/800,335/800,335,0.47729,0.74007,0.47729,335,0.476448,0.475098,0.47258400000000006,0.46506480000000006,0.016189999999999982,0.014738499999999993,0.006220000000000003,313/335,2026-06-26 04:49
reach_rawinput,candidate,PROMISING_EARLY,yes,311/800,311/800,311,0.46816,0.72784,0.46816,311,0.467064,0.46584699999999996,0.46371199999999996,0.45744460000000003,0.015620000000000023,0.013680999999999995,0.01085999999999998,290/311,2026-06-26 05:47
capR2,candidate,WATCH,yes,113/800,113/800,113,0.36049,0.60529,0.36049,113,0.359576,0.358319,0.3556565,0.3448475999999999,0.007050000000000001,0.006715499999999994,0.006220000000000003,91/113,2026-06-26 13:46
capR4,candidate,WATCH,yes,115/800,115/800,115,0.35933,0.60498,0.35933,115,0.358062,0.356437,0.3536495,0.3435154,0.0041100000000000025,0.003561499999999998,0.003149999999999986,72/115,2026-06-26 13:41
combo_singleproj_raw,candidate,pre100,yes,20/800,20/800,20,0.15741,0.35821,0.15741,20,0.145812,0.135712,0.098279,0.098279,-0.009209999999999996,-0.0029865000000000017,,6/20,2026-06-26 17:31
combo_raw_wo_srec,candidate,pre100,yes,22/800,22/800,22,0.15128,0.333,0.17061,21,0.157058,0.145759,0.109742,0.10237727272727272,-0.01693,-0.0038335,,6/22,2026-06-26 17:26
