dataset,server_or_source,method_or_run,rows,latest_epoch,latest_map5095,latest_map50,best_map5095,best_epoch,late5_map5095,late10_map5095,late20_map5095,late50_map5095,relative_path
DroneVehicle/sub2k_or_curves,local,dynamic,72,72.0,0.33411,0.57638,0.33411,72.0,0.332042,0.328931,0.32015150000000003,0.2776714,evidence/local/dronevehicle_method_search_20260623/plot_data/ogsod_e800_current_curves_20260624/data/ogsod_e800_dynamic_results.csv
DroneVehicle/sub2k_or_curves,local,ProbeA,123,123.0,0.36608,0.61246,0.36608,123.0,0.36502,0.36360000000000003,0.36030700000000004,0.3518674,evidence/local/dronevehicle_method_search_20260623/plot_data/ogsod_e800_current_curves_20260624/data/ogsod_e800_probeA_results.csv
DroneVehicle/sub2k_or_curves,local,baseline,791,791.0,0.62952,0.92604,0.63006,787.0,0.629906,0.629835,0.629605,0.6293922,evidence/local/dronevehicle_method_search_20260623/plot_data/ogsod_e800_current_curves_20260624/data/ogsod_rgb_baseline_results.csv
DroneVehicle/sub2k_or_curves,local,baseline,800,800.0,0.55127,0.8234,0.55654,734.0,0.551508,0.551624,0.5516755,0.5527758,evidence/local/dronevehicle_method_search_20260623/plot_data/ogsod_e800_current_curves_20260624/data/ogsod_sar_baseline_results.csv
DroneVehicle/sub2k_or_curves,local,detonly/control,177,177.0,0.3881,0.63102,0.3881,177.0,0.386474,0.38505500000000004,0.38231950000000003,0.37443420000000005,evidence/local/dronevehicle_method_search_20260623/plot_data/ogsod_e800_current_curves_20260624/data_latest_ssh/ogsod_e800_detonly_results.csv
DroneVehicle/sub2k_or_curves,local,dynamic,84,84.0,0.34375,0.58887,0.34375,84.0,0.342008,0.340279,0.3357535,0.3083484,evidence/local/dronevehicle_method_search_20260623/plot_data/ogsod_e800_current_curves_20260624/data_latest_ssh/ogsod_e800_dynamic_results.csv
DroneVehicle/sub2k_or_curves,local,ProbeA,135,135.0,0.37248,0.61957,0.37248,135.0,0.371274,0.369909,0.3673095,0.3586692,evidence/local/dronevehicle_method_search_20260623/plot_data/ogsod_e800_current_curves_20260624/data_latest_ssh/ogsod_e800_probeA_results.csv
DroneVehicle/sub2k_or_curves,local,baseline,800,800.0,0.55127,0.8234,0.55654,734.0,0.551508,0.551624,0.5516755,0.5527758,evidence/local/dronevehicle_method_search_20260623/plot_data/ogsod_e800_current_curves_20260624/data_latest_ssh/ogsod_sar_baseline_results.csv
DroneVehicle/sub2k_or_curves,local,ProbeA,200,200.0,0.25568,0.45131,0.25755,182.0,0.25573199999999996,0.255503,0.255431,0.2539142,evidence/local/dronevehicle_method_search_20260623/plot_data/probeA_curves/img256_detonly_control.csv
DroneVehicle/sub2k_or_curves,local,ProbeA,200,200.0,0.32321,0.51159,0.32846,150.0,0.323492,0.323543,0.323573,0.3235284,evidence/local/dronevehicle_method_search_20260623/plot_data/probeA_curves/img256_ir_teacher.csv
DroneVehicle/sub2k_or_curves,local,ProbeA,200,200.0,0.25568,0.44846,0.2566,171.0,0.255082,0.255101,0.2551565,0.2546642,evidence/local/dronevehicle_method_search_20260623/plot_data/probeA_curves/img256_probeA.csv
DroneVehicle/sub2k_or_curves,local,ProbeA,200,200.0,0.24939,0.43565,0.24956,179.0,0.249156,0.24899300000000002,0.24871300000000002,0.2477074,evidence/local/dronevehicle_method_search_20260623/plot_data/probeA_curves/img256_rgb_baseline.csv
