cos_probe_u,cos_probe_z,fg_ratio,learnability_gap_direct_mean,learnability_gap_direct_median,learnability_gap_direct_q25,learnability_gap_direct_q75,learnability_gap_probe,learnability_positive_ratio,level,mse_probe_u,mse_probe_z,r2_probe_u,r2_probe_z,task_auc_u,task_auc_z,task_ce_u,task_ce_z,tokens
0.8207192420959473,0.9969248175621033,0.001953125,2.258949041366577,2.26170015335083,2.1823084354400635,2.34086012840271,0.3186402246034623,1.0,P3,0.17088450491428375,0.11500133574008942,0.6662525235075305,0.9848927481109928,1.0,1.0,0.002406278998934792,0.005646204946720224,512
0.8759188055992126,0.9923815727233887,0.00390625,2.4318325519561768,2.44533634185791,2.290771484375,2.5996406078338623,0.21469201473325072,1.0,P4,0.12537409365177155,0.1101323813199997,0.7428380364748427,0.9575300512080934,1.0,1.0,0.0004832096777685449,7.9182550448181e-05,512
0.9264929294586182,0.9973376989364624,0.0078125,2.077650785446167,2.084996223449707,2.060129165649414,2.1045165061950684,0.11592881711153047,1.0,P5,0.0778384581208229,0.03277808800339699,0.8380937442911364,0.9540225614026668,1.0,0.9960629921259843,0.013767246372512212,0.011678421682595384,256
