server,group,run_name,rank_d_neg_cap,normalize_reach,capR_effectively_enabled_computed,kd_weight_mode,kd_target_branch,alpha_kd,alpha_s_rec,lambda_reach,lambda_match_inner,lambda_rank_inner,reach_input_mode,teacher_feature_mode,student_branch_mode,use_fg_mask_for_reach,shuffle_teacher_pairs,diagnostic_rows,last_cap_saturation_ratio,last_rank_active_ratio,last_kd_reach_active_ratio,command_source,run_dir
ladd4090-zw1,ogsod_nomosaic_autodl_condition,ogsod_nomix_yolo_detonly_existingcache_yolo11n_e700_b64_img256_s0_20260624_105706_b,,,False,,,,,,,,,,,,,2,,,,,/root/shared-nvme/LADD_public/runs_public/dronevehicle_method_search/ogsod_nomosaic_autodl_condition/yolo_detonly/ogsod_nomix_yolo_detonly_existingcache_yolo11n_e700_b64_img256_s0_20260624_105706_b
ladd4090-zw1,ogsod_nomosaic_autodl_condition,ogsod_nomix_yolo_detonly_existingcache_yolo11n_e800_b64_img256_s0_20260624_110207_b,,,False,,,,,,,,,,,,,526,,,,,/root/shared-nvme/LADD_public/runs_public/dronevehicle_method_search/ogsod_nomosaic_autodl_condition/yolo_detonly/ogsod_nomix_yolo_detonly_existingcache_yolo11n_e800_b64_img256_s0_20260624_110207_b
ladd4090-zw1,ogsod_nomosaic_autodl_condition,ogsod_nomix_yolo_dynamic_existingcache_yolo11n_e800_b64_img256_s0_20260624_125211_b,,,False,,,,,,,,,,,,,367,,,,,/root/shared-nvme/LADD_public/runs_public/dronevehicle_method_search/ogsod_nomosaic_autodl_condition/yolo_dynamic/ogsod_nomix_yolo_dynamic_existingcache_yolo11n_e800_b64_img256_s0_20260624_125211_b
ladd4090-zw1,ogsod_nomosaic_autodl_condition,ogsod_nomix_yolo_probeA_existingcache_yolo11n_e800_b64_img256_s0_20260624_113044_b,,,False,,,,,,,,,,,,,423,,,,,/root/shared-nvme/LADD_public/runs_public/dronevehicle_method_search/ogsod_nomosaic_autodl_condition/yolo_probeA/ogsod_nomix_yolo_probeA_existingcache_yolo11n_e800_b64_img256_s0_20260624_113044_b
ladd4090-zw1,ogsod_nomosaic_autodl_condition,ogsod_nomix_yolo_probeA_oldcommit6f663c6b_existingcache_yolo11n_e700_b64_img256_s0_20260624_154303_b,,,False,,,,,,,,,,,,,215,,,,,/root/shared-nvme/LADD_public/runs_public/dronevehicle_method_search/ogsod_nomosaic_autodl_condition/yolo_probeA_oldcommit6f663c6b/ogsod_nomix_yolo_probeA_oldcommit6f663c6b_existingcache_yolo11n_e700_b64_img256_s0_20260624_154303_b
ladd4090-zw1,yoloinit_dynamic_sweep_20260624,ogsod_yoloinit_dynamic_kd0p5_yoloinit_yolo11n_e800_b64_img256_s0_20260624_210844_gpu0,2.0,,True,none,,0.5,0.1,1.0,1.0,1.0,adapter,decomposed,split,True,,99,,,,/root/shared-nvme/LADD_public/logs/ogsod_yoloinit_dynamic_sweep_20260624/dynamic_kd0p5_yoloinit_gpu0_20260624_210844/ogsod_yoloinit_dynamic_kd0p5_yoloinit_yolo11n_e800_b64_img256_s0_20260624_210844_gpu0.cmd.sh,/root/shared-nvme/LADD_public/runs_public/ogsod/hbb/yoloinit_dynamic_sweep_20260624/dynamic_kd0p5_yoloinit/yolo11n/seed0/ogsod_yoloinit_dynamic_kd0p5_yoloinit_yolo11n_e800_b64_img256_s0_20260624_210844_gpu0
ladd4090-zw1,yoloinit_dynamic_sweep_20260624,ogsod_yoloinit_dynamic_reach0p5_yoloinit_yolo11n_e800_b64_img256_s0_20260624_210844_gpu0,2.0,,True,none,,1.0,0.1,0.5,0.5,0.5,adapter,decomposed,split,True,,99,,,,/root/shared-nvme/LADD_public/logs/ogsod_yoloinit_dynamic_sweep_20260624/dynamic_reach0p5_yoloinit_gpu0_20260624_210844/ogsod_yoloinit_dynamic_reach0p5_yoloinit_yolo11n_e800_b64_img256_s0_20260624_210844_gpu0.cmd.sh,/root/shared-nvme/LADD_public/runs_public/ogsod/hbb/yoloinit_dynamic_sweep_20260624/dynamic_reach0p5_yoloinit/yolo11n/seed0/ogsod_yoloinit_dynamic_reach0p5_yoloinit_yolo11n_e800_b64_img256_s0_20260624_210844_gpu0
ladd4090-zw1,yoloinit_dynamic_sweep_20260624,ogsod_yoloinit_dynamic_srec0p05_yoloinit_yolo11n_e800_b64_img256_s0_20260624_210844_gpu1,2.0,,True,none,,1.0,0.05,1.0,1.0,1.0,adapter,decomposed,split,True,,94,,,,/root/shared-nvme/LADD_public/logs/ogsod_yoloinit_dynamic_sweep_20260624/dynamic_srec0p05_yoloinit_gpu1_20260624_210844/ogsod_yoloinit_dynamic_srec0p05_yoloinit_yolo11n_e800_b64_img256_s0_20260624_210844_gpu1.cmd.sh,/root/shared-nvme/LADD_public/runs_public/ogsod/hbb/yoloinit_dynamic_sweep_20260624/dynamic_srec0p05_yoloinit/yolo11n/seed0/ogsod_yoloinit_dynamic_srec0p05_yoloinit_yolo11n_e800_b64_img256_s0_20260624_210844_gpu1
ladd4090-zw1,yoloinit_dynamic_sweep_20260624,ogsod_yoloinit_dynamic_teacher_projectedraw_yoloinit_yolo11n_e800_b64_img256_s0_20260624_210844_gpu1,2.0,,True,none,,1.0,0.1,1.0,1.0,1.0,adapter,projected_raw,split,True,,112,,,,/root/shared-nvme/LADD_public/logs/ogsod_yoloinit_dynamic_sweep_20260624/dynamic_teacher_projectedraw_yoloinit_gpu1_20260624_210844/ogsod_yoloinit_dynamic_teacher_projectedraw_yoloinit_yolo11n_e800_b64_img256_s0_20260624_210844_gpu1.cmd.sh,/root/shared-nvme/LADD_public/runs_public/ogsod/hbb/yoloinit_dynamic_sweep_20260624/dynamic_teacher_projectedraw_yoloinit/yolo11n/seed0/ogsod_yoloinit_dynamic_teacher_projectedraw_yoloinit_yolo11n_e800_b64_img256_s0_20260624_210844_gpu1
ladd4090-zw1,yoloinit_resume_fixed_20260625,ogsod_yoloinit_detonly_resume_fixed_bestep484_e800_b64_img256_s0_20260625_021121_gpu0,,,False,,,,,,,,,,,,,45,,,,/root/shared-nvme/LADD_public/debug/resume_fix_relaunch_20260625/cmds/ogsod_yoloinit_detonly_resume_fixed_bestep484_e800_b64_img256_s0_20260625_021121_gpu0.cmd.sh,/root/shared-nvme/LADD_public/runs_public/ogsod/hbb/yoloinit_resume_fixed_20260625/detonly/yolo11n/seed0/ogsod_yoloinit_detonly_resume_fixed_bestep484_e800_b64_img256_s0_20260625_021121_gpu0
ladd4090-zw1,yoloinit_resume_fixed_20260625,ogsod_yoloinit_dynamic_resume_fixed_bestep326_e800_b64_img256_s0_20260625_021121_gpu1,,,False,,,,,,,,,,,,,36,,,,/root/shared-nvme/LADD_public/debug/resume_fix_relaunch_20260625/cmds/ogsod_yoloinit_dynamic_resume_fixed_bestep326_e800_b64_img256_s0_20260625_021121_gpu1.cmd.sh,/root/shared-nvme/LADD_public/runs_public/ogsod/hbb/yoloinit_resume_fixed_20260625/dynamic/yolo11n/seed0/ogsod_yoloinit_dynamic_resume_fixed_bestep326_e800_b64_img256_s0_20260625_021121_gpu1
ladd4090-zw1,yoloinit_resume_fixed_20260625,ogsod_yoloinit_dynamic_kd0p5_resume_fixed_bestep60_e800_b64_img256_s0_20260625_021121_gpu0,,,False,,,,,,,,,,,,,36,,,,/root/shared-nvme/LADD_public/debug/resume_fix_relaunch_20260625/cmds/ogsod_yoloinit_dynamic_kd0p5_resume_fixed_bestep60_e800_b64_img256_s0_20260625_021121_gpu0.cmd.sh,/root/shared-nvme/LADD_public/runs_public/ogsod/hbb/yoloinit_resume_fixed_20260625/dynamic_kd0p5/yolo11n/seed0/ogsod_yoloinit_dynamic_kd0p5_resume_fixed_bestep60_e800_b64_img256_s0_20260625_021121_gpu0
ladd4090-zw1,yoloinit_resume_fixed_20260625,ogsod_yoloinit_dynamic_reach0p5_resume_fixed_bestep61_e800_b64_img256_s0_20260625_021121_gpu0,,,False,,,,,,,,,,,,,36,,,,/root/shared-nvme/LADD_public/debug/resume_fix_relaunch_20260625/cmds/ogsod_yoloinit_dynamic_reach0p5_resume_fixed_bestep61_e800_b64_img256_s0_20260625_021121_gpu0.cmd.sh,/root/shared-nvme/LADD_public/runs_public/ogsod/hbb/yoloinit_resume_fixed_20260625/dynamic_reach0p5/yolo11n/seed0/ogsod_yoloinit_dynamic_reach0p5_resume_fixed_bestep61_e800_b64_img256_s0_20260625_021121_gpu0
ladd4090-zw1,yoloinit_resume_fixed_20260625,ogsod_yoloinit_dynamic_srec0p05_resume_fixed_bestep57_e800_b64_img256_s0_20260625_021121_gpu1,,,False,,,,,,,,,,,,,36,,,,/root/shared-nvme/LADD_public/debug/resume_fix_relaunch_20260625/cmds/ogsod_yoloinit_dynamic_srec0p05_resume_fixed_bestep57_e800_b64_img256_s0_20260625_021121_gpu1.cmd.sh,/root/shared-nvme/LADD_public/runs_public/ogsod/hbb/yoloinit_resume_fixed_20260625/dynamic_srec0p05/yolo11n/seed0/ogsod_yoloinit_dynamic_srec0p05_resume_fixed_bestep57_e800_b64_img256_s0_20260625_021121_gpu1
ladd4090-zw1,yoloinit_resume_fixed_20260625,ogsod_yoloinit_dynamic_teacher_projectedraw_resume_fixed_bestep64_e800_b64_img256_s0_20260625_021121_gpu1,,,False,,,,,,,,,,,,,40,,,,/root/shared-nvme/LADD_public/debug/resume_fix_relaunch_20260625/cmds/ogsod_yoloinit_dynamic_teacher_projectedraw_resume_fixed_bestep64_e800_b64_img256_s0_20260625_021121_gpu1.cmd.sh,/root/shared-nvme/LADD_public/runs_public/ogsod/hbb/yoloinit_resume_fixed_20260625/dynamic_teacher_projectedraw/yolo11n/seed0/ogsod_yoloinit_dynamic_teacher_projectedraw_resume_fixed_bestep64_e800_b64_img256_s0_20260625_021121_gpu1
ladd4090-zw1,yoloinit_resume_fixed_20260625,ogsod_yoloinit_probeA_resume_fixed_bestep383_e800_b64_img256_s0_20260625_021121_gpu0,,,False,,,,,,,,,,,,,33,,,,/root/shared-nvme/LADD_public/debug/resume_fix_relaunch_20260625/cmds/ogsod_yoloinit_probeA_resume_fixed_bestep383_e800_b64_img256_s0_20260625_021121_gpu0.cmd.sh,/root/shared-nvme/LADD_public/runs_public/ogsod/hbb/yoloinit_resume_fixed_20260625/probeA/yolo11n/seed0/ogsod_yoloinit_probeA_resume_fixed_bestep383_e800_b64_img256_s0_20260625_021121_gpu0
