epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,1901.73,2.12574,1.30889,1.14737,0.56867,0.50213,0.50656,0.25933,2.03917,1.18549,1.09337,0.0299038,0.00996794,0.0299038,0.00996794,0.0299038,0.00996794,0.0299038,0.00996794
31,1967.09,2.11472,1.30084,1.14659,0.57778,0.49963,0.51207,0.26546,2.00501,1.16797,1.08277,0.0298971,0.00996569,0.0298971,0.00996569,0.0298971,0.00996569,0.0298971,0.00996569
32,2030.46,2.09117,1.27498,1.13562,0.57314,0.51028,0.5214,0.27267,1.98011,1.15041,1.07343,0.0298901,0.00996337,0.0298901,0.00996337,0.0298901,0.00996337,0.0298901,0.00996337
33,2094.91,2.07853,1.26837,1.13529,0.55733,0.51002,0.51306,0.26786,2.02447,1.15646,1.08516,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
34,2158.24,2.07184,1.25629,1.12618,0.5555,0.52783,0.52817,0.27598,1.99446,1.12915,1.07124,0.0298755,0.00995849,0.0298755,0.00995849,0.0298755,0.00995849,0.0298755,0.00995849
35,2222.03,2.06166,1.23639,1.11937,0.57312,0.53716,0.54483,0.29342,1.92912,1.09225,1.05605,0.0298678,0.00995594,0.0298678,0.00995594,0.0298678,0.00995594,0.0298678,0.00995594
36,2286.71,2.05275,1.22461,1.1148,0.59199,0.53861,0.5479,0.2947,1.92759,1.08746,1.05764,0.02986,0.00995332,0.02986,0.00995332,0.02986,0.00995332,0.02986,0.00995332
37,2350.25,2.03001,1.20938,1.1096,0.60072,0.53459,0.54931,0.29583,1.91378,1.07427,1.05053,0.0298519,0.00995062,0.0298519,0.00995062,0.0298519,0.00995062,0.0298519,0.00995062
38,2413.36,2.02002,1.20381,1.10532,0.62083,0.54524,0.56204,0.30277,1.88454,1.06149,1.04253,0.0298435,0.00994784,0.0298435,0.00994784,0.0298435,0.00994784,0.0298435,0.00994784
39,2476.33,2.01575,1.18529,1.10369,0.61802,0.55234,0.57356,0.31397,1.87406,1.03845,1.03718,0.029835,0.00994499,0.029835,0.00994499,0.029835,0.00994499,0.029835,0.00994499
40,2540.05,1.99288,1.17491,1.0946,0.6312,0.55708,0.57579,0.31715,1.84897,1.03044,1.03035,0.0298262,0.00994206,0.0298262,0.00994206,0.0298262,0.00994206,0.0298262,0.00994206
41,2604.03,1.98525,1.16261,1.08803,0.61416,0.57175,0.58565,0.32306,1.83658,1.01948,1.02555,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
42,2667.48,1.96826,1.14959,1.08318,0.61796,0.56603,0.5843,0.32425,1.83481,1.01225,1.02297,0.0298079,0.00993598,0.0298079,0.00993598,0.0298079,0.00993598,0.0298079,0.00993598
43,2732.33,1.96162,1.13735,1.08397,0.62198,0.57612,0.59576,0.33093,1.81111,0.99277,1.0173,0.0297985,0.00993282,0.0297985,0.00993282,0.0297985,0.00993282,0.0297985,0.00993282
44,2797.15,1.94935,1.13199,1.07627,0.63895,0.57224,0.59546,0.33405,1.79327,0.98249,1.01188,0.0297888,0.0099296,0.0297888,0.0099296,0.0297888,0.0099296,0.0297888,0.0099296
45,2860.33,1.94849,1.13135,1.07781,0.62362,0.59364,0.60537,0.34187,1.77268,0.97173,1.00607,0.0297789,0.00992629,0.0297789,0.00992629,0.0297789,0.00992629,0.0297789,0.00992629
46,2925.17,1.93261,1.11188,1.06935,0.63297,0.59139,0.60215,0.33893,1.77618,0.9672,1.00484,0.0297687,0.00992291,0.0297687,0.00992291,0.0297687,0.00992291,0.0297687,0.00992291
47,2988.39,1.93247,1.11197,1.07024,0.64468,0.59585,0.60942,0.34403,1.76071,0.95371,1.0005,0.0297584,0.00991946,0.0297584,0.00991946,0.0297584,0.00991946,0.0297584,0.00991946
48,3051.73,1.91545,1.10222,1.06032,0.64247,0.59956,0.61122,0.34774,1.75232,0.94909,0.99586,0.0297478,0.00991593,0.0297478,0.00991593,0.0297478,0.00991593,0.0297478,0.00991593
49,3114.7,1.90988,1.08946,1.06177,0.64919,0.60055,0.6158,0.35121,1.73485,0.93812,0.99291,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
50,3177.57,1.89828,1.08471,1.0576,0.65516,0.59863,0.61995,0.35654,1.72059,0.93095,0.98952,0.0297259,0.00990864,0.0297259,0.00990864,0.0297259,0.00990864,0.0297259,0.00990864
51,3241.11,1.88592,1.06628,1.05584,0.65225,0.60512,0.62157,0.36035,1.7119,0.92311,0.98625,0.0297147,0.00990489,0.0297147,0.00990489,0.0297147,0.00990489,0.0297147,0.00990489
52,3304.35,1.88539,1.0675,1.04988,0.6606,0.60688,0.6287,0.36552,1.69944,0.91804,0.98187,0.0297032,0.00990106,0.0297032,0.00990106,0.0297032,0.00990106,0.0297032,0.00990106
53,3369.25,1.87075,1.06212,1.04994,0.65938,0.61226,0.63144,0.36819,1.69095,0.91307,0.97952,0.0296915,0.00989715,0.0296915,0.00989715,0.0296915,0.00989715,0.0296915,0.00989715
54,3433.64,1.87105,1.05809,1.04523,0.66093,0.61462,0.63564,0.37213,1.68375,0.90475,0.9785,0.0296795,0.00989317,0.0296795,0.00989317,0.0296795,0.00989317,0.0296795,0.00989317
55,3497.03,1.84091,1.04416,1.03606,0.67214,0.61485,0.63899,0.3753,1.67652,0.89605,0.97581,0.0296674,0.00988912,0.0296674,0.00988912,0.0296674,0.00988912,0.0296674,0.00988912
56,3560.14,1.85045,1.03783,1.03637,0.67401,0.62314,0.6422,0.37788,1.66571,0.89003,0.97171,0.029655,0.00988499,0.029655,0.00988499,0.029655,0.00988499,0.029655,0.00988499
57,3622.74,1.83145,1.03071,1.03317,0.67887,0.62157,0.64274,0.37993,1.65114,0.88269,0.96797,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079
58,3685.72,1.83095,1.02415,1.03253,0.68233,0.62104,0.64513,0.38253,1.63961,0.87478,0.96553,0.0296295,0.00987651,0.0296295,0.00987651,0.0296295,0.00987651,0.0296295,0.00987651
59,3749.43,1.82559,1.02096,1.02979,0.68236,0.62436,0.65088,0.38488,1.63064,0.8685,0.96347,0.0296165,0.00987216,0.0296165,0.00987216,0.0296165,0.00987216,0.0296165,0.00987216
60,3812.09,1.82269,1.01984,1.02445,0.6893,0.63023,0.65246,0.38736,1.62143,0.86138,0.96079,0.0296032,0.00986773,0.0296032,0.00986773,0.0296032,0.00986773,0.0296032,0.00986773
61,3875.87,1.81699,1.01011,1.02539,0.69158,0.63154,0.65421,0.38811,1.61301,0.85672,0.95936,0.0295897,0.00986323,0.0295897,0.00986323,0.0295897,0.00986323,0.0295897,0.00986323
62,3939.05,1.80677,1.00295,1.0253,0.69851,0.63274,0.65565,0.39032,1.60276,0.85055,0.95715,0.029576,0.00985866,0.029576,0.00985866,0.029576,0.00985866,0.029576,0.00985866
63,4004.49,1.80167,1.00252,1.01889,0.69954,0.63634,0.65769,0.39265,1.59587,0.84628,0.95558,0.029562,0.00985401,0.029562,0.00985401,0.029562,0.00985401,0.029562,0.00985401
64,4067.5,1.79114,0.99431,1.01675,0.70468,0.63912,0.66041,0.39495,1.58999,0.84185,0.9538,0.0295479,0.00984928,0.0295479,0.00984928,0.0295479,0.00984928,0.0295479,0.00984928
65,4130.45,1.78331,0.98083,1.01912,0.71114,0.63948,0.66228,0.39605,1.58326,0.83816,0.95187,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
66,4195.13,1.78808,0.99084,1.01579,0.71727,0.63739,0.66305,0.39779,1.57958,0.83546,0.95046,0.0295188,0.00983962,0.0295188,0.00983962,0.0295188,0.00983962,0.0295188,0.00983962
67,4259.08,1.77647,0.98212,1.01832,0.71796,0.63907,0.66576,0.40001,1.57382,0.83124,0.94879,0.029504,0.00983467,0.029504,0.00983467,0.029504,0.00983467,0.029504,0.00983467
68,4322.51,1.76736,0.97315,1.00798,0.71599,0.63986,0.66655,0.40209,1.5703,0.82839,0.94755,0.029489,0.00982965,0.029489,0.00982965,0.029489,0.00982965,0.029489,0.00982965
69,4385.13,1.76376,0.96729,1.00799,0.72002,0.6408,0.66952,0.40454,1.56466,0.82426,0.94578,0.0294737,0.00982456,0.0294737,0.00982456,0.0294737,0.00982456,0.0294737,0.00982456
70,4448.73,1.74688,0.95661,1.00367,0.72252,0.64294,0.67108,0.40559,1.56028,0.82191,0.94406,0.0294582,0.00981939,0.0294582,0.00981939,0.0294582,0.00981939,0.0294582,0.00981939
71,4511.11,1.74823,0.96069,1.00507,0.72335,0.64499,0.67391,0.40663,1.55616,0.81925,0.94287,0.0294425,0.00981415,0.0294425,0.00981415,0.0294425,0.00981415,0.0294425,0.00981415
72,4574.5,1.7495,0.94783,1.00205,0.72223,0.64837,0.67497,0.40826,1.55166,0.81662,0.94155,0.0294265,0.00980884,0.0294265,0.00980884,0.0294265,0.00980884,0.0294265,0.00980884
73,4638.55,1.73172,0.94824,0.99806,0.72653,0.64661,0.67593,0.40962,1.54733,0.81371,0.94021,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345
74,4701.69,1.73992,0.94688,0.99587,0.72264,0.65081,0.67683,0.41097,1.54345,0.8113,0.93923,0.029394,0.00979799,0.029394,0.00979799,0.029394,0.00979799,0.029394,0.00979799
75,4764.17,1.73093,0.94061,0.99495,0.72368,0.65051,0.67853,0.41172,1.5408,0.8089,0.93833,0.0293774,0.00979246,0.0293774,0.00979246,0.0293774,0.00979246,0.0293774,0.00979246
76,4827.82,1.72196,0.93554,0.99217,0.7242,0.65129,0.6784,0.41295,1.53679,0.80614,0.93746,0.0293606,0.00978685,0.0293606,0.00978685,0.0293606,0.00978685,0.0293606,0.00978685
77,4891.71,1.7212,0.93099,0.99637,0.72186,0.65326,0.67925,0.41412,1.53379,0.80408,0.93653,0.0293435,0.00978118,0.0293435,0.00978118,0.0293435,0.00978118,0.0293435,0.00978118
78,4954.57,1.70384,0.92674,0.98683,0.72764,0.65214,0.68019,0.41463,1.53039,0.80176,0.93538,0.0293263,0.00977542,0.0293263,0.00977542,0.0293263,0.00977542,0.0293263,0.00977542
79,5017.88,1.71464,0.93114,0.98744,0.72757,0.65743,0.68285,0.41569,1.52692,0.79953,0.93463,0.0293088,0.0097696,0.0293088,0.0097696,0.0293088,0.0097696,0.0293088,0.0097696
80,5081.27,1.70412,0.921,0.98923,0.7312,0.65621,0.684,0.41687,1.52476,0.79778,0.93432,0.0292911,0.0097637,0.0292911,0.0097637,0.0292911,0.0097637,0.0292911,0.0097637
