epoch,time,train/s_box_loss,train/s_cls_loss,train/s_dfl_loss,train/t_box_loss,train/t_cls_loss,train/t_dfl_loss,train/cclkd_loss,train/cclkd_lld_loss,train/cclkd_fld_loss,train/cclkd_rld_loss,train/cclkd_ccl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/s_box_loss,val/s_cls_loss,val/s_dfl_loss,val/t_box_loss,val/t_cls_loss,val/t_dfl_loss,val/cclkd_loss,val/cclkd_lld_loss,val/cclkd_fld_loss,val/cclkd_rld_loss,val/cclkd_ccl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
18,3186.73,2.37169,1.60504,1.2085,1.89689,1.08921,1.06227,4.17317,3.4628,0.11954,0.00116,0.58967,0.429144,0.370081,0.359122,0.167627,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0298678,0.00995594,0.0298678,0.00995594,0.0298678,0.00995594,0.0298678,0.00995594
19,3366.14,2.35753,1.59095,1.20396,1.89785,1.08433,1.05953,4.08653,3.37798,0.12408,0.00107,0.5834,0.456324,0.398826,0.37411,0.171097,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0298519,0.00995062,0.0298519,0.00995062,0.0298519,0.00995062,0.0298519,0.00995062
20,3546.66,2.3501,1.57471,1.1968,1.87819,1.0685,1.05311,4.42332,3.71196,0.12097,0.00117,0.58921,0.431548,0.357628,0.353164,0.165068,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.029835,0.00994499,0.029835,0.00994499,0.029835,0.00994499,0.029835,0.00994499
21,3725.49,2.33844,1.56344,1.1904,1.86874,1.05899,1.04759,4.06935,3.35267,0.1322,0.00129,0.5832,0.500833,0.391227,0.397441,0.184971,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
22,3890.73,2.32666,1.53886,1.18431,1.85931,1.03771,1.0449,3.9948,3.24489,0.12134,0.00117,0.6274,0.473085,0.404937,0.395917,0.191736,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0297985,0.00993282,0.0297985,0.00993282,0.0297985,0.00993282,0.0297985,0.00993282
23,4053.15,2.30812,1.50266,1.17631,1.84855,1.04335,1.03781,3.89819,3.18905,0.12323,0.00119,0.58473,0.481886,0.420666,0.416876,0.195313,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0297789,0.00992629,0.0297789,0.00992629,0.0297789,0.00992629,0.0297789,0.00992629
24,4216.14,2.28818,1.4946,1.17053,1.84306,1.02469,1.03525,3.89557,3.16798,0.11988,0.00121,0.6065,0.484286,0.425722,0.421116,0.202269,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0297584,0.00991946,0.0297584,0.00991946,0.0297584,0.00991946,0.0297584,0.00991946
25,4380.19,2.27822,1.48906,1.17039,1.8303,1.01892,1.03856,3.81287,3.11485,0.11341,0.00114,0.58348,0.499467,0.428155,0.428717,0.20354,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
26,4543.95,2.26626,1.46643,1.15951,1.82567,1.0139,1.02862,3.79943,3.13401,0.11188,0.00119,0.55236,0.506141,0.437646,0.441952,0.216774,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0297147,0.00990489,0.0297147,0.00990489,0.0297147,0.00990489,0.0297147,0.00990489
27,4707.43,2.25531,1.45451,1.16091,1.80977,0.99884,1.02472,3.87233,3.18853,0.11285,0.00125,0.56971,0.538749,0.438822,0.454628,0.226022,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0296915,0.00989715,0.0296915,0.00989715,0.0296915,0.00989715,0.0296915,0.00989715
