epoch,time,train/s_box_loss,train/s_cls_loss,train/s_dfl_loss,train/t_box_loss,train/t_cls_loss,train/t_dfl_loss,train/cclkd_loss,train/cclkd_lld_loss,train/cclkd_fld_loss,train/cclkd_rld_loss,train/cclkd_ccl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/s_box_loss,val/s_cls_loss,val/s_dfl_loss,val/t_box_loss,val/t_cls_loss,val/t_dfl_loss,val/cclkd_loss,val/cclkd_lld_loss,val/cclkd_fld_loss,val/cclkd_rld_loss,val/cclkd_ccl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
18,2850.44,2.36771,1.60816,1.20876,1.90106,1.09153,1.06586,3.42511,3.29746,0.12646,0.00119,0,0.441945,0.369442,0.362814,0.164635,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0298678,0.00995594,0.0298678,0.00995594,0.0298678,0.00995594,0.0298678,0.00995594
19,3004.12,2.35483,1.57832,1.20106,1.89655,1.0836,1.06241,3.50001,3.37986,0.11897,0.00118,0,0.415305,0.390438,0.372368,0.171582,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0298519,0.00995062,0.0298519,0.00995062,0.0298519,0.00995062,0.0298519,0.00995062
20,3161.15,2.34209,1.57436,1.19659,1.88153,1.07165,1.05591,3.45596,3.33015,0.12462,0.00119,0,0.459742,0.387994,0.372707,0.172218,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.029835,0.00994499,0.029835,0.00994499,0.029835,0.00994499,0.029835,0.00994499
21,3317.08,2.32935,1.54628,1.18766,1.86924,1.06072,1.04959,3.36264,3.24108,0.12039,0.00118,0,0.500224,0.406117,0.400277,0.185152,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
22,3472.78,2.32147,1.53133,1.1824,1.86414,1.04865,1.04908,3.2988,3.16884,0.12868,0.00128,0,0.441535,0.4002,0.382593,0.182564,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0297985,0.00993282,0.0297985,0.00993282,0.0297985,0.00993282,0.0297985,0.00993282
23,3629.13,2.30122,1.5095,1.18055,1.85162,1.04018,1.04376,3.25573,3.13164,0.12277,0.00132,0,0.484354,0.401726,0.402013,0.192254,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0297789,0.00992629,0.0297789,0.00992629,0.0297789,0.00992629,0.0297789,0.00992629
24,3785.73,2.28598,1.49158,1.17409,1.84181,1.02716,1.03902,3.15736,3.03415,0.12194,0.00126,0,0.447567,0.393423,0.386074,0.189066,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0297584,0.00991946,0.0297584,0.00991946,0.0297584,0.00991946,0.0297584,0.00991946
25,3943.43,2.26942,1.48246,1.17282,1.82967,1.02588,1.03578,3.07817,2.95735,0.11958,0.00124,0,0.486387,0.430316,0.419556,0.200323,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
26,4101.91,2.26403,1.46413,1.16129,1.82599,1.0189,1.0301,3.13443,3.01558,0.11756,0.00129,0,0.48903,0.436557,0.43183,0.213297,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0297147,0.00990489,0.0297147,0.00990489,0.0297147,0.00990489,0.0297147,0.00990489
27,4260.43,2.2517,1.44641,1.1611,1.81113,0.99693,1.02855,3.06552,2.9515,0.11272,0.0013,0,0.520619,0.446132,0.446262,0.221345,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0296915,0.00989715,0.0296915,0.00989715,0.0296915,0.00989715,0.0296915,0.00989715
