epoch,time,train/s_box_loss,train/s_cls_loss,train/s_dfl_loss,train/t_box_loss,train/t_cls_loss,train/t_dfl_loss,train/cclkd_loss,train/cclkd_lld_loss,train/cclkd_fld_loss,train/cclkd_rld_loss,train/cclkd_ccl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/s_box_loss,val/s_cls_loss,val/s_dfl_loss,val/t_box_loss,val/t_cls_loss,val/t_dfl_loss,val/cclkd_loss,val/cclkd_lld_loss,val/cclkd_fld_loss,val/cclkd_rld_loss,val/cclkd_ccl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
19,2815.76,2.34787,1.57621,1.20777,1.89273,1.08285,1.05767,1.69921,1.69921,0,0,0,0.434668,0.388576,0.36336,0.16858,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0298519,0.00995062,0.0298519,0.00995062,0.0298519,0.00995062,0.0298519,0.00995062
20,2966.81,2.33885,1.56128,1.20521,1.88079,1.07886,1.05337,1.6435,1.6435,0,0,0,0.475491,0.389392,0.378353,0.172741,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.029835,0.00994499,0.029835,0.00994499,0.029835,0.00994499,0.029835,0.00994499
21,3121.53,2.33043,1.55128,1.19645,1.87216,1.06481,1.04652,1.661,1.661,0,0,0,0.488224,0.405827,0.400346,0.184457,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
22,3277.65,2.31746,1.53151,1.19542,1.86075,1.04687,1.04518,1.61508,1.61508,0,0,0,0.443942,0.413531,0.395257,0.186311,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0297985,0.00993282,0.0297985,0.00993282,0.0297985,0.00993282,0.0297985,0.00993282
23,3437.71,2.29298,1.50845,1.18408,1.84772,1.04262,1.0393,1.54737,1.54737,0,0,0,0.467368,0.40693,0.403338,0.193916,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0297789,0.00992629,0.0297789,0.00992629,0.0297789,0.00992629,0.0297789,0.00992629
24,3588.64,2.28078,1.48863,1.17781,1.83271,1.02595,1.03288,1.57568,1.57568,0,0,0,0.466839,0.416036,0.412208,0.19751,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0297584,0.00991946,0.0297584,0.00991946,0.0297584,0.00991946,0.0297584,0.00991946
25,3744.11,2.27011,1.48313,1.17381,1.83045,1.0251,1.03402,1.55529,1.55529,0,0,0,0.518241,0.428684,0.432184,0.207901,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
26,3892.95,2.26869,1.46379,1.16776,1.82323,1.01134,1.02734,1.54,1.54,0,0,0,0.525037,0.434337,0.441514,0.217168,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0297147,0.00990489,0.0297147,0.00990489,0.0297147,0.00990489,0.0297147,0.00990489
27,4043.93,2.24128,1.44404,1.16268,1.81523,1.00271,1.0271,1.46493,1.46493,0,0,0,0.523882,0.446128,0.452332,0.22437,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0296915,0.00989715,0.0296915,0.00989715,0.0296915,0.00989715,0.0296915,0.00989715
28,4195.33,2.22141,1.41801,1.15415,1.80006,0.9909,1.02067,1.4384,1.4384,0,0,0,0.487672,0.461017,0.457946,0.230937,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0296674,0.00988912,0.0296674,0.00988912,0.0296674,0.00988912,0.0296674,0.00988912
