epoch,time,train/s_box_loss,train/s_cls_loss,train/s_dfl_loss,train/t_box_loss,train/t_cls_loss,train/t_dfl_loss,train/cclkd_loss,train/cclkd_lld_loss,train/cclkd_fld_loss,train/cclkd_rld_loss,train/cclkd_ccl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/s_box_loss,val/s_cls_loss,val/s_dfl_loss,val/t_box_loss,val/t_cls_loss,val/t_dfl_loss,val/cclkd_loss,val/cclkd_lld_loss,val/cclkd_fld_loss,val/cclkd_rld_loss,val/cclkd_ccl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
18,2676.24,2.37016,1.61301,1.21228,1.89822,1.09407,1.06021,1.91985,1.73808,0.18169,8e-05,0,0.486736,0.369561,0.374641,0.172395,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0298678,0.00995594,0.0298678,0.00995594,0.0298678,0.00995594,0.0298678,0.00995594
19,2827.28,2.36015,1.58926,1.2104,1.89234,1.08469,1.06063,1.95404,1.78346,0.17051,7e-05,0,0.485196,0.378208,0.375854,0.172756,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0298519,0.00995062,0.0298519,0.00995062,0.0298519,0.00995062,0.0298519,0.00995062
20,2979.77,2.35035,1.57727,1.20881,1.87608,1.06637,1.05385,1.88789,1.72275,0.16506,8e-05,0,0.455995,0.383971,0.37234,0.176535,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.029835,0.00994499,0.029835,0.00994499,0.029835,0.00994499,0.029835,0.00994499
21,3136.1,2.33724,1.55595,1.19664,1.87146,1.05829,1.04886,1.87209,1.70178,0.17023,8e-05,0,0.493532,0.392771,0.391755,0.180252,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
22,3294.02,2.33228,1.53954,1.19375,1.85723,1.04124,1.04366,1.87636,1.69805,0.17823,8e-05,0,0.441448,0.37757,0.364996,0.174209,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0297985,0.00993282,0.0297985,0.00993282,0.0297985,0.00993282,0.0297985,0.00993282
23,3455.52,2.31003,1.519,1.18603,1.85387,1.03428,1.04124,1.79916,1.61981,0.17927,8e-05,0,0.500385,0.414031,0.415224,0.196338,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0297789,0.00992629,0.0297789,0.00992629,0.0297789,0.00992629,0.0297789,0.00992629
24,3607.89,2.28877,1.49662,1.17867,1.83913,1.02,1.03523,1.74671,1.57466,0.17197,7e-05,0,0.483175,0.413171,0.417463,0.199743,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0297584,0.00991946,0.0297584,0.00991946,0.0297584,0.00991946,0.0297584,0.00991946
25,3765,2.28037,1.48688,1.17943,1.8298,1.01874,1.03819,1.78076,1.59274,0.18795,8e-05,0,0.507853,0.431458,0.434204,0.209756,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
26,3916.09,2.27328,1.46423,1.16923,1.82902,1.01351,1.02954,1.74632,1.57656,0.16969,8e-05,0,0.511147,0.434003,0.438845,0.213938,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0297147,0.00990489,0.0297147,0.00990489,0.0297147,0.00990489,0.0297147,0.00990489
27,4069.67,2.25901,1.45754,1.17,1.81185,1.00576,1.02481,1.70317,1.53247,0.17062,8e-05,0,0.511223,0.45689,0.449101,0.223033,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0296915,0.00989715,0.0296915,0.00989715,0.0296915,0.00989715,0.0296915,0.00989715
