chain_key,label,protocol,model,seed,method,status,phase,epochs_recorded,best_epoch_in_phase,best_map,last_epoch_in_phase,last_map,sar_baseline_best,sar_baseline_final,best_minus_sar_best,last_minus_sar_final,source_path,notes
chain_nomosaic_original_s0,n original/no-cap2 s0,formal_nomosaic,n,0,original,complete,A1,10,1,0.55654,10,0.55654,0.55654,0.55127,0.0,0.005269999999999997,ladd/results/converged_mainline_ladd_20260613/source/no_mosaic_90/n_original/ladd_hbb_ogsod11n_formal_nomosaic_yolo11n_original_s0_a2mu1e3_a1_e10_b64_s0_gpu4/results.csv,highest n no-mosaic best; diagnostic no-cap2 reference
chain_nomosaic_original_s0,n original/no-cap2 s0,formal_nomosaic,n,0,original,complete,A2,50,49,0.56291,50,0.56217,0.55654,0.55127,0.006369999999999987,0.01089999999999991,ladd/results/converged_mainline_ladd_20260613/source/no_mosaic_90/n_original/ladd_hbb_ogsod11n_formal_nomosaic_yolo11n_original_s0_a2mu1e3_a2_e50_b64_s0_gpu4/results.csv,highest n no-mosaic best; diagnostic no-cap2 reference
chain_nomosaic_original_s0,n original/no-cap2 s0,formal_nomosaic,n,0,original,complete,B,800,730,0.57821,800,0.57517,0.55654,0.55127,0.021669999999999967,0.02389999999999992,ladd/results/converged_mainline_ladd_20260613/source/no_mosaic_90/n_original/ladd_hbb_ogsod11n_formal_nomosaic_yolo11n_original_s0_a2mu1e3_b_e800_b64_s0_gpu4/results.csv,highest n no-mosaic best; diagnostic no-cap2 reference
chain_nomosaic_cap2_s0_a2mu,n cap2 s0 no-BN-freeze,formal_nomosaic,n,0,cap2_a2mu1e3,complete,A1,10,1,0.55654,10,0.55654,0.55654,0.55127,0.0,0.005269999999999997,ladd/results/converged_mainline_ladd_20260613/source/no_mosaic_90/n_cap2/ladd_hbb_ogsod11n_formal_nomosaic_yolo11n_cap2_s0_a2mu1e3_a1_e10_b64_s0_gpu6/results.csv,healthy no-BN-freeze seed0
chain_nomosaic_cap2_s0_a2mu,n cap2 s0 no-BN-freeze,formal_nomosaic,n,0,cap2_a2mu1e3,complete,A2,50,49,0.56273,50,0.562,0.55654,0.55127,0.006189999999999918,0.010730000000000017,ladd/results/converged_mainline_ladd_20260613/source/no_mosaic_90/n_cap2/ladd_hbb_ogsod11n_formal_nomosaic_yolo11n_cap2_s0_a2mu1e3_a2_e50_b64_s0_gpu6/results.csv,healthy no-BN-freeze seed0
chain_nomosaic_cap2_s0_a2mu,n cap2 s0 no-BN-freeze,formal_nomosaic,n,0,cap2_a2mu1e3,complete,B,800,725,0.57662,800,0.57504,0.55654,0.55127,0.020079999999999987,0.023769999999999958,ladd/results/converged_mainline_ladd_20260613/source/no_mosaic_90/n_cap2/ladd_hbb_ogsod11n_formal_nomosaic_yolo11n_cap2_s0_a2mu1e3_b_e800_b64_s0_gpu6/results.csv,healthy no-BN-freeze seed0
chain_nomosaic_cap2_s42_a2mu,n cap2 s42 no-BN-freeze,formal_nomosaic,n,42,cap2_a2mu1e3,complete,A1,10,1,0.55794,10,0.55794,0.55794,0.55444,0.0,0.0034999999999999476,ladd/results/converged_mainline_ladd_20260613/source/no_mosaic_90/n_cap2/ladd_hbb_ogsod11n_formal_nomosaic_yolo11n_cap2_s42_a2mu1e3_a1_e10_b64_s42_gpu4/results.csv,healthy no-BN-freeze seed42
chain_nomosaic_cap2_s42_a2mu,n cap2 s42 no-BN-freeze,formal_nomosaic,n,42,cap2_a2mu1e3,complete,A2,50,44,0.56198,50,0.56141,0.55794,0.55444,0.0040400000000000436,0.006969999999999921,ladd/results/converged_mainline_ladd_20260613/source/no_mosaic_90/n_cap2/ladd_hbb_ogsod11n_formal_nomosaic_yolo11n_cap2_s42_a2mu1e3_a2_e50_b64_s42_gpu4/results.csv,healthy no-BN-freeze seed42
chain_nomosaic_cap2_s42_a2mu,n cap2 s42 no-BN-freeze,formal_nomosaic,n,42,cap2_a2mu1e3,complete,B,800,735,0.5742,800,0.57293,0.55794,0.55444,0.016260000000000052,0.018490000000000006,ladd/results/converged_mainline_ladd_20260613/source/no_mosaic_90/n_cap2/ladd_hbb_ogsod11n_formal_nomosaic_yolo11n_cap2_s42_a2mu1e3_b_e800_b64_s42_gpu4/results.csv,healthy no-BN-freeze seed42
chain_nomosaic_cap2_s123_old,n cap2 s123 old-B crash,formal_nomosaic,n,123,cap2_old_b,nan_crash,A1,10,1,0.56128,10,0.56128,0.56128,0.56076,0.0,0.0005199999999999649,ladd/results/converged_mainline_ladd_20260613/source/no_mosaic_90/n_cap2/ladd_hbb_ogsod11n_formal_nomosaic_yolo11n_cap2_s123_a2mu1e3_a1_e10_b64_s123_gpu5/results.csv,A1/A2 are healthy; old B path crashes after entering B
chain_nomosaic_cap2_s123_old,n cap2 s123 old-B crash,formal_nomosaic,n,123,cap2_old_b,nan_crash,A2,50,50,0.56574,50,0.56574,0.56128,0.56076,0.0044600000000000195,0.0049799999999999844,ladd/results/converged_mainline_ladd_20260613/source/no_mosaic_90/n_cap2/ladd_hbb_ogsod11n_formal_nomosaic_yolo11n_cap2_s123_a2mu1e3_a2_e50_b64_s123_gpu5/results.csv,A1/A2 are healthy; old B path crashes after entering B
