key,label,model,phase,family,epochs,best_epoch,best_map,last_epoch,last_map,best_final_drop,baseline_best,baseline_final,safe_threshold,best_minus_baseline_best,last_minus_baseline_final,source_path,include_in_main_table
s_alpha05_b400,s alphaKD0.5 B400,s,B,s_b,400,218,0.63074,400,0.61802,0.012719999999999954,0.62897,0.62233,0.62697,0.0017699999999999383,-0.004310000000000036,ladd/results/capacity_kd_20260611/alpha0p5_b400/b_results.csv,True
s_alpha025_b400,s alphaKD0.25 B400,s,B,s_b,400,199,0.63027,400,0.61719,0.01307999999999998,0.62897,0.62233,0.62697,0.0012999999999999678,-0.005140000000000033,ladd/results/capacity_kd_20260611/alpha0p25_b400/b_results.csv,True
s_bdetonly_r2_b400,s B det-only r2 B400,s,B,s_b,400,226,0.63025,400,0.61923,0.01102000000000003,0.62897,0.62233,0.62697,0.0012799999999999478,-0.0031000000000001027,ladd/results/a2_damage_20260612/final_evidence/runs/s_B_detonly_r2_B400/results.csv,True
s_select_bdetonly200,s short13 + B det-only200,s,B,s_b,200,84,0.62436,200,0.6188,0.005560000000000009,0.62897,0.62233,0.62697,-0.004610000000000003,-0.003530000000000033,ladd/results/ladd_curve_analysis_20260612/source/runs_public_ladd/yolo11s/cap2/ladd_hbb_ogsod11s_formal_nomosaic_yolo11s_cap2_s0_diag_a2select_s_s0_a2lr3e4_short13_bdetonly200_b_e200_b64_s0_gpu0/results.csv,True
s_repair_weakkd01_b120,s repair weakKD0.1 B120,s,B,s_b,120,10,0.62827,120,0.62267,0.005600000000000049,0.62897,0.62233,0.62697,-0.0007000000000000339,0.00033999999999989594,ladd/results/repair_experiments_20260613/evidence/main_4090/runs/s_weakkd0p1_b120_b32retry2/unknown/ladd_hbb_ogsod11s_formal_nomosaic_yolo11s_cap2_s0_fix_s_s0_a2lr3e4_short13_bweakKD0p1_b120_b32retry2_b_e120_b32_s0_gpu0/results.csv,True
s_repair_detonlylr1e4_b120,s repair det-only lr1e-4 B120,s,B,s_b,120,13,0.63125,120,0.62556,0.005689999999999973,0.62897,0.62233,0.62697,0.0022799999999999487,0.003229999999999955,ladd/results/repair_experiments_20260613/evidence/main_4090/runs/s_detonly_lr1e4_b120/unknown/ladd_hbb_ogsod11s_formal_nomosaic_yolo11s_cap2_s0_fix_s_s0_a2lr3e4_short13_bdetonly_lr1e4_b120_b_e120_b64_s0_gpu1/results.csv,True
m_a2_probe,m A2 probe full50,m,A2,m_a2,50,10,0.65026,50,0.63725,0.013009999999999966,0.6558,0.64903,0.6538,-0.0055400000000001,-0.011780000000000013,ladd/results/capacity_kd_20260611/m_a2_probe/a2_results.csv,True
m_a2_detonly,m A2 det-only full50,m,A2,m_a2,50,4,0.64521,50,0.63892,0.006289999999999907,0.6558,0.64903,0.6538,-0.0105900000000001,-0.010109999999999952,ladd/results/a2_damage_20260612/final_evidence/runs/m_A2_detonly_A2/results.csv,True
m_a2_lr3e4_retry2,m A2 lr3e-4 retry2 interrupted,m,A2,m_a2,40,4,0.64707,40,0.64123,0.005840000000000067,0.6558,0.64903,0.6538,-0.008730000000000016,-0.007800000000000029,ladd/results/a2_damage_20260612/final_evidence/runs/m_A2_lr3e4_retry2_A2_incomplete/results.csv,True
m_a2_lr3e4_full50_retry3,m A2 lr3e-4 full50 retry3,m,A2,m_a2,50,8,0.64611,50,0.63911,0.007000000000000006,0.6558,0.64903,0.6538,-0.009690000000000087,-0.00992000000000004,ladd/results/a2_selection_20260612/current_evidence/runs/m_A2_lr3e4_full50_retry3_B1_A2/results.csv,True
m_a2_short10,m A2 short10,m,A2,m_a2,10,4,0.64411,10,0.64276,0.0013499999999999623,0.6558,0.64903,0.6538,-0.01169000000000009,-0.006269999999999998,ladd/results/a2_selection_20260612/current_evidence/runs/m_A2_short10_B1_A2/results.csv,True
m_a2_lr3e4_short10,m A2 lr3e-4 short10,m,A2,m_a2,10,4,0.64929,10,0.6399,0.00939000000000001,0.6558,0.64903,0.6538,-0.006510000000000016,-0.009129999999999971,ladd/results/a2_selection_20260612/current_evidence/runs/m_A2_lr3e4_short10_B1_A2/results.csv,True
m_repair_lr3e4_short4,m repair lr3e-4 short4,m,A2,m_a2,4,4,0.64325,4,0.64325,0.0,0.6558,0.64903,0.6538,-0.012550000000000061,-0.005780000000000007,ladd/results/repair_experiments_20260613/evidence/main_4090/runs/m_lr3e4_short4_b1/unknown/ladd_hbb_ogsod11m_formal_nomosaic_yolo11m_cap2_s0_fix_m_s0_a2lr3e4_short4_b1_a2_e4_b32_s0_gpu1/results.csv,True
m_repair_lr1e4_short5,m repair lr1e-4 short5,m,A2,m_a2,5,2,0.64735,5,0.64416,0.003190000000000026,0.6558,0.64903,0.6538,-0.008450000000000069,-0.004870000000000041,ladd/results/repair_experiments_20260613/evidence/main_4090/runs/m_lr1e4_short5_b1/unknown/ladd_hbb_ogsod11m_formal_nomosaic_yolo11m_cap2_s0_fix_m_s0_a2lr1e4_short5_b1_a2_e5_b32_s0_gpu1/results.csv,True
m_repair_freezebn_short4_autodl,m repair freezeBN short4 AutoDL,m,A2,m_a2,4,4,0.64189,4,0.64189,0.0,0.6558,0.64903,0.6538,-0.013910000000000089,-0.007140000000000035,ladd/results/repair_experiments_20260613/evidence/autodl/runs/autodl_m_short4_freezebn/unknown/ladd_hbb_ogsod11m_formal_nomosaic_yolo11m_cap2_s0_fix_m_s0_a2lr3e4_short4_freezeBN_b1_autodl_retry1_a2_e4_b32_s0_gpu0/results.csv,True
