comparison_set,protocol,variant,model,seeds_included,n_included_in_performance_mean,attempted_runs_reference,attempted_seeds_reference,best_mean,last_mean,baseline_best_mean,baseline_final_mean,best_gain_mean,final_gain_mean,best_final_drop_mean,included_runs,excluded_from_performance_mean,exclusion_rule,notes
n_cap2_main_overlap,mosaic100_close100,cap2 normal BN,n,"0,42,123",3,3,"0,42,123",0.56601,0.56333,0.54091,0.53836,0.0251,0.02497,0.00268,mosaic_cap2_s0;mosaic_cap2_s42;mosaic_cap2_s123,,"performance mean includes only healthy/complete runs; crash, NaN and known late-regression runs are excluded and counted in stability table",三 seed 都健康完成；可作为 mosaic cap2 性能均值。
n_legacy_context,mosaic100_close100,legacy normal BN,n,"0,42,123",3,3,"0,42,123",0.56631,0.56259,0.54091,0.53836,0.0254,0.02423,0.00371,mosaic_legacy_s0;mosaic_legacy_s42;mosaic_legacy_s123,,"performance mean includes only healthy/complete runs; crash, NaN and known late-regression runs are excluded and counted in stability table",三 seed 都健康完成；作为旧 legacy 方法背景。
n_cap2_main_overlap,formal_nomosaic_800,cap2 normal BN healthy only,n,"0,42",2,4,"0,42,123",0.57541,0.57398,0.55724,0.55286,0.01817,0.02113,0.00142,nomosaic_cap2_s0_a2mu;nomosaic_cap2_s42_a2mu,nomosaic_cap2_s123_old_crash;nomosaic_cap2_s123_bstable,"performance mean includes only healthy/complete runs; crash, NaN and known late-regression runs are excluded and counted in stability table",只计算 seed0/42 两条健康完成 run；seed123 的 collapse/late-regression 不进性能均值。
n_cap2_stabilized_overlap,formal_nomosaic_800,cap2 BN-freeze,n,"0,42,123",3,3,"0,42,123",0.57387,0.57256,0.55859,0.55549,0.01528,0.01707,0.00131,nomosaic_cap2_s0_bnfreeze;nomosaic_cap2_s42_bnfreeze;nomosaic_cap2_s123_bnfreeze,,"performance mean includes only healthy/complete runs; crash, NaN and known late-regression runs are excluded and counted in stability table",三 seed 都健康完成；这是 no-mosaic 稳定化后的三 seed 性能均值。
n_original_context,formal_nomosaic_800,original normal BN,n,0,1,1,0,0.57821,0.57517,0.55654,0.55127,0.02167,0.0239,0.00304,nomosaic_original_s0,,"performance mean includes only healthy/complete runs; crash, NaN and known late-regression runs are excluded and counted in stability table",单 seed 健康高点，只作背景，不和三 seed 均值混算。
