source,model,seed,stage,run_name,epoch,ap50,ap,best_ap_so_far,best_epoch_so_far,train_box_loss,train_cls_loss,train_dfl_loss,lr_pg0
4090dual,yolo11n,42,b,ladd_hbb_ogsod11n_formal_nomosaic_yolo11n_cap2_s42_bnfreeze1e3_public4090dual_final_v2_b_e800_b64_s42_gpu0,1,0.816640,0.538500,0.538500,1,0.977940,0.496790,0.825510,0.00300000
4090dual,yolo11n,42,b,ladd_hbb_ogsod11n_formal_nomosaic_yolo11n_cap2_s42_bnfreeze1e3_public4090dual_final_v2_b_e800_b64_s42_gpu0,2,0.811550,0.525960,0.538500,1,0.995590,0.502200,0.825980,0.00299999
4090dual,yolo11n,42,b,ladd_hbb_ogsod11n_formal_nomosaic_yolo11n_cap2_s42_bnfreeze1e3_public4090dual_final_v2_b_e800_b64_s42_gpu0,10,0.817530,0.539850,0.544940,3,1.023700,0.509360,0.829830,0.00299907
4090dual,yolo11n,42,b,ladd_hbb_ogsod11n_formal_nomosaic_yolo11n_cap2_s42_bnfreeze1e3_public4090dual_final_v2_b_e800_b64_s42_gpu0,50,0.827740,0.551590,0.554120,42,1.040230,0.515600,0.833780,0.00297259
4090dual,yolo11n,42,b,ladd_hbb_ogsod11n_formal_nomosaic_yolo11n_cap2_s42_bnfreeze1e3_public4090dual_final_v2_b_e800_b64_s42_gpu0,100,0.836880,0.562400,0.562670,96,1.029830,0.512380,0.833530,0.00288918
4090dual,yolo11n,42,b,ladd_hbb_ogsod11n_formal_nomosaic_yolo11n_cap2_s42_bnfreeze1e3_public4090dual_final_v2_b_e800_b64_s42_gpu0,150,0.841050,0.567370,0.567610,145,1.028220,0.507320,0.832640,0.00275296
4090dual,yolo11n,42,b,ladd_hbb_ogsod11n_formal_nomosaic_yolo11n_cap2_s42_bnfreeze1e3_public4090dual_final_v2_b_e800_b64_s42_gpu0,200,0.846200,0.572490,0.572490,200,1.014850,0.502490,0.827340,0.00256917
4090dual,yolo11n,42,b,ladd_hbb_ogsod11n_formal_nomosaic_yolo11n_cap2_s42_bnfreeze1e3_public4090dual_final_v2_b_e800_b64_s42_gpu0,263,0.849280,0.573450,0.574170,253,0.992100,0.489370,0.827130,0.00228094
4090dual,yolo11n,42,b,ladd_hbb_ogsod11n_formal_nomosaic_yolo11n_cap2_s42_bnfreeze1e3_public4090dual_final_v2_b_e800_b64_s42_gpu0,300,0.850280,0.575430,0.575430,300,0.982040,0.485010,0.821900,0.00208867
4090dual,yolo11n,42,b,ladd_hbb_ogsod11n_formal_nomosaic_yolo11n_cap2_s42_bnfreeze1e3_public4090dual_final_v2_b_e800_b64_s42_gpu0,400,0.854920,0.576150,0.576150,400,0.940580,0.466650,0.819060,0.00152083
4090dual,yolo11n,42,b,ladd_hbb_ogsod11n_formal_nomosaic_yolo11n_cap2_s42_bnfreeze1e3_public4090dual_final_v2_b_e800_b64_s42_gpu0,500,0.853330,0.573900,0.576150,400,0.890020,0.442390,0.815670,0.00095211
4090dual,yolo11n,42,b,ladd_hbb_ogsod11n_formal_nomosaic_yolo11n_cap2_s42_bnfreeze1e3_public4090dual_final_v2_b_e800_b64_s42_gpu0,600,0.852940,0.573490,0.576150,400,0.851240,0.425940,0.812200,0.00046908
4090dual,yolo11n,42,b,ladd_hbb_ogsod11n_formal_nomosaic_yolo11n_cap2_s42_bnfreeze1e3_public4090dual_final_v2_b_e800_b64_s42_gpu0,700,0.851920,0.572820,0.576150,400,0.827420,0.417350,0.808150,0.00014528
4090dual,yolo11n,42,b,ladd_hbb_ogsod11n_formal_nomosaic_yolo11n_cap2_s42_bnfreeze1e3_public4090dual_final_v2_b_e800_b64_s42_gpu0,800,0.851550,0.572950,0.576150,400,0.817710,0.412170,0.806890,0.00003001
