epoch,time,train/s_box_loss,train/s_cls_loss,train/s_dfl_loss,train/t_box_loss,train/t_cls_loss,train/t_dfl_loss,train/cclkd_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/s_box_loss,val/s_cls_loss,val/s_dfl_loss,val/t_box_loss,val/t_cls_loss,val/t_dfl_loss,val/cclkd_loss,lr/pg0,lr/pg1,lr/pg2
30,6177.7,2.39472,1.80077,1.19851,2.19822,1.93885,1.16759,0.31114,0.486833,0.391604,0.391086,0.187852,nan,nan,nan,nan,nan,nan,nan,0.00928225,0.00928225,0.00928225
31,6383.44,2.37186,1.76867,1.19719,2.18368,1.90333,1.16738,0.29771,0.475141,0.39323,0.392543,0.190606,nan,nan,nan,nan,nan,nan,nan,0.0092575,0.0092575,0.0092575
32,6595.24,2.37062,1.75721,1.19496,2.1779,1.89709,1.16795,0.31447,0.478304,0.394404,0.391403,0.19158,nan,nan,nan,nan,nan,nan,nan,0.00923275,0.00923275,0.00923275
33,6799.95,2.38867,1.77533,1.19795,2.17421,1.87854,1.15704,0.30246,0.48036,0.40398,0.402132,0.199503,nan,nan,nan,nan,nan,nan,nan,0.009208,0.009208,0.009208
34,7005.87,2.35461,1.74924,1.1896,2.15939,1.86436,1.15529,0.29245,0.445046,0.413358,0.398204,0.195013,nan,nan,nan,nan,nan,nan,nan,0.00918325,0.00918325,0.00918325
35,7213.68,2.36045,1.74215,1.1882,2.16201,1.83884,1.15727,0.30703,0.499036,0.414571,0.412831,0.202572,nan,nan,nan,nan,nan,nan,nan,0.0091585,0.0091585,0.0091585
36,7419.29,2.36822,1.74042,1.18394,2.16236,1.84701,1.14701,0.31873,0.504027,0.417746,0.417203,0.208354,nan,nan,nan,nan,nan,nan,nan,0.00913375,0.00913375,0.00913375
37,7636.03,2.35246,1.73843,1.18591,2.1489,1.83068,1.15308,0.29635,0.494152,0.43257,0.422531,0.210981,nan,nan,nan,nan,nan,nan,nan,0.009109,0.009109,0.009109
38,7849.7,2.36273,1.74082,1.18569,2.16022,1.84027,1.15257,0.31228,0.490221,0.417968,0.416095,0.209697,nan,nan,nan,nan,nan,nan,nan,0.00908425,0.00908425,0.00908425
39,8062.19,2.32689,1.71106,1.18269,2.12984,1.81016,1.15181,0.30347,0.505635,0.427595,0.426637,0.213893,nan,nan,nan,nan,nan,nan,nan,0.0090595,0.0090595,0.0090595
40,8271.27,2.32902,1.71205,1.17681,2.129,1.78888,1.14656,0.2905,0.507511,0.428,0.427405,0.213307,nan,nan,nan,nan,nan,nan,nan,0.00903475,0.00903475,0.00903475
41,8491.84,2.34288,1.70185,1.17902,2.1377,1.78607,1.1479,0.29213,0.512077,0.429464,0.428768,0.218029,nan,nan,nan,nan,nan,nan,nan,0.00901,0.00901,0.00901
42,8710.78,2.321,1.71179,1.18342,2.1159,1.77195,1.14808,0.30221,0.496496,0.43379,0.436435,0.225035,nan,nan,nan,nan,nan,nan,nan,0.00898525,0.00898525,0.00898525
43,8911.18,2.32712,1.68639,1.16633,2.142,1.77023,1.14074,0.29138,0.506508,0.433655,0.435797,0.223115,nan,nan,nan,nan,nan,nan,nan,0.0089605,0.0089605,0.0089605
44,9122.32,2.30911,1.69222,1.17413,2.11754,1.76342,1.14352,0.3035,0.508571,0.436315,0.434535,0.220712,nan,nan,nan,nan,nan,nan,nan,0.00893575,0.00893575,0.00893575
45,9336.02,2.32689,1.68461,1.16675,2.14095,1.76189,1.14413,0.28546,0.518711,0.437706,0.441975,0.224611,nan,nan,nan,nan,nan,nan,nan,0.008911,0.008911,0.008911
46,9549.31,2.33437,1.68584,1.16909,2.13408,1.74973,1.14352,0.2947,0.502896,0.441882,0.440694,0.227716,nan,nan,nan,nan,nan,nan,nan,0.00888625,0.00888625,0.00888625
47,9760.88,2.30289,1.67203,1.17255,2.09929,1.72382,1.14136,0.29503,0.525376,0.440241,0.44691,0.231441,nan,nan,nan,nan,nan,nan,nan,0.0088615,0.0088615,0.0088615
48,9973.12,2.28734,1.66526,1.16945,2.10731,1.73612,1.14393,0.28963,0.522235,0.439148,0.448402,0.231047,nan,nan,nan,nan,nan,nan,nan,0.00883675,0.00883675,0.00883675
49,10182.7,2.30603,1.66246,1.16566,2.10754,1.72211,1.14105,0.2857,0.526511,0.439962,0.448823,0.234089,nan,nan,nan,nan,nan,nan,nan,0.008812,0.008812,0.008812
50,10393.1,2.30733,1.65003,1.15985,2.11123,1.70774,1.13683,0.28353,0.530376,0.445735,0.453437,0.238006,nan,nan,nan,nan,nan,nan,nan,0.00878725,0.00878725,0.00878725
51,10606.7,2.28936,1.64232,1.15749,2.10209,1.7017,1.13937,0.28885,0.542773,0.450545,0.458352,0.239876,nan,nan,nan,nan,nan,nan,nan,0.0087625,0.0087625,0.0087625
52,10809.8,2.30129,1.64823,1.158,2.10269,1.70463,1.13866,0.28554,0.547093,0.449085,0.458595,0.24169,nan,nan,nan,nan,nan,nan,nan,0.00873775,0.00873775,0.00873775
53,11028,2.29036,1.64611,1.15836,2.09519,1.6993,1.13846,0.28497,0.533025,0.457968,0.460539,0.243525,nan,nan,nan,nan,nan,nan,nan,0.008713,0.008713,0.008713
54,11245.7,2.30117,1.64853,1.1586,2.10524,1.70165,1.13917,0.28138,0.532736,0.458269,0.463994,0.244699,nan,nan,nan,nan,nan,nan,nan,0.00868825,0.00868825,0.00868825
55,11455.1,2.28098,1.63422,1.15709,2.08669,1.68607,1.14132,0.28113,0.545063,0.456175,0.467296,0.246944,nan,nan,nan,nan,nan,nan,nan,0.0086635,0.0086635,0.0086635
56,11670.6,2.26787,1.61974,1.15334,2.08106,1.68113,1.14178,0.28774,0.548248,0.454669,0.468809,0.247712,nan,nan,nan,nan,nan,nan,nan,0.00863875,0.00863875,0.00863875
57,11882.5,2.27268,1.61761,1.14764,2.09411,1.67785,1.13797,0.27417,0.546097,0.456946,0.468535,0.247822,nan,nan,nan,nan,nan,nan,nan,0.008614,0.008614,0.008614
58,12106.9,2.25081,1.61312,1.15897,2.07957,1.67003,1.14651,0.2738,0.545423,0.462804,0.470158,0.24905,nan,nan,nan,nan,nan,nan,nan,0.00858925,0.00858925,0.00858925
59,12318.5,2.26507,1.62691,1.15325,2.09308,1.67055,1.14297,0.27068,0.539889,0.466151,0.470443,0.251242,nan,nan,nan,nan,nan,nan,nan,0.0085645,0.0085645,0.0085645
60,12527.6,2.24986,1.59792,1.14332,2.07702,1.66289,1.14201,0.27025,0.539294,0.465437,0.472104,0.252429,nan,nan,nan,nan,nan,nan,nan,0.00853975,0.00853975,0.00853975
61,12748.2,2.25701,1.60546,1.15238,2.07409,1.64759,1.1472,0.26897,0.540823,0.467579,0.47375,0.253218,nan,nan,nan,nan,nan,nan,nan,0.008515,0.008515,0.008515
62,12955.3,2.25619,1.60441,1.14819,2.10077,1.67132,1.14499,0.26826,0.540698,0.469716,0.474947,0.254739,nan,nan,nan,nan,nan,nan,nan,0.00849025,0.00849025,0.00849025
