run,point,epoch,ap50_95,ap50,train_det_total,val_det_total,train/kd_loss,train/t_rec_loss,train/s_rec_loss,train/reach_match_loss,train/reach_rank_loss,train/task_loss,train/d_pos_mean,train/d_neg_mean,train/rank_gap_mean,train/mask_fg_mean,train/mask_bg_mean
Drone LADD,best,145,0.50992,0.75093,2.53354,2.6743,0.01386,0.00617,0.00154,0.00124,0.15315,0.52862,0.00124,2.45868,2.45744,0.54211,0.49147
Drone LADD,final,185,0.50602,0.74646,2.45609,2.6866499999999998,0.01003,0.00595,0.00128,0.00088,0.1531,0.51965,0.00088,2.51831,2.51744,0.53779,0.49248
OGSOD LADD n,best,718,0.57042,0.84979,2.24653,2.49807,0.08057,0.00256,0.00166,0.00221,0.15329,0.35646,0.00221,2.34382,2.34161,0.52328,0.52129
OGSOD LADD n,final,800,0.56723,0.84732,2.1752000000000002,2.53906,0.07411,0.00252,0.0016,0.00212,0.15328,0.34468,0.00212,2.34018,2.33806,0.52377,0.52126
