               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.059521,           0.0063373,           0.0021622,             0.59546,             0.44537,             0.44924,             0.20808,            0.050738,           0.0042205,          0.00087012,           0.0057925,           0.0057925,           0.0057925
                  36,            0.059062,           0.0063342,           0.0023666,             0.61635,               0.445,             0.45525,             0.20861,            0.050428,           0.0042229,          0.00078677,           0.0056688,           0.0056688,           0.0056688
                  37,            0.059098,           0.0064238,           0.0023055,             0.59879,             0.46116,             0.45946,              0.2157,            0.049915,            0.004177,          0.00072229,            0.005545,            0.005545,            0.005545
                  38,             0.05871,           0.0064352,           0.0022308,              0.6017,             0.46482,             0.46469,             0.21599,            0.049666,           0.0041822,          0.00073012,           0.0054212,           0.0054212,           0.0054212
                  39,            0.058595,           0.0063364,           0.0022607,             0.59592,             0.47062,             0.47133,             0.22044,            0.049204,           0.0041402,          0.00071586,           0.0052975,           0.0052975,           0.0052975
                  40,            0.058547,            0.006372,           0.0020169,             0.58819,             0.47022,             0.46915,             0.21949,            0.049359,           0.0041473,          0.00068445,           0.0051737,           0.0051737,           0.0051737
                  41,            0.057876,           0.0062891,           0.0019544,             0.62789,             0.46517,              0.4715,              0.2258,            0.048794,           0.0041194,          0.00065684,             0.00505,             0.00505,             0.00505
                  42,             0.05796,           0.0062468,           0.0019759,             0.62138,             0.47582,             0.48559,             0.23582,            0.048483,           0.0040756,          0.00064235,           0.0049263,           0.0049263,           0.0049263
                  43,            0.057213,           0.0062239,           0.0019761,             0.61445,             0.48419,             0.48905,             0.23763,            0.048457,           0.0040799,          0.00064352,           0.0048025,           0.0048025,           0.0048025
                  44,             0.05712,           0.0062536,           0.0020393,             0.61564,             0.48126,             0.48826,             0.23415,            0.048369,           0.0040716,          0.00061274,           0.0046788,           0.0046788,           0.0046788
                  45,            0.057117,           0.0062329,           0.0020656,             0.63789,             0.47577,             0.48799,             0.23725,             0.04807,            0.004056,            0.000656,            0.004555,            0.004555,            0.004555
                  46,            0.056864,           0.0062579,           0.0019493,             0.61486,             0.48119,             0.49231,             0.24192,            0.047535,           0.0040361,          0.00064959,           0.0044313,           0.0044313,           0.0044313
                  47,            0.056657,           0.0062519,           0.0020677,             0.62849,             0.48988,             0.49996,             0.24474,            0.047141,           0.0040182,          0.00062404,           0.0043075,           0.0043075,           0.0043075
                  48,            0.056071,           0.0062113,           0.0018499,             0.64035,             0.48968,             0.50144,             0.24675,            0.046699,           0.0040052,          0.00054545,           0.0041837,           0.0041837,           0.0041837
                  49,            0.056296,            0.006167,           0.0020936,             0.64931,             0.49341,             0.50671,             0.24721,            0.046517,            0.004007,          0.00054282,             0.00406,             0.00406,             0.00406
                  50,            0.055528,           0.0060776,           0.0018983,             0.65218,             0.49781,             0.51066,             0.24962,            0.046321,           0.0039909,          0.00054027,           0.0039362,           0.0039362,           0.0039362
                  51,            0.055477,           0.0061795,           0.0019156,             0.63028,             0.50696,             0.51218,             0.25352,            0.046122,           0.0039719,          0.00051684,           0.0038125,           0.0038125,           0.0038125
                  52,            0.055143,           0.0061689,           0.0018362,             0.64197,             0.50973,             0.51819,             0.25869,            0.046035,           0.0039499,          0.00049005,           0.0036888,           0.0036888,           0.0036888
                  53,            0.054615,           0.0060583,           0.0018296,              0.6598,             0.50097,              0.5212,             0.26015,            0.045925,           0.0039351,          0.00050239,            0.003565,            0.003565,            0.003565
                  54,            0.054546,           0.0060084,           0.0017212,             0.66125,             0.50523,             0.52341,             0.26198,            0.045735,            0.003924,          0.00049073,           0.0034413,           0.0034413,           0.0034413
                  55,            0.054327,           0.0060462,           0.0017959,             0.66475,             0.51005,             0.52875,             0.26676,            0.045509,           0.0039099,          0.00049021,           0.0033175,           0.0033175,           0.0033175
                  56,            0.053914,           0.0060354,           0.0017592,             0.65942,             0.51674,             0.53182,             0.26979,            0.045335,           0.0039043,          0.00047374,           0.0031938,           0.0031938,           0.0031938
                  57,            0.053417,           0.0060025,            0.001632,             0.65206,             0.51887,             0.53391,             0.27155,            0.045182,           0.0038965,          0.00046177,             0.00307,             0.00307,             0.00307
                  58,            0.053515,           0.0059948,           0.0016878,             0.65453,             0.52164,             0.53628,             0.27527,            0.044984,           0.0038766,          0.00045716,           0.0029462,           0.0029462,           0.0029462
                  59,            0.052958,           0.0058944,           0.0015829,             0.65718,             0.52708,             0.53822,             0.27702,             0.04478,           0.0038616,          0.00045571,           0.0028225,           0.0028225,           0.0028225
                  60,            0.053035,           0.0060737,            0.001571,             0.65111,             0.52893,             0.53887,             0.27923,            0.044593,           0.0038488,          0.00045042,           0.0026987,           0.0026987,           0.0026987
                  61,            0.052616,           0.0059129,           0.0016498,             0.65808,             0.52992,               0.542,             0.28214,            0.044479,           0.0038359,          0.00044619,            0.002575,            0.002575,            0.002575
