run_id,run_name,server,model,seed,phase,status,primary_phase,valid_for_mainline,config,tag,rows,best_ap5095,best_epoch,last_ap5095,best_final_drop,sar_baseline_best,sar_baseline_final,safe_threshold,best_minus_sar_best,last_minus_sar_final,best_minus_safe_threshold,last_minus_safe_threshold,remote_run_dir,local_results_csv,notes,e1_train_box_loss,e1_train_cls_loss,e1_train_dfl_loss,e1_val_box_loss,e1_val_cls_loss,e1_val_dfl_loss,e1_train_kd_loss,e1_train_reach_match,e1_train_reach_rank,e1_train_task_loss,e1_train_rec_loss,e1_train_teacher_private_aux_loss,best_train_box_loss,best_train_cls_loss,best_train_dfl_loss,best_val_box_loss,best_val_cls_loss,best_val_dfl_loss,best_train_kd_loss,best_train_reach_match,best_train_reach_rank,best_train_task_loss,best_train_rec_loss,best_train_teacher_private_aux_loss,last_train_box_loss,last_train_cls_loss,last_train_dfl_loss,last_val_box_loss,last_val_cls_loss,last_val_dfl_loss,last_train_kd_loss,last_train_reach_match,last_train_reach_rank,last_train_task_loss,last_train_rec_loss,last_train_teacher_private_aux_loss
M1,m A2 lr3e-4 short4 + B1 placeholder,main_4090,m,0,a2,completed,a2,no,"EPOCHS_A2=4, A2_LR0=3e-4, B=1 placeholder",_fix_m_s0_a2lr3e4_short4_b1,4,0.64325000,4,0.64325000,0.00000000,0.6558,0.64903,0.6538,-0.01255000,-0.00578000,-0.01055000,-0.01055000,/root/shared-nvme/LADD_public_p1/runs_public/ogsod/hbb/formal_nomosaic_20260528/ladd/yolo11m/cap2/ladd_hbb_ogsod11m_formal_nomosaic_yolo11m_cap2_s0_fix_m_s0_a2lr3e4_short4_b1_a2_e4_b32_s0_gpu1,ladd/results/repair_experiments_20260613/evidence/main_4090/runs/m_lr3e4_short4_b1/unknown/ladd_hbb_ogsod11m_formal_nomosaic_yolo11m_cap2_s0_fix_m_s0_a2lr3e4_short4_b1_a2_e4_b32_s0_gpu1/results.csv,Very short A2 remains below m SAR final and safe threshold; B=1 is placeholder only.,0.632190,0.308370,0.794450,1.044610,0.451690,0.846810,0.000000,,,0.269180,,,0.615930,0.300100,0.791320,1.046100,0.448100,0.851590,0.000000,,,0.261270,,,0.615930,0.300100,0.791320,1.046100,0.448100,0.851590,0.000000,,,0.261270,,
M1,m A2 lr3e-4 short4 + B1 placeholder,main_4090,m,0,b,completed,a2,no,"EPOCHS_A2=4, A2_LR0=3e-4, B=1 placeholder",_fix_m_s0_a2lr3e4_short4_b1,1,0.62839000,1,0.62839000,0.00000000,0.6558,0.64903,0.6538,-0.02741000,-0.02064000,-0.02541000,-0.02541000,/root/shared-nvme/LADD_public_p1/runs_public/ogsod/hbb/formal_nomosaic_20260528/ladd/yolo11m/cap2/ladd_hbb_ogsod11m_formal_nomosaic_yolo11m_cap2_s0_fix_m_s0_a2lr3e4_short4_b1_b_e1_b32_s0_gpu1,ladd/results/repair_experiments_20260613/evidence/main_4090/runs/m_lr3e4_short4_b1/unknown/ladd_hbb_ogsod11m_formal_nomosaic_yolo11m_cap2_s0_fix_m_s0_a2lr3e4_short4_b1_b_e1_b32_s0_gpu1/results.csv,Very short A2 remains below m SAR final and safe threshold; B=1 is placeholder only.,0.655120,0.321850,0.795790,1.057720,0.453960,0.852830,7.504740,,,0.000000,,,0.655120,0.321850,0.795790,1.057720,0.453960,0.852830,7.504740,,,0.000000,,,0.655120,0.321850,0.795790,1.057720,0.453960,0.852830,7.504740,,,0.000000,,
M2,m A2 lr1e-4 short5 + B1 placeholder,main_4090,m,0,a1,completed,a2,no,"EPOCHS_A2=5, A2_LR0=1e-4, B=1 placeholder",_fix_m_s0_a2lr1e4_short5_b1,10,0.65533000,10,0.65533000,0.00000000,0.6558,0.64903,0.6538,-0.00047000,0.00630000,0.00153000,0.00153000,/root/shared-nvme/LADD_public_p1/runs_public/ogsod/hbb/formal_nomosaic_20260528/ladd/yolo11m/cap2/ladd_hbb_ogsod11m_formal_nomosaic_yolo11m_cap2_s0_fix_m_s0_a2lr1e4_short5_b1_a1_e10_b32_s0_gpu1,ladd/results/repair_experiments_20260613/evidence/main_4090/runs/m_lr1e4_short5_b1/unknown/ladd_hbb_ogsod11m_formal_nomosaic_yolo11m_cap2_s0_fix_m_s0_a2lr1e4_short5_b1_a1_e10_b32_s0_gpu1/results.csv,Lower A2 LR improves over M1 but still below m SAR final and safe threshold.,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,7.935560,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,0.274640,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,0.274640,,
M2,m A2 lr1e-4 short5 + B1 placeholder,main_4090,m,0,a2,completed,a2,no,"EPOCHS_A2=5, A2_LR0=1e-4, B=1 placeholder",_fix_m_s0_a2lr1e4_short5_b1,5,0.64735000,2,0.64416000,0.00319000,0.6558,0.64903,0.6538,-0.00845000,-0.00487000,-0.00645000,-0.00964000,/root/shared-nvme/LADD_public_p1/runs_public/ogsod/hbb/formal_nomosaic_20260528/ladd/yolo11m/cap2/ladd_hbb_ogsod11m_formal_nomosaic_yolo11m_cap2_s0_fix_m_s0_a2lr1e4_short5_b1_a2_e5_b32_s0_gpu1,ladd/results/repair_experiments_20260613/evidence/main_4090/runs/m_lr1e4_short5_b1/unknown/ladd_hbb_ogsod11m_formal_nomosaic_yolo11m_cap2_s0_fix_m_s0_a2lr1e4_short5_b1_a2_e5_b32_s0_gpu1/results.csv,Lower A2 LR improves over M1 but still below m SAR final and safe threshold.,0.622950,0.305160,0.793950,1.030290,0.444540,0.845580,0.000000,,,0.267360,,,0.619160,0.303110,0.791180,1.037940,0.448970,0.850830,0.000000,,,0.265350,,,0.618950,0.301730,0.793170,1.040520,0.447110,0.850270,0.000000,,,0.262670,,
M2,m A2 lr1e-4 short5 + B1 placeholder,main_4090,m,0,b,completed,a2,no,"EPOCHS_A2=5, A2_LR0=1e-4, B=1 placeholder",_fix_m_s0_a2lr1e4_short5_b1,1,0.62830000,1,0.62830000,0.00000000,0.6558,0.64903,0.6538,-0.02750000,-0.02073000,-0.02550000,-0.02550000,/root/shared-nvme/LADD_public_p1/runs_public/ogsod/hbb/formal_nomosaic_20260528/ladd/yolo11m/cap2/ladd_hbb_ogsod11m_formal_nomosaic_yolo11m_cap2_s0_fix_m_s0_a2lr1e4_short5_b1_b_e1_b32_s0_gpu1,ladd/results/repair_experiments_20260613/evidence/main_4090/runs/m_lr1e4_short5_b1/unknown/ladd_hbb_ogsod11m_formal_nomosaic_yolo11m_cap2_s0_fix_m_s0_a2lr1e4_short5_b1_b_e1_b32_s0_gpu1/results.csv,Lower A2 LR improves over M1 but still below m SAR final and safe threshold.,0.670680,0.327140,0.797230,1.061360,0.453010,0.853430,7.574370,,,0.000000,,,0.670680,0.327140,0.797230,1.061360,0.453010,0.853430,7.574370,,,0.000000,,,0.670680,0.327140,0.797230,1.061360,0.453010,0.853430,7.574370,,,0.000000,,
M3,m A2 lr3e-4 short4 freezeBN + B1 placeholder on AutoDL,autodl,m,0,a1,completed,a2,no,"EPOCHS_A2=4, A2_LR0=3e-4, A2_FREEZE_BN_STATS=1, B=1 placeholder",_fix_m_s0_a2lr3e4_short4_freezeBN_b1_autodl_retry1,10,0.65533000,10,0.65533000,0.00000000,0.6558,0.64903,0.6538,-0.00047000,0.00630000,0.00153000,0.00153000,/root/autodl-tmp/LADD_public/runs_public/ogsod/hbb/formal_nomosaic_20260528/ladd/yolo11m/cap2/ladd_hbb_ogsod11m_formal_nomosaic_yolo11m_cap2_s0_fix_m_s0_a2lr3e4_short4_freezeBN_b1_autodl_retry1_a1_e10_b32_s0_gpu0,ladd/results/repair_experiments_20260613/evidence/autodl/runs/autodl_m_short4_freezebn/unknown/ladd_hbb_ogsod11m_formal_nomosaic_yolo11m_cap2_s0_fix_m_s0_a2lr3e4_short4_freezeBN_b1_autodl_retry1_a1_e10_b32_s0_gpu0/results.csv,A2 BN freeze does not rescue m; result is worse than main-server M1/M2.,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,7.935740,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,0.274810,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,0.274810,,
M3,m A2 lr3e-4 short4 freezeBN + B1 placeholder on AutoDL,autodl,m,0,a2,completed,a2,no,"EPOCHS_A2=4, A2_LR0=3e-4, A2_FREEZE_BN_STATS=1, B=1 placeholder",_fix_m_s0_a2lr3e4_short4_freezeBN_b1_autodl_retry1,4,0.64189000,4,0.64189000,0.00000000,0.6558,0.64903,0.6538,-0.01391000,-0.00714000,-0.01191000,-0.01191000,/root/autodl-tmp/LADD_public/runs_public/ogsod/hbb/formal_nomosaic_20260528/ladd/yolo11m/cap2/ladd_hbb_ogsod11m_formal_nomosaic_yolo11m_cap2_s0_fix_m_s0_a2lr3e4_short4_freezeBN_b1_autodl_retry1_a2_e4_b32_s0_gpu0,ladd/results/repair_experiments_20260613/evidence/autodl/runs/autodl_m_short4_freezebn/unknown/ladd_hbb_ogsod11m_formal_nomosaic_yolo11m_cap2_s0_fix_m_s0_a2lr3e4_short4_freezeBN_b1_autodl_retry1_a2_e4_b32_s0_gpu0/results.csv,A2 BN freeze does not rescue m; result is worse than main-server M1/M2.,0.632130,0.308560,0.794480,1.044340,0.448820,0.845320,0.000000,,,0.269690,,,0.616040,0.300280,0.791620,1.044300,0.445640,0.846680,0.000000,,,0.262050,,,0.616040,0.300280,0.791620,1.044300,0.445640,0.846680,0.000000,,,0.262050,,
M3,m A2 lr3e-4 short4 freezeBN + B1 placeholder on AutoDL,autodl,m,0,b,completed,a2,no,"EPOCHS_A2=4, A2_LR0=3e-4, A2_FREEZE_BN_STATS=1, B=1 placeholder",_fix_m_s0_a2lr3e4_short4_freezeBN_b1_autodl_retry1,1,0.62713000,1,0.62713000,0.00000000,0.6558,0.64903,0.6538,-0.02867000,-0.02190000,-0.02667000,-0.02667000,/root/autodl-tmp/LADD_public/runs_public/ogsod/hbb/formal_nomosaic_20260528/ladd/yolo11m/cap2/ladd_hbb_ogsod11m_formal_nomosaic_yolo11m_cap2_s0_fix_m_s0_a2lr3e4_short4_freezeBN_b1_autodl_retry1_b_e1_b32_s0_gpu0,ladd/results/repair_experiments_20260613/evidence/autodl/runs/autodl_m_short4_freezebn/unknown/ladd_hbb_ogsod11m_formal_nomosaic_yolo11m_cap2_s0_fix_m_s0_a2lr3e4_short4_freezeBN_b1_autodl_retry1_b_e1_b32_s0_gpu0/results.csv,A2 BN freeze does not rescue m; result is worse than main-server M1/M2.,0.655700,0.322360,0.795660,1.059160,0.453850,0.848390,7.427160,,,0.000000,,,0.655700,0.322360,0.795660,1.059160,0.453850,0.848390,7.427160,,,0.000000,,,0.655700,0.322360,0.795660,1.059160,0.453850,0.848390,7.427160,,,0.000000,,
M1_auto,m A2 lr3e-4 short4 duplicate on AutoDL,autodl,m,0,a1,completed-duplicate,a2,no,"EPOCHS_A2=4, A2_LR0=3e-4, B=1 placeholder, AutoDL duplicate",_fix_m_s0_a2lr3e4_short4_b1_autodl_retry1,10,0.65533000,10,0.65533000,0.00000000,0.6558,0.64903,0.6538,-0.00047000,0.00630000,0.00153000,0.00153000,/root/autodl-tmp/LADD_public/runs_public/ogsod/hbb/formal_nomosaic_20260528/ladd/yolo11m/cap2/ladd_hbb_ogsod11m_formal_nomosaic_yolo11m_cap2_s0_fix_m_s0_a2lr3e4_short4_b1_autodl_retry1_a1_e10_b32_s0_gpu0,ladd/results/repair_experiments_20260613/evidence/autodl/runs/autodl_m_short4_duplicate/unknown/ladd_hbb_ogsod11m_formal_nomosaic_yolo11m_cap2_s0_fix_m_s0_a2lr3e4_short4_b1_autodl_retry1_a1_e10_b32_s0_gpu0/results.csv,"Secondary AutoDL duplicate/replicate; use as environment evidence, not primary result.",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,7.935740,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,0.274810,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,0.274810,,
M1_auto,m A2 lr3e-4 short4 duplicate on AutoDL,autodl,m,0,a2,completed-duplicate,a2,no,"EPOCHS_A2=4, A2_LR0=3e-4, B=1 placeholder, AutoDL duplicate",_fix_m_s0_a2lr3e4_short4_b1_autodl_retry1,4,0.64189000,4,0.64189000,0.00000000,0.6558,0.64903,0.6538,-0.01391000,-0.00714000,-0.01191000,-0.01191000,/root/autodl-tmp/LADD_public/runs_public/ogsod/hbb/formal_nomosaic_20260528/ladd/yolo11m/cap2/ladd_hbb_ogsod11m_formal_nomosaic_yolo11m_cap2_s0_fix_m_s0_a2lr3e4_short4_b1_autodl_retry1_a2_e4_b32_s0_gpu0,ladd/results/repair_experiments_20260613/evidence/autodl/runs/autodl_m_short4_duplicate/unknown/ladd_hbb_ogsod11m_formal_nomosaic_yolo11m_cap2_s0_fix_m_s0_a2lr3e4_short4_b1_autodl_retry1_a2_e4_b32_s0_gpu0/results.csv,"Secondary AutoDL duplicate/replicate; use as environment evidence, not primary result.",0.632130,0.308560,0.794480,1.044340,0.448820,0.845320,0.000000,,,0.269690,,,0.616040,0.300280,0.791620,1.044300,0.445640,0.846680,0.000000,,,0.262050,,,0.616040,0.300280,0.791620,1.044300,0.445640,0.846680,0.000000,,,0.262050,,
