protocol,ladd_rows,latest_epoch,current_ap50,current_ap,best_ap_epoch,best_ap,ap50_at_best_ap,best_ap50_epoch,best_ap50,sar_ref_rows,sar_same_epoch,sar_same_ap50,sar_same_ap,delta_ap50_vs_sar_same_epoch,delta_ap_vs_sar_same_epoch,sar_best_ap50,sar_best_ap,sar_best_ap_epoch,sar_best_ap50_epoch,rgb_ref_rows,rgb_same_epoch,rgb_same_ap50,rgb_same_ap,rgb_best_ap50,rgb_best_ap,rgb_best_ap_epoch,rgb_best_ap50_epoch,ap_gap_closure_current_pct,ap50_gap_closure_current_pct,note
mosaic100,393,393,0.92728,0.64183,388,0.64187,0.92704,386,0.92749,793,393,0.89432,0.61351,0.03295999999999999,0.028320000000000012,0.93432,0.65092,713,741,680,393,0.94212,0.65124,0.95208,0.6734,600,573,125.9786476868331,185.58558558558553,"mosaic100/close700, b64 references"
no-mosaic,415,415,0.92844,0.6394,415,0.6394,0.92844,408,0.9295,800,415,0.89803,0.61537,0.030410000000000048,0.024029999999999996,0.93699,0.6558,704,735,800,415,0.94536,0.65418,0.9527,0.67909,663,605,103.17732932589126,193.57097390197356,"Probe-A b64; no completed b64 SAR/RGB baseline found, so b32 formal baselines are shown as references"
