run_id,method,source_server,validity,protocol_id,mosaic,epochs_planned,schedule_class,role,claim_usable,model_size,seed,phase,rows,best_ap,best_epoch,last_ap,last_epoch,best_ap50,last_ap50,canonical_path,results_path,diagnostics_path,git_commit
sar_yolo11n_hbb_cclkd_paper_400ep_mosaic1_mixup01_b32_s123,cclkd,dual4090_old,invalid_or_diagnostic,cclkd_paper_mosaic400,1,400,paper_400,archive_or_invalid,no,n,123,,400,0.36479,400,0.36479,400,0.60415,0.60415,cclkd_reproduction/diagnostics/20260607_protocol_gap/server_artifacts/dual4090/runs_public/ogsod/hbb/cclkd_reproduction_baselines/sar/sar_yolo11n_hbb_cclkd_paper_400ep_mosaic1_mixup01_b32_s123,cclkd_reproduction/diagnostics/20260607_protocol_gap/server_artifacts/dual4090/runs_public/ogsod/hbb/cclkd_reproduction_baselines/sar/sar_yolo11n_hbb_cclkd_paper_400ep_mosaic1_mixup01_b32_s123/results.csv,,
cclkd_ablation_yolo11n_atkd_s42_400ep,cclkd,dual4090_old,invalid_or_diagnostic,cclkd_paper_mosaic400,1,400,paper_400,archive_or_invalid,no,n,42,,400,0.383754,400,0.383754,400,0.622425,0.622425,cclkd_reproduction/diagnostics/20260607_protocol_gap/server_artifacts/dual4090/runs_public/ogsod/hbb/cclkd_reproduction_ablation/yolo11n/cclkd_ablation_yolo11n_atkd_s42_400ep,cclkd_reproduction/diagnostics/20260607_protocol_gap/server_artifacts/dual4090/runs_public/ogsod/hbb/cclkd_reproduction_ablation/yolo11n/cclkd_ablation_yolo11n_atkd_s42_400ep/results.csv,,
cclkd_ablation_yolo11n_ccl_only_s42_400ep,cclkd,dual4090_old,invalid_or_diagnostic,cclkd_paper_mosaic400,1,400,paper_400,archive_or_invalid,no,n,42,,400,0.390381,400,0.390381,400,0.625166,0.625166,cclkd_reproduction/diagnostics/20260607_protocol_gap/server_artifacts/dual4090/runs_public/ogsod/hbb/cclkd_reproduction_ablation/yolo11n/cclkd_ablation_yolo11n_ccl_only_s42_400ep,cclkd_reproduction/diagnostics/20260607_protocol_gap/server_artifacts/dual4090/runs_public/ogsod/hbb/cclkd_reproduction_ablation/yolo11n/cclkd_ablation_yolo11n_ccl_only_s42_400ep/results.csv,,
cclkd_ablation_yolo11n_lld_fld_rld_s42_400ep,cclkd,dual4090_old,invalid_or_diagnostic,cclkd_paper_mosaic400,1,400,paper_400,archive_or_invalid,no,n,42,,400,0.389484,400,0.389484,400,0.635028,0.635028,cclkd_reproduction/diagnostics/20260607_protocol_gap/server_artifacts/dual4090/runs_public/ogsod/hbb/cclkd_reproduction_ablation/yolo11n/cclkd_ablation_yolo11n_lld_fld_rld_s42_400ep,cclkd_reproduction/diagnostics/20260607_protocol_gap/server_artifacts/dual4090/runs_public/ogsod/hbb/cclkd_reproduction_ablation/yolo11n/cclkd_ablation_yolo11n_lld_fld_rld_s42_400ep/results.csv,,
cclkd_paper_repro_yolo11n_s42_400ep_online,cclkd,dual4090_old,invalid_or_diagnostic,cclkd_paper_mosaic400,1,400,paper_400,archive_or_invalid,no,n,42,,120,0.282536,120,0.282536,120,0.510775,0.510775,cclkd_reproduction/diagnostics/20260607_protocol_gap/server_artifacts/dual4090/runs_public/ogsod/hbb/cclkd_reproduction/cclkd_paper_repro_yolo11n_s42_400ep_online,cclkd_reproduction/diagnostics/20260607_protocol_gap/server_artifacts/dual4090/runs_public/ogsod/hbb/cclkd_reproduction/cclkd_paper_repro_yolo11n_s42_400ep_online/results.csv,,
cclkd_paper_repro_yolo11n_s42_400ep_online_fixed20260606,cclkd,dual4090_old,invalid_or_diagnostic,cclkd_paper_mosaic400,1,400,paper_400,archive_or_invalid,no,n,42,,400,0.384704,400,0.384704,400,0.624845,0.624845,cclkd_reproduction/diagnostics/20260607_protocol_gap/server_artifacts/dual4090/runs_public/ogsod/hbb/cclkd_reproduction_fixed20260606/cclkd_paper_repro_yolo11n_s42_400ep_online_fixed20260606,cclkd_reproduction/diagnostics/20260607_protocol_gap/server_artifacts/dual4090/runs_public/ogsod/hbb/cclkd_reproduction_fixed20260606/cclkd_paper_repro_yolo11n_s42_400ep_online_fixed20260606/results.csv,,
sar_yolo11n_hbb_cclkd_paper_400ep_mosaic1_mixup01_b32_s42,cclkd,dual4090_old,invalid_or_diagnostic,cclkd_paper_mosaic400,1,400,paper_400,archive_or_invalid,no,n,42,,400,0.36953,400,0.36953,400,0.60933,0.60933,cclkd_reproduction/diagnostics/20260607_protocol_gap/server_artifacts/dual4090/runs_public/ogsod/hbb/cclkd_reproduction_baselines/sar/sar_yolo11n_hbb_cclkd_paper_400ep_mosaic1_mixup01_b32_s42,cclkd_reproduction/diagnostics/20260607_protocol_gap/server_artifacts/dual4090/runs_public/ogsod/hbb/cclkd_reproduction_baselines/sar/sar_yolo11n_hbb_cclkd_paper_400ep_mosaic1_mixup01_b32_s42/results.csv,,
cclkd_paper_repro_yolo11s_s0_400ep_online,cclkd,dual4090_old,invalid_or_diagnostic,cclkd_paper_mosaic400,1,400,paper_400,archive_or_invalid,no,s,0,,400,0.484594,400,0.484594,400,0.754318,0.754318,cclkd_reproduction/diagnostics/20260607_protocol_gap/server_artifacts/dual4090/runs_public/ogsod/hbb/cclkd_reproduction/cclkd_paper_repro_yolo11s_s0_400ep_online,cclkd_reproduction/diagnostics/20260607_protocol_gap/server_artifacts/dual4090/runs_public/ogsod/hbb/cclkd_reproduction/cclkd_paper_repro_yolo11s_s0_400ep_online/results.csv,,
cclkd_paper_repro_yolo11s_s0_400ep_online_fixed20260606,cclkd,dual4090_old,invalid_or_diagnostic,cclkd_paper_mosaic400,1,400,paper_400,archive_or_invalid,no,s,0,,238,0.366177,138,0.365162,238,0.615327,0.58873,cclkd_reproduction/diagnostics/20260607_protocol_gap/server_artifacts/dual4090/runs_public/ogsod/hbb/cclkd_reproduction_fixed20260606/cclkd_paper_repro_yolo11s_s0_400ep_online_fixed20260606,cclkd_reproduction/diagnostics/20260607_protocol_gap/server_artifacts/dual4090/runs_public/ogsod/hbb/cclkd_reproduction_fixed20260606/cclkd_paper_repro_yolo11s_s0_400ep_online_fixed20260606/results.csv,,
sar_yolo11s_hbb_cclkd_paper_400ep_mosaic1_mixup01_b32_s0,cclkd,dual4090_old,invalid_or_diagnostic,cclkd_paper_mosaic400,1,400,paper_400,archive_or_invalid,no,s,0,,110,0.09684,10,0,110,0.23442,0,cclkd_reproduction/diagnostics/20260607_protocol_gap/server_artifacts/dual4090/runs_public/ogsod/hbb/cclkd_reproduction_baselines/sar/sar_yolo11s_hbb_cclkd_paper_400ep_mosaic1_mixup01_b32_s0,cclkd_reproduction/diagnostics/20260607_protocol_gap/server_artifacts/dual4090/runs_public/ogsod/hbb/cclkd_reproduction_baselines/sar/sar_yolo11s_hbb_cclkd_paper_400ep_mosaic1_mixup01_b32_s0/results.csv,,
