epoch,mode,student_box_loss,student_obj_loss,student_cls_loss,teacher_box_loss,teacher_obj_loss,teacher_cls_loss,kd_total_loss,lld_loss,fld_loss,rld_loss,ccl_loss,kd_to_student_det_ratio,atkd_weight,ccl_weight,atkd_loss,weighted_atkd_loss,weighted_ccl_loss,kd_scale,weighted_kd_to_student_det_ratio,cop_valid_candidates,cop_positive_candidates,cop_positive_ratio,cop_class0_count,cop_class1_count,cop_class2_count,neg_candidates_mean,temperature_mean,temperature_min,temperature_max,feature_capture_ok,student_feature_levels,teacher_feature_levels,nan_or_inf_detected
0,paper_full,0.10989271849393845,0.03898311033844948,0.266591876745224,0.10701867192983627,0.03832000121474266,0.1858040690422058,2.733980417251587,0.032504480332136154,1.7026846408843994,0.30467134714126587,0.6941215395927429,0.2647136750271897,1.0,1.0,2.0398602622007234,2.0398602622007234,0.6941211375535703,0.0,0.0,799.8257080610022,691.2788671023965,0.867880634240961,493.1830065359477,145.67755991285404,52.41830065359477,545.0345078678173,3.4395616366193185,3.278744778082521,3.665949294769686,1.0,3.0,3.0,0.0
1,paper_full,0.09577224403619766,0.0398896224796772,0.15212316811084747,0.08801858872175217,0.039237525314092636,0.0837579146027565,2.8959507942199707,0.02112812176346779,1.8641903400421143,0.31700780987739563,0.6936257481575012,0.33787138165991293,1.0,1.0,2.2023221664698815,2.2023221664698815,0.6936256489462842,0.33333333333333326,0.11262379706814918,792.8082788671024,755.0196078431372,0.9533238179732598,506.75816993464053,173.2941176470588,74.9673202614379,526.2825130554066,2.9495444204293046,2.843004359658767,3.0844439426538472,1.0,3.0,3.0,0.0
2,paper_full,0.09085403382778168,0.04286302626132965,0.168204203248024,0.08620411902666092,0.04262589290738106,0.11457846313714981,1.996008038520813,0.018015164881944656,1.0152462720870972,0.26970934867858887,0.6930386424064636,0.22170058738497087,1.0,1.0,1.3029695088307582,1.3029695088307582,0.6930389835424153,0.6666666666666665,0.14780039599972872,800.3246187363834,746.2113289760349,0.933200107897396,502.7429193899782,166.958605664488,76.50980392156863,533.7073492577912,3.033258720161089,2.9081325806304,3.1943103971045,1.0,3.0,3.0,0.0
3,paper_full,0.09235592931509018,0.044840216636657715,0.21291860938072205,0.09557433426380157,0.04407217353582382,0.1607283502817154,1.7650327682495117,0.017039084807038307,0.721049964427948,0.33422309160232544,0.6927219033241272,0.16677988843265962,1.0,1.0,1.072311251186857,1.072311251186857,0.6927214957010772,1.0,0.16677988843265962,799.4814814814815,711.7450980392157,0.8922993425429351,487.6928104575163,160.33333333333334,63.71895424836601,546.0733623296867,3.201991843242271,3.02193399192461,3.4256038743686053,1.0,3.0,3.0,0.0
4,paper_full,0.09357413649559021,0.0444953478872776,0.21757753193378448,0.09479215741157532,0.04296990483999252,0.16023080050945282,1.9178857803344727,0.01617593504488468,0.9029461145401001,0.30613061785697937,0.6926339864730835,0.17928063434453312,1.0,1.0,1.2252524513304883,1.2252524513304883,0.6926330991560078,1.0,0.17928063434453312,804.4270152505446,724.6535947712418,0.9013319447546809,490.5272331154684,162.80174291938997,71.32461873638344,545.7138850725295,3.1676627410522995,2.9939094353345483,3.391283932334717,1.0,3.0,3.0,0.0
5,paper_full,0.09135353565216064,0.04451718181371689,0.20742815732955933,0.09001412987709045,0.04317562282085419,0.13301275670528412,1.695591926574707,0.016579635441303253,0.6962237358093262,0.29005202651023865,0.6927374005317688,0.1667397166389266,1.0,1.0,1.0028545707788863,1.0028545707788863,0.6927374089725137,1.0,0.1667397166389266,801.1546840958606,732.4204793028323,0.9154494445847541,490.2570806100218,163.96949891067538,78.19389978213508,544.0628325019786,3.110516198060611,2.9455183975577093,3.319717867961377,1.0,3.0,3.0,0.0
6,paper_full,0.08937104791402817,0.04481763765215874,0.17993515729904175,0.08698366582393646,0.04319920018315315,0.11444295942783356,1.758166790008545,0.01718638651072979,0.7756126523017883,0.27233821153640747,0.6930295825004578,0.18357890597615625,1.0,1.0,1.0651368329662643,1.0651368329662643,0.6930285631181887,1.0,0.18357890597615625,806.718954248366,746.9433551198257,0.92647843475938,498.3485838779956,170.20697167755992,78.38779956427015,539.4604358215997,3.0752923327593504,2.92158827283024,3.2774279481185546,1.0,3.0,3.0,0.0
7,paper_full,0.0881548598408699,0.04415438324213028,0.16883009672164917,0.08376632630825043,0.04354970157146454,0.10727203637361526,1.659713625907898,0.01569264940917492,0.7113378643989563,0.24018409848213196,0.6924998164176941,0.18639060800533927,1.0,1.0,0.967213754300718,0.967213754300718,0.6924997834338602,1.0,0.18639060800533927,803.5228758169935,749.2854030501089,0.9332855875229694,507.7668845315904,167.00435729847496,74.51416122004358,533.8391583345035,3.0473362339867487,2.9060598443016765,3.2309951055023927,1.0,3.0,3.0,0.0
8,paper_full,0.08783075213432312,0.04372043162584305,0.1553664356470108,0.08234724402427673,0.043092772364616394,0.09969070553779602,1.5868418216705322,0.01566503196954727,0.6546775102615356,0.22394324839115143,0.6925559043884277,0.18541834103288474,1.0,1.0,0.8942860981088319,0.8942860981088319,0.6925552325051335,1.0,0.18541834103288474,801.6514161220043,752.115468409586,0.9395456458751098,504.90849673202615,165.3921568627451,81.81481481481481,533.8170068279591,3.015135373944551,2.8854197629916123,3.1838736092602766,1.0,3.0,3.0,0.0
9,paper_full,0.08531445264816284,0.04429560527205467,0.1439884454011917,0.08048048615455627,0.04343494772911072,0.09295215457677841,1.4337557554244995,0.015613377094268799,0.5004881620407104,0.2249508798122406,0.6927046179771423,0.1751874482790759,1.0,1.0,0.7410517633935205,0.7410517633935205,0.6927038811650411,1.0,0.1751874482790759,801.6732026143791,753.5969498910675,0.940817331694928,503.8736383442266,168.5119825708061,81.21132897603486,534.3776477157161,3.0186527445425395,2.8821889123106312,3.1977554754494064,1.0,3.0,3.0,0.0
