epoch,mode,student_box_loss,student_obj_loss,student_cls_loss,teacher_box_loss,teacher_obj_loss,teacher_cls_loss,kd_total_loss,lld_loss,fld_loss,rld_loss,ccl_loss,kd_to_student_det_ratio,atkd_weight,ccl_weight,atkd_loss,weighted_atkd_loss,weighted_ccl_loss,kd_scale,weighted_kd_to_student_det_ratio,cop_valid_candidates,cop_positive_candidates,cop_positive_ratio,cop_class0_count,cop_class1_count,cop_class2_count,neg_candidates_mean,ccl_pos_sim,ccl_neg_sim,ccl_margin,ccl_valid_classes,temperature_mean,temperature_min,temperature_max,feature_capture_ok,student_feature_levels,teacher_feature_levels,nan_or_inf_detected
0,paper_ccl_only,0.09916993230581284,0.007402564864605665,0.014209035784006119,0.09381616115570068,0.007672755513340235,0.01189703494310379,0.6861777305603027,0.0,0.0,0.0,0.6861777305603027,0.181785412051579,0.0,1.0,0.0,0.0,0.6861778549638968,0.0,0.0,799.8257080610022,610.2549019607843,0.7686542709702866,467.86056644880176,115.14814814814815,27.246187363834423,564.9321110877077,0.9991660157060311,0.9984168063581379,0.0007492083042520026,2.6710239651416123,3.981267161358935,3.8359868152468812,4.155555914170342,1.0,3.0,3.0,0.0
1,paper_ccl_only,0.07749498635530472,0.0072694215923547745,0.005994676612317562,0.06519705802202225,0.007128797471523285,0.004124153405427933,0.6272105574607849,0.0,0.0,0.0,0.6272105574607849,0.21846522137620092,0.0,1.0,0.0,0.0,0.627209923106341,0.33333333333333326,0.07282174226862413,792.8082788671024,756.0631808278868,0.9546192187197351,509.36165577342047,174.87581699346404,71.82570806100217,524.2491061474503,0.9891915735595886,0.9726230931957303,0.016568479953487942,2.8562091503267975,3.270817064771465,3.0982720696069057,3.456719030222342,1.0,3.0,3.0,0.0
2,paper_ccl_only,0.07700879126787186,0.007171645760536194,0.005588505417108536,0.06453537195920944,0.006843868177384138,0.003993934951722622,0.6243211627006531,0.0,0.0,0.0,0.6243211627006531,0.21966441576257512,0.0,1.0,0.0,0.0,0.6243210418681433,0.6666666666666665,0.14644294758053386,800.3246187363834,761.7472766884532,0.9521371234378272,508.1285403050109,174.9041394335512,78.71459694989107,528.6942764980341,0.9809139320273804,0.9577059956157908,0.02320793716359705,2.8518518518518516,3.183952248434096,3.0382940732835424,3.3524051517702653,1.0,3.0,3.0,0.0
3,paper_ccl_only,0.07768063992261887,0.007307815831154585,0.0061269295401871204,0.06769438832998276,0.007189386058598757,0.004371971357613802,0.6216785311698914,0.0,0.0,0.0,0.6216785311698914,0.21581642060238293,0.0,1.0,0.0,0.0,0.6216783069057922,1.0,0.21581642060238293,799.4814814814815,749.5533769063181,0.9387318431377168,499.36383442265793,175.54901960784315,74.640522875817,535.5119979293258,0.9825205840576189,0.9596213264662715,0.022899258907677397,2.869281045751634,3.1760210502641133,3.0175336077322368,3.3627549568292623,1.0,3.0,3.0,0.0
4,paper_ccl_only,0.07560890167951584,0.0073222266510128975,0.005414528306573629,0.0649397224187851,0.007006336003541946,0.003969268873333931,0.6019963026046753,0.0,0.0,0.0,0.6019963026046753,0.21526140325209675,0.0,1.0,0.0,0.0,0.6019962927354966,1.0,0.21526140325209675,804.4270152505446,761.4291938997821,0.9466807530284949,501.1307189542484,178.8714596949891,81.42701525054466,533.9382856115536,0.9788229507039056,0.9476406746959894,0.03118227257726251,2.8562091503267975,3.1181892242306977,2.9664360302985364,3.3084981820682033,1.0,3.0,3.0,0.0
5,paper_ccl_only,0.0734991580247879,0.007233557291328907,0.0047811102122068405,0.06138938292860985,0.006803711876273155,0.0033660230692476034,0.5986062288284302,0.0,0.0,0.0,0.5986062288284302,0.22120570282660798,0.0,1.0,0.0,0.0,0.5986059781383065,1.0,0.22120570282660798,801.1546840958606,762.5751633986928,0.9526732992674244,500.28322440087146,176.56209150326796,85.72984749455338,533.8137405162803,0.9762470642985341,0.9422219937143762,0.034025071053370055,2.877995642701525,3.0704129786273233,2.935538724616722,3.2369246015361712,1.0,3.0,3.0,0.0
6,paper_ccl_only,0.07296346127986908,0.007297604810446501,0.005009612068533897,0.06071120873093605,0.0068236165679991245,0.003231886774301529,0.5868291258811951,0.0,0.0,0.0,0.5868291258811951,0.2178781145700702,0.0,1.0,0.0,0.0,0.5868289526186737,1.0,0.2178781145700702,806.718954248366,770.7581699346405,0.9554385998625834,505.8649237472767,181.28322440087146,83.61002178649237,531.8638491495502,0.9754043417558691,0.9373264986705157,0.03807784235236805,2.849673202614379,3.0518060333069115,2.9261117126946874,3.2119750420771913,1.0,3.0,3.0,0.0
7,paper_ccl_only,0.07195111364126205,0.007217804901301861,0.004356474615633488,0.059460464864969254,0.006675803568214178,0.0029352260753512383,0.5920054912567139,0.0,0.0,0.0,0.5920054912567139,0.22459025650177647,0.0,1.0,0.0,0.0,0.5920049044301567,1.0,0.22459025650177647,803.5228758169935,770.3093681917211,0.9591006691191393,514.5010893246188,176.4400871459695,79.3681917211329,528.5319671298424,0.973529790481451,0.9344993363538339,0.039030452747031916,2.838779956427015,3.0145077014540793,2.893383454653173,3.165129463657055,1.0,3.0,3.0,0.0
8,paper_ccl_only,0.07103951275348663,0.0071896743029356,0.0038740714080631733,0.057967934757471085,0.00652955612167716,0.0026950743049383163,0.5820118188858032,0.0,0.0,0.0,0.5820118188858032,0.22394413001072433,0.0,1.0,0.0,0.0,0.5820114688221406,1.0,0.22394413001072433,801.6514161220043,771.6906318082789,0.9632946193674803,511.06971677559915,174.75381263616558,85.86710239651416,527.9288458398224,0.9731340317424866,0.9312572724678937,0.04187676009837708,2.8518518518518516,2.998633056424542,2.8901135926672574,3.1369351021344887,1.0,3.0,3.0,0.0
9,paper_ccl_only,0.06964269280433655,0.007205361500382423,0.003901931457221508,0.05697353556752205,0.006496089044958353,0.002663405379280448,0.5752649307250977,0.0,0.0,0.0,0.5752649307250977,0.22473932688240134,0.0,1.0,0.0,0.0,0.5752645473529571,1.0,0.22473932688240134,801.6732026143791,770.8148148148148,0.9622255211109415,509.3071895424837,177.041394335512,84.46623093681917,528.3453298664301,0.9725881733146369,0.9290402349823181,0.04354793847739404,2.8562091503267975,3.001239351197785,2.8852639032085476,3.147850594489403,1.0,3.0,3.0,0.0
10,paper_ccl_only,0.07014472782611847,0.007163194473832846,0.004026396200060844,0.0566965751349926,0.006364986766129732,0.002637744415551424,0.5866316556930542,0.0,0.0,0.0,0.5866316556930542,0.22899095593973962,0.0,1.0,0.0,0.0,0.5866307833745329,1.0,0.22899095593973962,796.8605664488017,766.5577342047931,0.9623318579233131,507.6470588235294,173.81263616557735,85.09803921568627,525.1387210754527,0.9706272298474198,0.9281278861633833,0.042499343244752526,2.8562091503267975,2.9952138093561906,2.885294311706277,3.137849295580829,1.0,3.0,3.0,0.0
11,paper_ccl_only,0.06834492832422256,0.007078900001943111,0.0035642553120851517,0.05550570413470268,0.006350201088935137,0.0024678956251591444,0.5677158832550049,0.0,0.0,0.0,0.5677158832550049,0.22721205709384418,0.0,1.0,0.0,0.0,0.567715826945497,1.0,0.22721205709384418,795.7538126361655,769.9019607843137,0.9679523473511203,506.0087145969499,178.7037037037037,85.18954248366013,525.6692223642386,0.9718023426911929,0.9258364402650489,0.045965906021576824,2.8801742919389977,2.974319036749713,2.867114417693194,3.1086807915847547,1.0,3.0,3.0,0.0
12,paper_ccl_only,0.068094402551651,0.007146426010876894,0.0035477937199175358,0.054777659475803375,0.006347015034407377,0.002374161733314395,0.5722737908363342,0.0,0.0,0.0,0.5722737908363342,0.2293302233539895,0.0,1.0,0.0,0.0,0.5722730186380333,1.0,0.2293302233539895,804.8387799564271,778.1089324618737,0.9669586284449246,509.60348583877993,179.08278867102396,89.42265795206971,529.1332760480494,0.9703655861042164,0.9228791728258653,0.047486411952129555,2.8562091503267975,2.9617331983736657,2.867125419230243,3.079680751351749,1.0,3.0,3.0,0.0
13,paper_ccl_only,0.06838662177324295,0.007079162634909153,0.0036712789442390203,0.05506227910518646,0.006237704772502184,0.0025358377024531364,0.5734195113182068,0.0,0.0,0.0,0.5734195113182068,0.23015886074853228,0.0,1.0,0.0,0.0,0.573419021316733,1.0,0.23015886074853228,787.8278867102397,761.0196078431372,0.9662488513420014,504.0326797385621,176.718954248366,80.26797385620915,512.8413359199474,0.9696019615223205,0.921485121733223,0.04811684069137975,2.810457516339869,2.9754098531727178,2.87033286853034,3.1096619546802993,1.0,3.0,3.0,0.0
14,paper_ccl_only,0.06793010979890823,0.007161115296185017,0.003571412991732359,0.0548056997358799,0.0063137272372841835,0.002356652868911624,0.5868675708770752,0.0,0.0,0.0,0.5868675708770752,0.2362644693333339,0.0,1.0,0.0,0.0,0.5868669191217111,1.0,0.2362644693333339,815.4531590413943,788.5076252723312,0.9675800013433435,509.42047930283223,186.3921568627451,92.69498910675381,537.8155568773191,0.9687658534070765,0.9217947322818448,0.04697112312585051,2.8736383442265794,2.961048480991704,2.861382245498026,3.0899931267715486,1.0,3.0,3.0,0.0
15,paper_ccl_only,0.06775502860546112,0.007151983678340912,0.0033430729527026415,0.05383244901895523,0.006181538105010986,0.002171178115531802,0.5658506751060486,0.0,0.0,0.0,0.5658506751060486,0.22784390942090088,0.0,1.0,0.0,0.0,0.5658506781008898,1.0,0.22784390942090088,802.8932461873638,779.8736383442266,0.9717430471401868,510.47712418300654,179.93028322440088,89.46623093681917,526.0791727369387,0.9691422058346485,0.919244542750398,0.04989766576256368,2.8562091503267975,2.940117232420346,2.8527645238863877,3.0473163496694795,1.0,3.0,3.0,0.0
16,paper_ccl_only,0.06727185100317001,0.00706171989440918,0.0034225773997604847,0.05381777137517929,0.006193057168275118,0.002346619265154004,0.5603800415992737,0.0,0.0,0.0,0.5603800415992737,0.22749113080483377,0.0,1.0,0.0,0.0,0.5603795956682276,1.0,0.22749113080483377,803.4553376906318,778.3572984749455,0.9689890773978957,516.6535947712418,171.5599128540305,90.14379084967321,530.9913003626473,0.9695007495890515,0.9196037902032108,0.04989696296098316,2.8823529411764706,2.958944568966469,2.85636410733973,3.0927867956930255,1.0,3.0,3.0,0.0
17,paper_ccl_only,0.06694615632295609,0.006998327560722828,0.003275582566857338,0.05307643488049507,0.006133527960628271,0.0022970272693783045,0.5623854994773865,0.0,0.0,0.0,0.5623854994773865,0.22864234202373002,0.0,1.0,0.0,0.0,0.5623851985972951,1.0,0.22864234202373002,802.1960784313726,778.1459694989106,0.970793420922967,507.8888888888889,182.70806100217865,87.54901960784314,524.7636307194862,0.967239881522775,0.9165248720214777,0.05071501029261707,2.840958605664488,2.9517574528463526,2.8537445193022686,3.0792543399827412,1.0,3.0,3.0,0.0
18,paper_ccl_only,0.06625982373952866,0.0071016657166182995,0.003339143702760339,0.05228625610470772,0.006089082453399897,0.00214451109059155,0.5697029232978821,0.0,0.0,0.0,0.5697029232978821,0.23540086643303662,0.0,1.0,0.0,0.0,0.5697026092047784,1.0,0.23540086643303662,796.8801742919389,773.8039215686274,0.9717213569163082,516.4357298474946,179.06753812636165,78.30065359477125,523.8638493822551,0.9669052728640488,0.9145355598599303,0.05236971486270558,2.8736383442265794,2.939622857212241,2.8478874110967767,3.054746821555177,1.0,3.0,3.0,0.0
19,paper_ccl_only,0.0662555992603302,0.007043398916721344,0.0032737217843532562,0.05264323204755783,0.006028914824128151,0.0021553763654083014,0.5627772808074951,0.0,0.0,0.0,0.5627772808074951,0.23350595174791505,0.0,1.0,0.0,0.0,0.5627770548227825,1.0,0.23350595174791505,797.0566448801743,773.2135076252723,0.9704218878151374,509.83660130718954,182.11546840958604,81.26143790849673,522.3769202803734,0.9679743915082063,0.9156906715145817,0.052283721874530925,2.849673202614379,2.943325530469807,2.8505216133101055,3.0605826886910497,1.0,3.0,3.0,0.0
20,paper_ccl_only,0.06592234969139099,0.007111841347068548,0.003440944477915764,0.052131667733192444,0.006103456951677799,0.0020624941680580378,0.5633482933044434,0.0,0.0,0.0,0.5633482933044434,0.23254073459111269,0.0,1.0,0.0,0.0,0.563348529036593,1.0,0.23254073459111269,810.4291938997821,786.2069716775599,0.9707476890503294,509.2461873638344,181.25925925925927,95.70152505446623,533.6427160524854,0.9676574021902479,0.9154648897694606,0.05219251415256029,2.871459694989107,2.9404387328619532,2.8465654990252327,3.0644487560704383,1.0,3.0,3.0,0.0
21,paper_ccl_only,0.06521019339561462,0.007122751325368881,0.0027964275795966387,0.05128202214837074,0.0060273222625255585,0.0018284758552908897,0.554517388343811,0.0,0.0,0.0,0.554517388343811,0.2328029858082338,0.0,1.0,0.0,0.0,0.5545176520846249,1.0,0.2328029858082338,799.6230936819172,778.9193899782135,0.9746968590785624,508.94553376906316,182.28540305010893,87.6884531590414,522.8431512171926,0.9677861157585593,0.9134606095700483,0.05432550812623015,2.8453159041394334,2.926806412491144,2.844213411439218,3.0348882446621497,1.0,3.0,3.0,0.0
