epoch,baseline_ap50,baseline_ap,old_ccl_ap50,old_ccl_ap,current_ccl_ap50,current_ccl_ap,current_delta_ap_vs_baseline,current_delta_ap_vs_old_ccl,ccl_loss,ccl_pos_sim,ccl_neg_sim,ccl_margin,weighted_kd_to_student_det_ratio,cop_positive_ratio
0,0.060609,0.01713,0.057124,0.015237,0.057124,0.015237,-0.0018929999999999989,0.0,0.6861777305603027,0.9991660157060311,0.9984168063581379,0.0007492083042520026,0.0,0.7686542709702866
50,0.46459,0.21904,0.46912,0.22388,0.4553,0.21467,-0.004370000000000013,-0.009209999999999996,0.5359894633293152,0.9670637125283285,0.9065684160635622,0.060495294746181934,0.23971833434759401,0.9777770752987666
80,0.50571,0.25132,0.51267,0.25521,0.49919,0.24637,-0.004949999999999982,-0.008839999999999987,0.5219798684120178,0.9670304810559308,0.9021204012671328,0.06491008073432383,0.24511802613264466,0.9774782712727265
100,0.52099,0.26324,0.52576,0.26603,0.515,0.25794,-0.005299999999999971,-0.008089999999999986,0.5048442482948303,0.9674185540421596,0.8965539111550856,0.07086463829741889,0.2416440612658826,0.9795500500656379
125,0.54104,0.27807,0.54515,0.28164,0.53053,0.27011,-0.007959999999999967,-0.011529999999999985,0.5034253597259521,0.9678992232985486,0.8968054510669251,0.07109377222857996,0.2434923295012811,0.9794112824106409
150,0.55895,0.29367,0.56775,0.29892,0.54302,0.2828,-0.01086999999999999,-0.016120000000000023,0.49299946427345276,0.967378410768405,0.8929234075650151,0.07445500369441406,0.24269559891784892,0.9799884299303641
181,0.58444,0.31447,0.59014,0.31814,0.56168,0.29824,-0.016230000000000022,-0.019899999999999973,0.49586260318756104,0.9673195098220393,0.8923002455489049,0.07501926617230205,0.25055834180259495,0.9822037090451751
