key,label,family,b_epochs,recorded_epochs,last_epoch,first_ap,best_ap,best_epoch,last_ap,last_epoch_finite,best_final_drop,first_nonfinite_epoch,source,note
current_N1_basebest_B800,B800 N1 SAR-best det-only,current_b800_det,800,332,332,0.54251,0.57521,324,0.57494,332,0.00026999999999999247,,ladd/results/b800_restart_20260614/evidence_raw/autodl/runs_public/ogsod/hbb/formal_nomosaic_20260528/ladd/yolo11n/cap2/ladd_hbb_ogsod11n_formal_nomosaic_yolo11n_cap2_s0_b800sched_N1_basebest_continue_20260614_autodl_b_e800_b64_s0_gpu0/results.csv,Current baseline-best detector continuation; detection-only.
current_N1_baselast_B800,B800 N1 SAR-last det-only,current_b800_det,800,338,338,0.536,0.57687,337,0.57661,338,0.000260000000000038,,ladd/results/b800_restart_20260614/evidence_raw/autodl/runs_public/ogsod/hbb/formal_nomosaic_20260528/ladd/yolo11n/cap2/ladd_hbb_ogsod11n_formal_nomosaic_yolo11n_cap2_s0_b800sched_N1_baselast_continue_20260614_autodl_b_e800_b64_s0_gpu0/results.csv,Current baseline-last detector continuation; detection-only.
current_N2_a2best_B800,B800 N2 A2-best full LADD,current_b800_ladd,800,229,229,0.51911,0.55681,214,0.54271,229,0.014100000000000001,229.0,ladd/results/b800_restart_20260614/evidence_raw/ladd4090/runs_public/ogsod/hbb/formal_nomosaic_20260528/ladd/yolo11n/cap2/ladd_hbb_ogsod11n_formal_nomosaic_yolo11n_cap2_s0_b800sched_N2_a2best_continue_20260614_cfgfix_b_e800_b64_s0_gpu1/results.csv,"A2-best detector+decomposition checkpoint, full LADD B; NaN at 229."
current_N2_a2last_B800,B800 N2 A2-last full LADD,current_b800_ladd,800,319,319,0.52624,0.56073,271,0.4629,319,0.09782999999999997,319.0,ladd/results/b800_restart_20260614/evidence_raw/ladd4090/runs_public/ogsod/hbb/formal_nomosaic_20260528/ladd/yolo11n/cap2/ladd_hbb_ogsod11n_formal_nomosaic_yolo11n_cap2_s0_b800sched_N2_a2last_continue_20260614_cfgfix_b_e800_b64_s0_gpu1/results.csv,"A2-last detector+decomposition checkpoint, full LADD B; NaN at 319."
current_N3_yoloinit_decomp_B800,B800 N3 YOLO-init + A2 decomp,current_b800_yoloinit,800,525,525,0.05308,0.48742,525,0.48742,525,0.0,,ladd/results/b800_restart_20260614/evidence_raw/ladd4090/runs_public/ogsod/hbb/formal_nomosaic_20260528/ladd/yolo11n/cap2/ladd_hbb_ogsod11n_formal_nomosaic_yolo11n_cap2_s0_b800sched_N3_yoloinit_a2last_decomp_20260614_cfgfix_retry2_b_e800_b64_s0_gpu1/results.csv,"Detector from YOLO init, teacher-side decomp from A2."
current_N4_yoloinit_decomp_kdwarm_B800,B800 N4 YOLO-init + decomp KD-warmup,current_b800_yoloinit,800,512,512,0.02484,0.4618,512,0.4618,512,0.0,,ladd/results/b800_restart_20260614/evidence_raw/ladd4090/runs_public/ogsod/hbb/formal_nomosaic_20260528/ladd/yolo11n/cap2/ladd_hbb_ogsod11n_formal_nomosaic_yolo11n_cap2_s0_b800sched_N4_yoloinit_a2last_decomp_kdwarmup_20260614_cfgfix_b_e800_b64_s0_gpu1/results.csv,"Detector from YOLO init, teacher-side decomp from A2, KD-only warmup."
prev_N1_base_B100,prev B100 N1 SAR-base det-only,previous_current_baseline,100,100,100,0.54123,0.56615,99,0.56594,100,0.00021000000000004349,,ladd/results/b_entrance_20260613/evidence/ladd4090/N1_basecontinue_b100/run_files/results.csv,"Previous current-baseline continuation, compressed B100 schedule."
prev_N2_a2best_B100,prev B100 N2 A2-best continue,previous_current_baseline,100,100,100,0.51911,0.55872,100,0.55872,100,0.0,,ladd/results/b_entrance_20260613/evidence/ladd4090/N2_a2best_continue_b100/run_files/results.csv,"Previous A2-best continuation, compressed B100 schedule."
prev_N3_base_decomp_B100,prev B100 N3 SAR-base + A2 decomp,previous_current_baseline,100,100,100,0.51435,0.55722,100,0.55722,100,0.0,,ladd/results/b_entrance_20260613/evidence/ladd4090/N3_base_a2last_decomp_b100/run_files/results.csv,Previous clean split-load target: SAR baseline detector + A2 decomposition.
prev_N4_base_decomp_kdramp_B120,prev B120 N4 SAR-base + A2 decomp KD-ramp,previous_current_baseline,120,120,120,0.53806,0.56379,113,0.56311,120,0.0006800000000000139,,ladd/results/b_entrance_20260613/evidence/ladd4090/N4_base_a2last_kdramp_b120/run_files/results.csv,"Previous split-load plus KD-only ramp, compressed B120 schedule."
