category,method,modality,model,seed,phase,protocol,best_map50_95,best_epoch,final_epoch,final_map50_95,best_final_drop,sar_baseline_best,sar_baseline_final,sar_baseline_drop,method_final_minus_sar_baseline_best,method_final_minus_sar_baseline_final,excess_drop_vs_sar_baseline,last20_slope_per_epoch,last20_delta,last50_slope_per_epoch,last50_delta,last100_slope_per_epoch,last100_delta,source_kind,source_path,notes,train/box_loss_bestwin_mean,train/box_loss_finalwin_mean,train/box_loss_delta_final_minus_bestwin,train/cls_loss_bestwin_mean,train/cls_loss_finalwin_mean,train/cls_loss_delta_final_minus_bestwin,train/dfl_loss_bestwin_mean,train/dfl_loss_finalwin_mean,train/dfl_loss_delta_final_minus_bestwin,val/box_loss_bestwin_mean,val/box_loss_finalwin_mean,val/box_loss_delta_final_minus_bestwin,val/cls_loss_bestwin_mean,val/cls_loss_finalwin_mean,val/cls_loss_delta_final_minus_bestwin,val/dfl_loss_bestwin_mean,val/dfl_loss_finalwin_mean,val/dfl_loss_delta_final_minus_bestwin,train_det_loss_sum_bestwin_mean,train_det_loss_sum_finalwin_mean,train_det_loss_sum_delta_final_minus_bestwin,val_det_loss_sum_bestwin_mean,val_det_loss_sum_finalwin_mean,val_det_loss_sum_delta_final_minus_bestwin
baseline,sar baseline,sar,yolo11m,0,train,formal_nomosaic_20260528,0.65580,704,800,0.64903,0.00677,0.65580,0.64903,0.00677,-0.00677,0.00000,0.00000,-0.00008,-0.00161,-0.00004,-0.00188,-0.00006,-0.00604,results_csv,ladd/results/ladd90_formal_baselines_20260612/results/sar_yolo11m_s0_b32.csv,90 formal baseline evidence package,0.67283,0.61581,-0.05702,0.32254,0.29748,-0.02506,0.79478,0.79103,-0.00375,0.98459,1.00397,0.01938,0.43136,0.43972,0.00836,0.84306,0.84789,0.00483,1.79014,1.70432,-0.08582,2.25900,2.29158,0.03258
baseline,sar baseline,sar,yolo11n,0,train,formal_nomosaic_20260528,0.55654,734,800,0.55127,0.00527,0.55654,0.55127,0.00527,-0.00527,0.00000,0.00000,-0.00004,-0.00070,-0.00007,-0.00361,-0.00002,-0.00186,results_csv,ladd/results/ladd90_formal_baselines_20260612/results/sar_yolo11n_s0_b64.csv,90 formal baseline evidence package,0.98591,0.95720,-0.02872,0.48927,0.47613,-0.01314,0.82507,0.82183,-0.00324,1.14552,1.17074,0.02523,0.52419,0.52853,0.00434,0.85155,0.85431,0.00277,2.30026,2.25516,-0.04509,2.52125,2.55358,0.03233
baseline,sar baseline,sar,yolo11n,123,train,formal_nomosaic_20260528,0.56128,797,800,0.56076,0.00052,0.56128,0.56076,0.00052,-0.00052,0.00000,0.00000,0.00005,0.00090,0.00003,0.00159,0.00004,0.00356,results_csv,ladd/results/ladd90_formal_baselines_20260612/results/sar_yolo11n_s123_b64.csv,90 formal baseline evidence package,0.95849,0.95799,-0.00050,0.47622,0.47604,-0.00018,0.82156,0.82155,-0.00001,1.14585,1.14592,0.00007,0.52257,0.52264,0.00006,0.84973,0.84977,0.00004,2.25628,2.25559,-0.00069,2.51815,2.51832,0.00017
baseline,sar baseline,sar,yolo11n,42,train,formal_nomosaic_20260528,0.55794,739,800,0.55444,0.00350,0.55794,0.55444,0.00350,-0.00350,0.00000,0.00000,-0.00008,-0.00144,-0.00004,-0.00217,0.00000,0.00002,results_csv,ladd/results/ladd90_formal_baselines_20260612/results/sar_yolo11n_s42_b64.csv,90 formal baseline evidence package,0.99580,0.97102,-0.02478,0.49757,0.48609,-0.01148,0.82510,0.82209,-0.00301,1.14102,1.16679,0.02577,0.53327,0.53835,0.00508,0.84940,0.85215,0.00275,2.31846,2.27920,-0.03926,2.52369,2.55729,0.03359
baseline,sar baseline,sar,yolo11s,0,train,formal_nomosaic_20260528,0.62897,729,800,0.62233,0.00664,0.62897,0.62233,0.00664,-0.00664,0.00000,0.00000,-0.00003,-0.00059,-0.00011,-0.00533,-0.00005,-0.00494,results_csv,ladd/results/ladd90_formal_baselines_20260612/results/sar_yolo11s_s0_b64.csv,90 formal baseline evidence package,0.74599,0.71434,-0.03165,0.36300,0.34863,-0.01437,0.79929,0.79640,-0.00288,1.02089,1.04355,0.02265,0.44549,0.45425,0.00876,0.84087,0.84363,0.00276,1.90828,1.85938,-0.04891,2.30725,2.34142,0.03418
baseline,sar baseline,sar,yolo11s,123,train,formal_nomosaic_20260528,0.62357,750,800,0.62013,0.00344,0.62357,0.62013,0.00344,-0.00344,0.00000,0.00000,-0.00008,-0.00159,-0.00006,-0.00306,-0.00002,-0.00162,results_csv,ladd/results/ladd90_formal_baselines_20260612/results/sar_yolo11s_s123_b64.csv,90 formal baseline evidence package,0.72965,0.71195,-0.01770,0.35611,0.34746,-0.00865,0.79810,0.79651,-0.00160,1.03152,1.04699,0.01547,0.44798,0.45235,0.00437,0.84070,0.84205,0.00135,1.88386,1.85591,-0.02795,2.32021,2.34139,0.02118
baseline,sar baseline,sar,yolo11s,42,train,formal_nomosaic_20260528,0.62879,735,800,0.62486,0.00393,0.62879,0.62486,0.00393,-0.00393,0.00000,0.00000,-0.00009,-0.00179,-0.00005,-0.00226,-0.00002,-0.00181,results_csv,ladd/results/ladd90_formal_baselines_20260612/results/sar_yolo11s_s42_b64.csv,90 formal baseline evidence package,0.73922,0.71298,-0.02623,0.35840,0.34715,-0.01125,0.79842,0.79626,-0.00216,1.01773,1.03320,0.01547,0.44546,0.45157,0.00612,0.84060,0.84336,0.00275,1.89603,1.85639,-0.03964,2.30379,2.32813,0.02434
baseline,sar baseline,sar,yolo11x,0,train,formal_nomosaic_20260528,0.65867,685,800,0.64801,0.01066,0.65867,0.64801,0.01066,-0.01066,0.00000,0.00000,-0.00008,-0.00160,-0.00011,-0.00540,-0.00009,-0.00867,results_csv,ladd/results/ladd90_formal_baselines_20260612/results/sar_yolo11x_s0_b16.csv,90 formal baseline evidence package,0.61727,0.52550,-0.09177,0.29959,0.26921,-0.03038,0.79140,0.78479,-0.00661,0.98746,1.00292,0.01546,0.42659,0.44264,0.01606,0.85875,0.86703,0.00828,1.70827,1.57950,-0.12876,2.27280,2.31260,0.03980
ladd_capacity_kd,s alpha_kd=0.5 B400,sar,yolo11s,0,B,formal_nomosaic_20260528_ladd_diag,0.63074,218,400,0.61802,0.01272,0.62897,0.62233,0.00664,-0.01095,-0.00431,0.00608,-0.00002,-0.00030,-0.00005,-0.00229,-0.00008,-0.00778,results_csv,ladd/results/capacity_kd_20260611/alpha0p5_b400/b_results.csv,Strict resume from epoch 290; duplicate epoch 290 rows retained in raw results.csv; last occurrence per epoch used for summary.; status=complete,0.69838,0.60260,-0.09577,0.34085,0.30401,-0.03684,0.79652,0.79023,-0.00629,1.02393,1.05051,0.02657,0.44537,0.45725,0.01188,0.83981,0.84362,0.00381,1.83574,1.69684,-0.13890,2.30912,2.35137,0.04225
ladd_capacity_kd,s alpha_kd=0.25 B400,sar,yolo11s,0,B,formal_nomosaic_20260528_ladd_diag,0.63027,199,400,0.61719,0.01308,0.62897,0.62233,0.00664,-0.01178,-0.00514,0.00644,-0.00002,-0.00037,-0.00003,-0.00152,-0.00007,-0.00719,results_csv,ladd/results/capacity_kd_20260611/alpha0p25_b400/b_results.csv,Strict resume from epoch 272; duplicate epoch 272 rows retained in raw results.csv; A2 had earlier auto batch reduction after OOM.; status=complete,0.71103,0.60150,-0.10954,0.34768,0.30368,-0.04400,0.79723,0.78928,-0.00795,1.02496,1.05229,0.02733,0.44174,0.45457,0.01283,0.83951,0.84354,0.00402,1.85594,1.69446,-0.16148,2.30621,2.35039,0.04419
