run,requested_epoch,nearest_epoch,metrics/mAP50-95(B),train/box_loss,train/cls_loss,train/dfl_loss,val/box_loss,val/cls_loss,val/dfl_loss,train/kd_loss,lr/pg0
old90_cap2_s42_stable,50,50,0.34632,1.97762,1.23178,1.05982,1.78549,0.97391,0.98994,0.14837,0.0297259
old90_cap2_s42_stable,100,100,0.38433,1.91969,1.16684,1.03109,1.66115,0.88805,0.96086,0.14285,0.0288918
old90_cap2_s42_stable,200,200,0.44953,1.59855,0.85691,0.94738,1.43907,0.74281,0.90955,0.14603,0.0256917
old90_cap2_s42_stable,216,216,0.45715,1.59333,0.85412,0.94281,1.41293,0.72518,0.90344,0.14883,0.0250141
old90_cap2_s42_stable,263,263,0.47442,1.55459,0.82537,0.93438,1.36089,0.69309,0.89203,0.14054,0.0228094
old90_cap2_s42_stable,300,300,0.48567,1.49491,0.78851,0.92037,1.33733,0.67248,0.88675,0.13679,0.0208867
old90_cap2_s42_stable,400,400,0.50533,1.40419,0.72202,0.89823,1.27537,0.62299,0.87425,0.12613,0.0152083
old90_cap2_s42_stable,500,500,0.52319,1.2693,0.64164,0.873,1.23685,0.58592,0.86632,0.11609,0.00952107
old90_cap2_s42_stable,600,600,0.5455,1.13289,0.56333,0.84381,1.18953,0.55062,0.85706,0.10232,0.00469078
old90_cap2_s42_stable,700,700,0.56264,0.99293,0.49241,0.82423,1.15346,0.52597,0.8523,0.09381,0.00145281
old90_cap2_s42_stable,800,800,0.56044,0.93507,0.46584,0.81666,1.17833,0.53096,0.85579,0.09015,0.000300115
old90_cap2_s123_stable,1,1,0.40436,1.93241,1.22763,1.06389,1.63052,0.77909,0.92739,1.67128,0.00995652
old90_cap2_s123_stable,50,50,0.35447,2.00597,1.24684,1.06018,1.76161,0.95877,0.98959,0.27068,0.0297259
old90_cap2_s123_stable,100,100,0.38803,1.91513,1.16168,1.03563,1.64312,0.87645,0.95565,0.25095,0.0288918
old90_cap2_s123_stable,200,200,0.45396,1.59494,0.85515,0.948,1.42272,0.73639,0.9052,0.19112,0.0256917
old90_cap2_s123_stable,216,216,0.45767,1.5831,0.84462,0.93863,1.40296,0.72057,0.9003,0.19075,0.0250141
old90_cap2_s123_stable,263,263,0.47138,1.53532,0.80679,0.92689,1.35766,0.68696,0.88927,0.18364,0.0228094
old90_cap2_s123_stable,300,300,0.47918,1.49377,0.78207,0.91846,1.32697,0.66735,0.88216,0.1731,0.0208867
old90_cap2_s123_stable,400,400,0.50062,1.3825,0.70807,0.89561,1.26914,0.62197,0.87165,0.15274,0.0152083
old90_cap2_s123_stable,500,500,0.52469,1.27041,0.63935,0.86898,1.21735,0.5813,0.86123,0.13174,0.00952107
old90_cap2_s123_stable,600,600,0.54572,1.11966,0.55621,0.84134,1.17839,0.5475,0.85508,0.11381,0.00469078
old90_cap2_s123_stable,700,700,0.55818,0.9924,0.49393,0.82372,1.1611,0.5269,0.85274,0.09802,0.00145281
old90_cap2_s123_stable,800,800,0.56163,0.93576,0.46997,0.81677,1.16233,0.52629,0.85309,0.09174,0.000300115
