run,metric,best_epoch,best_window_start,best_window_end,best_window_mean,late_window_start,late_window_end,late_window_mean,late_minus_best_window,late_pct_vs_best_window
old90_cap2_s42_stable,val/box_loss,750,730,770,1.1464102,701,800,1.1533465,+0.0069362561,+0.605
old90_cap2_s42_stable,val/cls_loss,750,730,770,0.52244244,701,800,0.5246719,+0.002229461,+0.427
old90_cap2_s42_stable,val/dfl_loss,750,730,770,0.85165024,701,800,0.8524866,+0.0008363561,+0.098
old90_cap2_s42_stable,train/kd_loss,750,730,770,0.0915,701,800,0.0916392,+0.0001392,+0.152
old90_cap2_s42_stable,lr/pg0,750,730,770,0.00061253261,701,800,0.00068441447,+7.188186e-05,+11.735
old90_cap2_s123_stable,train/box_loss,800,780,800,0.93586,701,800,0.95352,+0.01766,+1.887
old90_cap2_s123_stable,train/cls_loss,800,780,800,0.46682143,701,800,0.4752575,+0.0084360714,+1.807
old90_cap2_s123_stable,train/dfl_loss,800,780,800,0.81718667,701,800,0.8195558,+0.0023691333,+0.290
old90_cap2_s123_stable,val/box_loss,800,780,800,1.1633133,701,800,1.1605864,-0.0027269333,-0.234
old90_cap2_s123_stable,val/cls_loss,800,780,800,0.52574238,701,800,0.5250986,-0.00064378095,-0.122
old90_cap2_s123_stable,val/dfl_loss,800,780,800,0.8530581,701,800,0.8526903,-0.00036779524,-0.043
old90_cap2_s123_stable,train/kd_loss,800,780,800,0.091471429,701,800,0.0934159,+0.0019444714,+2.126
old90_cap2_s123_stable,lr/pg0,800,780,800,0.0003180469,701,800,0.00068441447,+0.00036636757,+115.193
