run,rows,latest_epoch,latest_ap50,latest_ap,best_ap_epoch,best_ap50_at_best_ap,best_ap,source_csv
SAR no-extra YOLO11n 400 stopped,398,399,0.46086,0.25156,242,0.48902,0.27494,stopped_noextraaug_baselines/sar_yolo11n_noextra_400_results.csv
RGB no-extra YOLO11n 400 stopped,400,401,0.75812,0.45467,234,0.78422,0.46811,stopped_noextraaug_baselines/rgb_yolo11n_noextra_400_results.csv
