epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,3102.03,1.71272,0.90458,1.00968,0.81292,0.76375,0.80044,0.42699,1.61882,0.80914,0.96948,0.0299038,0.00996794,0.0299038,0.00996794,0.0299038,0.00996794,0.0299038,0.00996794
31,3194.82,1.70432,0.89383,1.0056,0.82414,0.77018,0.81203,0.42905,1.60821,0.81021,0.9676,0.0298971,0.00996569,0.0298971,0.00996569,0.0298971,0.00996569,0.0298971,0.00996569
32,3299.83,1.69617,0.89267,1.00606,0.81598,0.7736,0.81378,0.43294,1.57966,0.80029,0.96219,0.0298901,0.00996337,0.0298901,0.00996337,0.0298901,0.00996337,0.0298901,0.00996337
33,3387.96,1.68416,0.87988,0.9993,0.81224,0.78374,0.81483,0.43856,1.5643,0.78862,0.95804,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
34,3481.94,1.68142,0.88112,0.99976,0.82072,0.78343,0.81354,0.43672,1.57753,0.7843,0.95888,0.0298755,0.00995849,0.0298755,0.00995849,0.0298755,0.00995849,0.0298755,0.00995849
35,3584.93,1.67768,0.87515,0.9977,0.84096,0.78417,0.82487,0.44922,1.56198,0.77254,0.95421,0.0298678,0.00995594,0.0298678,0.00995594,0.0298678,0.00995594,0.0298678,0.00995594
36,3677.56,1.66939,0.86996,0.99561,0.82929,0.78686,0.81973,0.445,1.55594,0.76642,0.95285,0.02986,0.00995332,0.02986,0.00995332,0.02986,0.00995332,0.02986,0.00995332
37,3765.54,1.66655,0.86905,0.99525,0.82842,0.80159,0.83003,0.45089,1.53765,0.75765,0.95191,0.0298519,0.00995062,0.0298519,0.00995062,0.0298519,0.00995062,0.0298519,0.00995062
38,3858.59,1.66003,0.86039,0.98503,0.8231,0.79854,0.82672,0.45291,1.53863,0.7559,0.94712,0.0298435,0.00994784,0.0298435,0.00994784,0.0298435,0.00994784,0.0298435,0.00994784
39,3940.4,1.64751,0.84806,0.98391,0.84096,0.79833,0.83419,0.46005,1.52794,0.74195,0.94713,0.029835,0.00994499,0.029835,0.00994499,0.029835,0.00994499,0.029835,0.00994499
40,4033.02,1.64626,0.8462,0.98507,0.85139,0.80144,0.84257,0.47015,1.52455,0.74287,0.94216,0.0298262,0.00994206,0.0298262,0.00994206,0.0298262,0.00994206,0.0298262,0.00994206
41,4131.8,1.63738,0.84021,0.98064,0.84751,0.80179,0.83314,0.46433,1.51509,0.74092,0.93861,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
42,4217.79,1.62931,0.83957,0.97821,0.84,0.80747,0.83628,0.46699,1.4946,0.72539,0.93462,0.0298079,0.00993598,0.0298079,0.00993598,0.0298079,0.00993598,0.0298079,0.00993598
