label,protocol,method,status,seed,min20_epoch,ap_ep1,ap_min20,ap_drop_min20,train_box_min20,train_cls_min20,train_dfl_min20,val_box_min20,val_cls_min20,val_dfl_min20,train_kd_min20,train_s_rec_min20,train_reach_match_min20,best_epoch,ap_best,val_box_best,val_cls_best,val_dfl_best,train_kd_best,train_s_rec_best,ap_last,val_box_last,val_cls_last,val_dfl_last,train_kd_last,train_s_rec_last
mosaic100 cap2 s0,mosaic100,cap2,complete,0,5,0.39969,0.10441,-0.29528,2.32486,1.62247,1.18252,2.35738,1.89093,1.19229,0.24465,0.00956,0.0,798,0.56841,1.15611,0.52346,0.85231,0.07776,0.00133,0.56792,1.15791,0.52375,0.85252,0.07571,0.00132
mosaic100 cap2 s123,mosaic100,cap2,complete,123,6,0.40436,0.12217,-0.28219,2.30822,1.59362,1.17393,2.52446,1.71996,1.21398,0.34867,0.00813,0.0,800,0.56163,1.16233,0.52629,0.85309,0.09174,0.00136,0.56163,1.16233,0.52629,0.85309,0.09174,0.00136
mosaic100 cap2 s42,mosaic100,cap2,complete,42,10,0.33635,0.1807,-0.15564999999999998,2.17651,1.42165,1.12439,2.38037,1.46142,1.15219,0.16499,0.00479,0.0,750,0.56799,1.14411,0.5217,0.85132,0.09135,0.00145,0.56044,1.17833,0.53096,0.85579,0.09015,0.00143
n cap2 s0 no-BN-freeze,formal_nomosaic,cap2_a2mu1e3,complete,0,3,0.53675,0.04351,-0.49323999999999996,1.77632,1.0297,1.02667,2.71947,2.17732,1.34578,2.96849,0.02876,0.0,725,0.57662,1.1009,0.50876,0.84688,0.09453,0.00149,0.57504,1.12108,0.51296,0.8482,0.0913,0.00145
n cap2 s123 BN-freeze,formal_nomosaic,cap2_bnfreeze1e3,complete,123,5,0.53054,0.52252,-0.008020000000000027,1.01236,0.5052,0.83056,1.23535,0.56194,0.86279,0.22673,0.02288,0.0,779,0.57269,1.12894,0.54778,0.84893,0.06006,0.00211,0.57219,1.12799,0.54822,0.84886,0.06158,0.00212
n cap2 s123 B-lr1e-3,formal_nomosaic,cap2_bstable1e3,late_regression,123,13,0.53575,0.52403,-0.011719999999999953,1.0595,0.52376,0.8364,1.22945,0.55953,0.86389,0.16753,0.02368,0.0,165,0.56161,1.12111,0.5203,0.84835,0.10859,0.02117,0.52875,1.2751,0.56752,0.86642,0.06659,0.02086
n cap2 s123 old-B crash,formal_nomosaic,cap2_old_b,nan_crash,123,13,0.52182,0.01673,-0.5050899999999999,1.94378,1.17321,1.04754,3.36041,19.6061,1.46788,0.29566,0.05875,0.0,1,0.52182,1.22887,0.5683,0.85695,1.59799,0.05071,0.0,,,,0.47339,0.1719
n cap2 s42 no-BN-freeze,formal_nomosaic,cap2_a2mu1e3,complete,42,5,0.52719,0.18343,-0.34376000000000007,2.04906,1.25333,1.0913,2.38625,1.4684,1.17342,0.25908,0.01153,0.0,735,0.5742,1.1114,0.51142,0.8482,0.07875,0.00138,0.57293,1.13346,0.51349,0.85067,0.07793,0.00135
n cap2 s42 BN-freeze,formal_nomosaic,cap2_bnfreeze1e3,complete,42,2,0.5385,0.52596,-0.012539999999999996,0.99559,0.5022,0.82598,1.27672,0.57859,0.86677,0.32711,0.03994,0.0,400,0.57615,1.12636,0.51933,0.84689,0.12765,0.00204,0.57295,1.15056,0.54501,0.84959,0.10444,0.00178
n original/no-cap2 s0,formal_nomosaic,original,complete,0,4,0.53131,0.0994,-0.43190999999999996,2.34299,1.59238,1.21834,2.4799,1.74065,1.23662,3.22889,0.01974,0.0,730,0.57821,1.10042,0.51089,0.84579,0.10613,0.00153,0.57517,1.12223,0.51457,0.8477,0.10379,0.00148
