epoch,time,train/s_box_loss,train/s_cls_loss,train/s_dfl_loss,train/t_box_loss,train/t_cls_loss,train/t_dfl_loss,train/cclkd_loss,train/cclkd_lld_loss,train/cclkd_fld_loss,train/cclkd_rld_loss,train/cclkd_ccl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/s_box_loss,val/s_cls_loss,val/s_dfl_loss,val/t_box_loss,val/t_cls_loss,val/t_dfl_loss,val/cclkd_loss,val/cclkd_lld_loss,val/cclkd_fld_loss,val/cclkd_rld_loss,val/cclkd_ccl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
18,2691.53,2.37318,1.61281,1.2116,1.8997,1.09623,1.06337,6.1915,3.4687,0.09685,2.62594,0,0.429803,0.374276,0.368095,0.169606,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0298678,0.00995594,0.0298678,0.00995594,0.0298678,0.00995594,0.0298678,0.00995594
19,2841.19,2.35944,1.59102,1.21015,1.89656,1.08426,1.06483,6.10262,3.45084,0.08746,2.56432,0,0.445134,0.3686,0.351336,0.164593,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0298519,0.00995062,0.0298519,0.00995062,0.0298519,0.00995062,0.0298519,0.00995062
20,2991.01,2.3561,1.57777,1.20253,1.8807,1.07099,1.05544,6.20742,3.4922,0.08876,2.62645,0,0.410784,0.388706,0.365277,0.169141,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.029835,0.00994499,0.029835,0.00994499,0.029835,0.00994499,0.029835,0.00994499
21,3141.08,2.344,1.56307,1.19539,1.87526,1.06327,1.05261,5.79173,3.24181,0.09145,2.45847,0,0.490421,0.403337,0.389461,0.183256,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
22,3291.86,2.33544,1.5506,1.18771,1.85602,1.04132,1.04505,6.11327,3.30543,0.0949,2.71293,0,0.47054,0.39532,0.393874,0.188408,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0297985,0.00993282,0.0297985,0.00993282,0.0297985,0.00993282,0.0297985,0.00993282
23,3442.88,2.30932,1.52546,1.18148,1.84934,1.0394,1.04036,5.88816,3.22651,0.0889,2.57276,0,0.462033,0.419527,0.405124,0.191826,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0297789,0.00992629,0.0297789,0.00992629,0.0297789,0.00992629,0.0297789,0.00992629
24,3595.47,2.2977,1.50582,1.17476,1.84064,1.02688,1.04098,5.76718,3.14158,0.09419,2.53142,0,0.482975,0.429501,0.423237,0.200908,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0297584,0.00991946,0.0297584,0.00991946,0.0297584,0.00991946,0.0297584,0.00991946
25,3745.66,2.28343,1.48339,1.17408,1.83115,1.02298,1.04003,5.58313,3.07564,0.08687,2.42062,0,0.505299,0.415359,0.424523,0.202089,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
26,3897.2,2.27109,1.479,1.16492,1.82988,1.01527,1.03274,5.92258,3.18243,0.08945,2.6507,0,0.473025,0.417973,0.41707,0.203981,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0297147,0.00990489,0.0297147,0.00990489,0.0297147,0.00990489,0.0297147,0.00990489
27,4048.62,2.26278,1.45874,1.16523,1.81863,1.00283,1.03062,5.55514,3.03549,0.08935,2.4303,0,0.539897,0.443888,0.454,0.216888,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0296915,0.00989715,0.0296915,0.00989715,0.0296915,0.00989715,0.0296915,0.00989715
28,4200.49,2.24077,1.44296,1.1557,1.80219,0.98511,1.02441,5.69719,3.04564,0.0896,2.56195,0,0.493065,0.453711,0.446744,0.218538,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0296674,0.00988912,0.0296674,0.00988912,0.0296674,0.00988912,0.0296674,0.00988912
29,4352.11,2.23176,1.43257,1.15381,1.78957,0.98055,1.02243,5.51045,2.87761,0.09007,2.54277,0,0.506017,0.464552,0.455929,0.226136,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079
30,4503.2,2.23195,1.42877,1.15211,1.78829,0.97935,1.02073,5.63509,2.96891,0.09513,2.57104,0,0.512205,0.448917,0.451445,0.227975,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0296165,0.00987216,0.0296165,0.00987216,0.0296165,0.00987216,0.0296165,0.00987216
31,4653.9,2.22276,1.40835,1.14113,1.78161,0.96417,1.01423,5.67714,2.91597,0.09429,2.66688,0,0.508186,0.481803,0.474479,0.242058,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0295897,0.00986323,0.0295897,0.00986323,0.0295897,0.00986323,0.0295897,0.00986323
