epoch,time,train/s_box_loss,train/s_cls_loss,train/s_dfl_loss,train/t_box_loss,train/t_cls_loss,train/t_dfl_loss,train/cclkd_loss,train/cclkd_lld_loss,train/cclkd_fld_loss,train/cclkd_rld_loss,train/cclkd_ccl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/s_box_loss,val/s_cls_loss,val/s_dfl_loss,val/t_box_loss,val/t_cls_loss,val/t_dfl_loss,val/cclkd_loss,val/cclkd_lld_loss,val/cclkd_fld_loss,val/cclkd_rld_loss,val/cclkd_ccl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,140.003,2.82014,3.50827,1.56836,2.35753,3.21468,1.36998,11.1454,8.52114,0.03619,2.44313,0.14493,0.616116,0.196861,0.172208,0.0679194,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00995652,0.00331884,0.00995652,0.00331884,0.00995652,0.00331884,0.00995652,0.00331884
2,285.008,2.73714,2.35667,1.33006,2.21656,1.77368,1.14859,12.9719,9.32067,0.05178,3.43003,0.16945,0.463437,0.186723,0.0908703,0.0295603,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0199562,0.00665207,0.0199562,0.00665207,0.0199562,0.00665207,0.0199562,0.00665207
3,430.547,2.8488,2.30551,1.3798,2.34878,1.73662,1.22004,12.1858,7.94341,0.06847,4.01156,0.16237,0.165496,0.0998095,0.041634,0.0118207,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0299547,0.0099849,0.0299547,0.0099849,0.0299547,0.0099849,0.0299547,0.0099849
4,578.02,2.88967,2.29838,1.42339,2.39378,1.72999,1.25921,11.1725,7.02406,0.06542,3.91229,0.17076,0.518283,0.175958,0.129846,0.0476763,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0299959,0.00999863,0.0299959,0.00999863,0.0299959,0.00999863,0.0299959,0.00999863
5,725.386,2.77749,2.12787,1.3788,2.29985,1.56392,1.22821,9.59966,5.73283,0.04978,3.67756,0.13948,0.367697,0.231621,0.196203,0.0771519,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756
6,871.799,2.69898,2.05186,1.35678,2.21771,1.46402,1.19711,8.9031,5.20544,0.04782,3.50544,0.1444,0.413283,0.202789,0.180327,0.0628125,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0299886,0.00999618,0.0299886,0.00999618,0.0299886,0.00999618,0.0299886,0.00999618
7,1019.58,2.64674,1.97108,1.33105,2.16316,1.40181,1.17332,7.87442,4.73173,0.05509,2.95899,0.12861,0.331589,0.262162,0.240303,0.0998965,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0299835,0.0099945,0.0299835,0.0099945,0.0299835,0.0099945,0.0299835,0.0099945
8,1166.87,2.60805,1.9368,1.31178,2.10663,1.33435,1.15337,8.13471,4.93986,0.05362,3.02224,0.11899,0.413472,0.264325,0.223631,0.0856209,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0299776,0.00999252,0.0299776,0.00999252,0.0299776,0.00999252,0.0299776,0.00999252
9,1312.3,2.58334,1.87592,1.29266,2.08297,1.31074,1.14097,7.39402,4.39924,0.05961,2.82289,0.11228,0.520223,0.267737,0.27913,0.114292,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023
10,1458.74,2.5391,1.83146,1.28709,2.05218,1.27193,1.13167,6.93752,4.25849,0.05633,2.51608,0.10661,0.374757,0.259901,0.287237,0.12173,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0299629,0.00998764,0.0299629,0.00998764,0.0299629,0.00998764,0.0299629,0.00998764
11,1602.27,2.51819,1.80277,1.26594,2.02392,1.23825,1.11119,7.13457,4.09426,0.0646,2.87609,0.09962,0.475684,0.282646,0.293471,0.130569,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0299542,0.00998474,0.0299542,0.00998474,0.0299542,0.00998474,0.0299542,0.00998474
12,1747.31,2.49585,1.76942,1.26292,2.0023,1.20956,1.10568,6.9014,3.88048,0.07591,2.85031,0.09471,0.426523,0.322288,0.304591,0.134866,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0299446,0.00998154,0.0299446,0.00998154,0.0299446,0.00998154,0.0299446,0.00998154
13,1892.28,2.48373,1.74907,1.25437,1.9864,1.19106,1.09692,6.56623,3.77792,0.0898,2.60231,0.0962,0.423245,0.321067,0.311459,0.139897,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803
