epoch,stage,lr_pg0,lr_pg1,lr_pg2,train_box_loss,train_cls_loss,train_dfl_loss,kd_loss,reach_match_loss,reach_rank_loss,cmdistill_pcc_levels,cmdistill_slrd_tokens,cmdistill_ibcld_candidate_ratio,cmdistill_ibcld_fg_count,cmdistill_ibcld_teacher_conf_added_count,cmdistill_ibcld_cls_loss,cmdistill_ibcld_box_loss,cmdistill_pcc_loss,cmdistill_relation_loss,cmdistill_ibcld_loss,cmdistill_total_loss,bn_running_var_max,bn_running_var_mean,bn_running_var_p95,bn_running_mean_abs_max,bn_num_layers,bn_stats_mode,bn_stats_frozen_this_epoch,nonfinite_metrics_or_cmdistill,nonfinite_bn_stats,nan_or_inf_detected,grad_norm_total,grad_norm_backbone,grad_norm_neck,grad_norm_head,base_alpha_kd,effective_alpha_kd,kd_multiplier,kd_warmup_active,ladd_kd_decay_mode,ladd_kd_decay_start_epoch,ladd_kd_decay_end_epoch,ladd_kd_final_mult,ladd_kd_stop_after_epoch,b_loss_warmup_mode,b_loss_warmup_start_epoch,b_loss_warmup_end_epoch,b_loss_warmup_final_mult,b_loss_warmup_scope,b_loss_warmup_multiplier,b_loss_warmup_active,ladd_b_a2_core,ladd_b_det_only,ladd_a2_det_only,effective_alpha_s_rec,effective_lambda_reach,effective_lambda_match_inner,effective_lambda_rank_inner
1,b,0.009956521739130433,0.0033188405797101453,0.009956521739130433,1.56666,1.02796,1.02594,40.74154,0.0025,0.15339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,263.6452331542969,0.9133517742156982,2.070960283279419,20.131799697875977,106,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,0,0,0.1,1.0,1.0,1.0
2,b,0.01995644556995291,0.006652148523317638,0.01995644556995291,1.48594,0.8566,0.98405,8.11884,0.00158,0.1532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217.2704315185547,0.8980226516723633,2.069809675216675,20.050546646118164,106,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,0,0,0.1,1.0,1.0,1.0
3,b,0.029956064393936686,0.009985354797978897,0.029956064393936686,1.77516,1.09462,1.04965,7.83881,0.00157,0.1532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,227.66513061523438,0.9116526246070862,2.116406202316284,19.549402236938477,106,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,0,0,0.1,1.0,1.0,1.0
4,b,0.029998969486428155,0.009999656495476053,0.029998969486428155,2.23611,1.548,1.22352,7.67338,0.00178,0.15323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221.80870056152344,1.0486003160476685,2.468775749206543,20.514387130737305,106,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,0,0,0.1,1.0,1.0,1.0
5,b,0.029998167992352658,0.00999938933078422,0.029998167992352658,2.33081,1.65742,1.25123,6.79949,0.00209,0.15335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.64877319335938,1.1937729120254517,2.8165793418884277,21.6224308013916,106,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,0,0,0.1,1.0,1.0,1.0
6,b,0.02999713752115866,0.00999904584038622,0.02999713752115866,2.3197,1.61478,1.24033,6.1035,0.00195,0.15326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,283.9136962890625,1.3239569664001465,3.1858315467834473,25.786287307739258,106,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,0,0,0.1,1.0,1.0,1.0
7,b,0.02999587808873731,0.009998626029579103,0.02999587808873731,2.27364,1.58425,1.21887,5.64496,0.00207,0.15327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,340.1684265136719,1.4494452476501465,3.511448621749878,25.858909606933594,106,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,0,0,0.1,1.0,1.0,1.0
8,b,0.0299943897145106,0.009998129904836867,0.0299943897145106,2.2601,1.57106,1.21705,5.23684,0.00215,0.15328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316.844970703125,1.5608491897583008,3.773878335952759,27.172073364257812,106,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,0,0,0.1,1.0,1.0,1.0
9,b,0.029992672421431114,0.009997557473810372,0.029992672421431114,2.22479,1.53111,1.20567,4.77541,0.00214,0.15328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,311.6064147949219,1.6540615558624268,3.986781358718872,27.302125930786133,106,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,0,0,0.1,1.0,1.0,1.0
10,b,0.02999072623598163,0.00999690874532721,0.02999072623598163,2.19096,1.47444,1.17883,4.25121,0.00219,0.15329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,396.5048522949219,1.7668178081512451,4.278703689575195,25.09803581237793,106,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,0,0,0.1,1.0,1.0,1.0
