experiment,phase,rows,last_epoch,best_map50_95,best_epoch,last_map50_95,run_dir,log_tag,epoch,stage,effective_alpha_kd,ladd_a2_det_only,effective_lambda_reach,effective_lambda_match_inner,effective_lambda_rank_inner,nan_or_inf_detected
s_a2_detonly,a1,10,10,0.62878,1,0.62878,runs_public/ogsod/hbb/formal_nomosaic_20260528/ladd/yolo11s/cap2/ladd_hbb_ogsod11s_formal_nomosaic_yolo11s_cap2_s0_diag_a2damage_s_s0_a2detonly_b1_retry1_a1_e10_b64_s0_gpu0,formal_nomosaic_yolo11s_cap2_s0_diag_a2damage_s_s0_a2detonly_b1_retry1_gpu0,10,a1,1.0,1,1.0,1.0,1.0,0
s_a2_detonly,a2,50,50,0.62795,13,0.62222,runs_public/ogsod/hbb/formal_nomosaic_20260528/ladd/yolo11s/cap2/ladd_hbb_ogsod11s_formal_nomosaic_yolo11s_cap2_s0_diag_a2damage_s_s0_a2detonly_b1_retry1_a2_e50_b64_s0_gpu0,formal_nomosaic_yolo11s_cap2_s0_diag_a2damage_s_s0_a2detonly_b1_retry1_gpu0,50,a2,0.0,1,0.0,0.0,0.0,0
s_a2_detonly,b1,1,1,0.6024,1,0.6024,runs_public/ogsod/hbb/formal_nomosaic_20260528/ladd/yolo11s/cap2/ladd_hbb_ogsod11s_formal_nomosaic_yolo11s_cap2_s0_diag_a2damage_s_s0_a2detonly_b1_retry1_b_e1_b64_s0_gpu0,formal_nomosaic_yolo11s_cap2_s0_diag_a2damage_s_s0_a2detonly_b1_retry1_gpu0,1,b,1.0,1,1.0,1.0,1.0,0
m_a2_detonly,a1,10,10,0.65533,1,0.65533,runs_public/ogsod/hbb/formal_nomosaic_20260528/ladd/yolo11m/cap2/ladd_hbb_ogsod11m_formal_nomosaic_yolo11m_cap2_s0_diag_a2damage_m_s0_a2detonly_b1_retry1_a1_e10_b32_s0_gpu1,formal_nomosaic_yolo11m_cap2_s0_diag_a2damage_m_s0_a2detonly_b1_retry1_gpu1,10,a1,1.0,1,1.0,1.0,1.0,0
m_a2_detonly,a2,50,50,0.64521,4,0.63892,runs_public/ogsod/hbb/formal_nomosaic_20260528/ladd/yolo11m/cap2/ladd_hbb_ogsod11m_formal_nomosaic_yolo11m_cap2_s0_diag_a2damage_m_s0_a2detonly_b1_retry1_a2_e50_b32_s0_gpu1,formal_nomosaic_yolo11m_cap2_s0_diag_a2damage_m_s0_a2detonly_b1_retry1_gpu1,50,a2,0.0,1,0.0,0.0,0.0,0
m_a2_detonly,b1,1,1,0.62422,1,0.62422,runs_public/ogsod/hbb/formal_nomosaic_20260528/ladd/yolo11m/cap2/ladd_hbb_ogsod11m_formal_nomosaic_yolo11m_cap2_s0_diag_a2damage_m_s0_a2detonly_b1_retry1_b_e1_b32_s0_gpu1,formal_nomosaic_yolo11m_cap2_s0_diag_a2damage_m_s0_a2detonly_b1_retry1_gpu1,1,b,1.0,1,1.0,1.0,1.0,0
s_a2_lr3e4,a1,10,10,0.62878,1,0.62878,runs_public/ogsod/hbb/formal_nomosaic_20260528/ladd/yolo11s/cap2/ladd_hbb_ogsod11s_formal_nomosaic_yolo11s_cap2_s0_diag_a2damage_s_s0_a2lr3e4_b1_a1_e10_b64_s0_gpu1,formal_nomosaic_yolo11s_cap2_s0_diag_a2damage_s_s0_a2lr3e4_b1_gpu1,10,a1,1.0,0,1.0,1.0,1.0,0
s_a2_lr3e4,a2,50,50,0.63309,13,0.62443,runs_public/ogsod/hbb/formal_nomosaic_20260528/ladd/yolo11s/cap2/ladd_hbb_ogsod11s_formal_nomosaic_yolo11s_cap2_s0_diag_a2damage_s_s0_a2lr3e4_b1_a2_e50_b64_s0_gpu1,formal_nomosaic_yolo11s_cap2_s0_diag_a2damage_s_s0_a2lr3e4_b1_gpu1,50,a2,1.0,0,1.0,1.0,1.0,0
s_a2_lr3e4,b1,1,1,0.60436,1,0.60436,runs_public/ogsod/hbb/formal_nomosaic_20260528/ladd/yolo11s/cap2/ladd_hbb_ogsod11s_formal_nomosaic_yolo11s_cap2_s0_diag_a2damage_s_s0_a2lr3e4_b1_b_e1_b64_s0_gpu1,formal_nomosaic_yolo11s_cap2_s0_diag_a2damage_s_s0_a2lr3e4_b1_gpu1,1,b,1.0,0,1.0,1.0,1.0,0
s_b_detonly_r2,b_snapshot292,292,292,0.63025,226,0.62594,runs_public/ogsod/hbb/formal_nomosaic_20260528/ladd/yolo11s/cap2/ladd_hbb_ogsod11s_formal_nomosaic_yolo11s_cap2_s0_diag_capkd_s_s0_bdetonly_b400_r2_b_e400_b64_s0_gpu0,formal_nomosaic_yolo11s_cap2_s0_diag_capkd_s_s0_bdetonly_b400_r2_gpu0,292,b,0.0,0,0.0,0.0,0.0,0
