batch,d_s_u_mean,d_s_u_median,d_s_u_q25,d_s_u_q75,d_s_z_mean,d_s_z_median,d_s_z_q25,d_s_z_q75,fg_ratio,learnability_gap_direct_mean,learnability_gap_direct_median,learnability_gap_direct_q25,learnability_gap_direct_q75,learnability_positive_ratio,level,tokens
0,2.2418839931488037,2.23996639251709,2.1767520904541016,2.305577516555786,0.020851392298936844,0.019596757367253304,0.01034520473331213,0.028849761933088303,0.005859375,2.2210326194763184,2.2225654125213623,2.1515307426452637,2.284003734588623,1.0,P3,512
0,2.1177220344543457,2.122086524963379,2.0716445446014404,2.1611225605010986,0.05776026099920273,0.041218772530555725,0.016963040456175804,0.08402353525161743,0.00390625,2.0599617958068848,2.079071521759033,2.0011444091796875,2.1317224502563477,1.0,P4,512
0,2.125094175338745,2.1350364685058594,2.098355770111084,2.153395652770996,0.043153684586286545,0.004737219773232937,0.0012979877647012472,0.014645925723016262,0.015625,2.0819404125213623,2.1289403438568115,2.0881128311157227,2.1483123302459717,0.9921875,P5,128
1,2.1398730278015137,2.134939670562744,2.1180028915405273,2.1650924682617188,0.0413660854101181,0.00428849458694458,0.0012310234596952796,0.012843646109104156,0.0,2.0985069274902344,2.1265861988067627,2.108137607574463,2.1575822830200195,0.9921875,P5,128
