epoch,fitness,metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(B),metrics/recall(B),primary_metric,primary_metric_key,train/box_loss,train/cls_loss,train/dfl_loss,train/loss,train/lr,val/loss
0,0.09297003772609136,0.19968017890867207,0.09297003772609136,0.3844784509386125,0.2016734368617017,0.09297003772609136,metrics/mAP50-95(B),3.7101933085400125,5.269723226194796,1.8157178365665934,689.3910932292109,0.0001,421.288379011483
1,0.10242864945858356,0.21492969557935662,0.10242864945858356,0.3748937241622488,0.2344959224293278,0.10242864945858356,metrics/mAP50-95(B),2.881286240660626,2.308222508430481,1.5124520312184873,426.5987193231997,9.99996183243828e-05,398.3586828297582
2,0.1152368531220894,0.23714742905490002,0.1152368531220894,0.3851623277722684,0.2609119289521386,0.1152368531220894,metrics/mAP50-95(B),2.8081000794535096,2.097643546436144,1.4777325894521631,407.26861758024796,9.99984733034171e-05,382.97589821651064
3,0.11090642212589899,0.2393979646096047,0.11090642212589899,0.41989625698121497,0.26055236478404087,0.11090642212589899,metrics/mAP50-95(B),2.7509051530257516,2.01390592481779,1.4489738267400991,395.7427924612294,9.999656495476053e-05,374.0747009803509
4,0.12221483090928537,0.25969723717279497,0.12221483090928537,0.42399058204885015,0.281442220059509,0.12221483090928537,metrics/mAP50-95(B),2.6989000812820767,1.9225944529408994,1.4330330485882967,385.70142402648924,9.999389330784221e-05,364.5865896816911
5,0.13034852984390166,0.27227736196993196,0.13034852984390166,0.4410668993114566,0.29875254277216473,0.13034852984390166,metrics/mAP50-95(B),2.6593094297077347,1.900915901557259,1.4141800009686014,380.07302133311396,9.999045840386222e-05,361.52064172152814
6,0.13601275391086443,0.28363848453976126,0.13601275391086443,0.4402782953484106,0.3021606574594254,0.13601275391086443,metrics/mAP50-95(B),2.6367077443910683,1.848538146848264,1.4119182959846828,375.8273952152418,9.998626029579104e-05,357.05336551008554
7,0.142255790120596,0.29108402738759204,0.142255790120596,0.4409770455706146,0.3208328861912692,0.142255790120596,metrics/mAP50-95(B),2.609849644743878,1.8264825986779254,1.388605789516283,371.4388010605522,9.998129904836869e-05,354.54616244085906
8,0.1459536258920571,0.3010298034242897,0.1459536258920571,0.4481469472904606,0.31924768917821716,0.1459536258920571,metrics/mAP50-95(B),2.593446222077245,1.794712203481923,1.3879093061322751,367.91719829725184,9.997557473810373e-05,349.08403488685343
9,0.15409383140508406,0.31491540960941206,0.15409383140508406,0.45819897039340884,0.33888796554918565,0.15409383140508406,metrics/mAP50-95(B),2.550248274595841,1.733953170672707,1.3751083234082098,360.5503964299741,9.99690874532721e-05,343.49733339507003
10,0.15601912763505216,0.31634130957824363,0.15601912763505216,0.456714575197436,0.3395441171754898,0.15601912763505216,metrics/mAP50-95(B),2.5297906668289847,1.7074593839438066,1.3601670374041017,356.9523032312808,9.99618372939158e-05,342.9349146875842
11,0.15287388292088785,0.3171362013625389,0.15287388292088785,0.5032257471855676,0.3291385192263356,0.15287388292088785,metrics/mAP50-95(B),2.5141855162122977,1.6622294628101846,1.3584472842838453,352.233969713294,9.995382437184121e-05,339.1362391504748
12,0.15607385417147615,0.31434525195481194,0.15607385417147615,0.45171128696778795,0.3317620943719252,0.15607385417147615,metrics/mAP50-95(B),2.504204489355502,1.6437909416530443,1.3484559079875116,350.3171606976053,9.994504881061753e-05,342.20333520297345
13,0.17314506578707473,0.34277257055953747,0.17314506578707473,0.4750463542448981,0.3576775226518573,0.17314506578707473,metrics/mAP50-95(B),2.4626747172811756,1.6078841810641082,1.3278045172276705,344.0762724171514,9.993551074557474e-05,332.7833778118265
14,0.18207968038626526,0.35509348377048705,0.18207968038626526,0.4940620988138285,0.37271090719791994,0.18207968038626526,metrics/mAP50-95(B),2.448913329580556,1.589301165290501,1.3227048987927643,341.7501114389171,9.992521032380163e-05,328.2545221262965
15,0.18276436303159596,0.3536436321832405,0.18276436303159596,0.501825577843881,0.3719034171700643,0.18276436303159596,metrics/mAP50-95(B),2.430509691134743,1.5650863808134328,1.3119972882063493,338.10790869671365,9.991414770414344e-05,331.03585315572803
16,0.18726959769469154,0.3672760738822825,0.18726959769469154,0.5135202939180193,0.3844821918403542,0.18726959769469154,metrics/mAP50-95(B),2.420449555956799,1.5573089905407118,1.3206789586855017,337.3781223960545,9.990232305719943e-05,327.59783080528524
17,0.18563775056780588,0.36712515555623804,0.18563775056780588,0.5176374870528639,0.3772842657744127,0.18563775056780588,metrics/mAP50-95(B),2.4004231712092525,1.5326676182124925,1.3053120892980825,333.1805132658585,9.988973656532032e-05,326.9979501921555
18,0.19150519259646118,0.3742137738976435,0.19150519259646118,0.5155808896558278,0.3947835739844785,0.19150519259646118,metrics/mAP50-95(B),2.377926844617595,1.5029135216837344,1.2890687672988228,329.91312028636105,9.987638842260538e-05,322.26131412900725
19,0.1898420583283702,0.3722681408448742,0.1898420583283702,0.5104792423705412,0.39503801274005307,0.1898420583283702,metrics/mAP50-95(B),2.3856544230295262,1.4945669936097186,1.295185443111088,329.2880618883216,9.986227883489944e-05,323.5956188070363
20,0.19162922544211541,0.37736674249035523,0.19162922544211541,0.4970019740818237,0.4055350795967379,0.19162922544211541,metrics/mAP50-95(B),2.358055792165839,1.4765334730562956,1.28482666015625,325.84036795574684,9.984740801978984e-05,318.8999753491632
21,0.19997643485781813,0.38668905106682394,0.19997643485781813,0.5238998565671604,0.40391306266711596,0.19997643485781813,metrics/mAP50-95(B),2.351025017966395,1.4557578724363576,1.2710586687792902,323.5166005839472,9.983177620660293e-05,318.160018263192
22,0.19826134036481632,0.38277805382188107,0.19826134036481632,0.50396443448972,0.4098532675594427,0.19826134036481632,metrics/mAP50-95(B),2.33378491660823,1.436862492043039,1.2677079345868982,321.13688638106635,9.981538363640061e-05,317.21997293932685
23,0.20973504447065083,0.3980660777513508,0.20973504447065083,0.5154658361065431,0.4172243525041108,0.20973504447065083,metrics/mAP50-95(B),2.301813656869142,1.427225729175236,1.2565127419388813,318.1770232822584,9.979823056197658e-05,312.9626887091275
24,0.20818695158172057,0.4017217841415554,0.20818695158172057,0.5191054519848078,0.42275315500927063,0.20818695158172057,metrics/mAP50-95(B),2.3015045103819474,1.4170299006545026,1.2566061533015707,316.7033915312394,9.978031724785248e-05,312.31684309860754
25,0.2118462673000445,0.4005927665866536,0.2118462673000445,0.5123240560713722,0.4229035507599996,0.2118462673000445,metrics/mAP50-95(B),2.282495415729025,1.3919023459372313,1.2415961408096812,313.21803497646164,9.976164397027378e-05,309.49955446966766
26,0.21773997408115545,0.4133062518059467,0.21773997408115545,0.5364891870829037,0.42852148192099654,0.21773997408115545,metrics/mAP50-95(B),2.266049345161604,1.37566570924676,1.2382118717483852,311.28566751894743,9.97422110172055e-05,306.4897801629428
27,0.21788052100164626,0.40977813880606023,0.21788052100164626,0.5487398503619904,0.42149915771212076,0.21788052100164626,metrics/mAP50-95(B),2.2451801253401715,1.357361600709998,1.2303829799527708,308.5348563069883,9.972201868832783e-05,311.12372523340684
28,0.2222551865464442,0.4177354573702248,0.2222551865464442,0.5343132112912252,0.43702017024469714,0.2222551865464442,metrics/mAP50-95(B),2.241108540348385,1.3487511318662893,1.2284936873809151,306.6313681892727,9.970106729503144e-05,307.18258785379345
29,0.2230782640779765,0.4174404884029834,0.2230782640779765,0.5373718083432872,0.43223732518084584,0.2230782640779765,metrics/mAP50-95(B),2.238623350599538,1.343538133216941,1.2252110242843628,306.539021649568,9.967935716041276e-05,304.0396148418558
30,0.21614345761343876,0.40824037549184217,0.21614345761343876,0.5156460851936637,0.4369196204722627,0.21614345761343876,metrics/mAP50-95(B),2.221362519264221,1.323883209798647,1.2124223864596824,303.09413936449135,9.96568886192689e-05,306.26032112384667
31,0.23139415270750555,0.4297237827710623,0.23139415270750555,0.5549512775259234,0.43581326917026403,0.23139415270750555,metrics/mAP50-95(B),2.2048789501190185,1.3068169897017272,1.2155972102414008,301.5419004523236,9.963366201809257e-05,300.4353486422835
32,0.22370013979766487,0.4208695210580738,0.22370013979766487,0.5465797121443744,0.4350145890483848,0.22370013979766487,metrics/mAP50-95(B),2.1905372256818025,1.2989110705645188,1.2052329281102057,299.3767659228781,9.96096777150667e-05,303.30915740440633
33,0.22559179158463888,0.4221935337629572,0.22559179158463888,0.5339890676749269,0.44423400286386583,0.22559179158463888,metrics/mAP50-95(B),2.2022495280141414,1.2999800954176033,1.2107270183770553,300.3339886706808,9.958493608005889e-05,301.08778512888944
34,0.2350396984675468,0.43403504024040424,0.2350396984675468,0.5487041558045304,0.4461659509526208,0.2350396984675468,metrics/mAP50-95(B),2.176178769443346,1.2848594411559726,1.2006159538808077,297.6316664322563,9.95594374946158e-05,295.8822554226579
35,0.22941811722567554,0.43279806539631654,0.22941811722567554,0.557810427238553,0.44040208177046947,0.22941811722567554,metrics/mAP50-95(B),2.171846191779427,1.2746597616568855,1.1912256082762842,295.4863153872283,9.953318235195711e-05,297.1947346391349
36,0.2430535798818845,0.44951745168174595,0.2430535798818845,0.5600149464217522,0.4603925291916917,0.2430535798818845,metrics/mAP50-95(B),2.1473134932310685,1.2493657757406649,1.1808348137399425,291.8611176200535,9.950617105696965e-05,292.16869038548964
