epoch,time,train/s_box_loss,train/s_cls_loss,train/s_dfl_loss,train/t_box_loss,train/t_cls_loss,train/t_dfl_loss,train/cclkd_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/s_box_loss,val/s_cls_loss,val/s_dfl_loss,val/t_box_loss,val/t_cls_loss,val/t_dfl_loss,val/cclkd_loss,lr/pg0,lr/pg1,lr/pg2
30,6498.56,2.40666,1.80887,1.20285,2.15879,1.88806,1.15051,2.58535,0.45251,0.36794,0.364291,0.174737,nan,nan,nan,nan,nan,nan,nan,0.00928225,0.00928225,0.00928225
31,6869.49,2.41572,1.81019,1.20795,2.15426,1.88135,1.15496,2.38297,0.464169,0.376422,0.374098,0.180589,nan,nan,nan,nan,nan,nan,nan,0.0092575,0.0092575,0.0092575
32,7168.59,2.41847,1.8054,1.19405,2.15467,1.87404,1.14554,2.39025,0.490799,0.378719,0.379539,0.180184,nan,nan,nan,nan,nan,nan,nan,0.00923275,0.00923275,0.00923275
33,7310.87,2.40494,1.79305,1.19383,2.14789,1.8526,1.14231,2.44724,0.487011,0.386414,0.386745,0.186775,nan,nan,nan,nan,nan,nan,nan,0.009208,0.009208,0.009208
34,7453.67,2.38434,1.77028,1.18989,2.1292,1.82587,1.13956,2.5592,0.499675,0.387493,0.392328,0.192261,nan,nan,nan,nan,nan,nan,nan,0.00918325,0.00918325,0.00918325
35,7615.39,2.39744,1.78119,1.18537,2.14217,1.81996,1.13876,2.40709,0.490423,0.398737,0.399532,0.195953,nan,nan,nan,nan,nan,nan,nan,0.0091585,0.0091585,0.0091585
36,7756.96,2.38201,1.76547,1.18495,2.12484,1.80042,1.13593,2.39859,0.476968,0.391772,0.394778,0.191408,nan,nan,nan,nan,nan,nan,nan,0.00913375,0.00913375,0.00913375
37,8074.15,2.37646,1.76415,1.18947,2.11936,1.79208,1.13723,2.34566,0.46646,0.403963,0.397526,0.195284,nan,nan,nan,nan,nan,nan,nan,0.009109,0.009109,0.009109
38,8442.14,2.37154,1.75031,1.19042,2.12565,1.78897,1.14305,2.4213,0.482448,0.399581,0.397955,0.197865,nan,nan,nan,nan,nan,nan,nan,0.00908425,0.00908425,0.00908425
39,8712.72,2.36331,1.73384,1.18317,2.10685,1.76254,1.13334,2.19092,0.497458,0.420193,0.413339,0.206744,nan,nan,nan,nan,nan,nan,nan,0.0090595,0.0090595,0.0090595
