key,label,model,kind,epochs,first_ap,best,best_epoch,last,last_epoch,best_final_drop,best_first120,best_first120_epoch,last100_slope,source
n_baseline,SAR n baseline train 800ep,n,baseline,800,0.05211,0.55654,734,0.55127,800,0.005269999999999997,0.35655,120,-3.8922652265228657e-05,ladd/results/ladd90_formal_baselines_20260612/results/sar_yolo11n_s0_b64.csv
n_old_cap2_s0_no_bnfreeze,old no-mosaic n cap2 s0 no-BN-freeze B800,n,old_ladd_b,800,0.53675,0.57662,725,0.57504,800,0.0015800000000000258,0.53675,1,-2.4143954395440166e-05,ladd/results/converged_mainline_ladd_20260613/source/no_mosaic_90/n_cap2/ladd_hbb_ogsod11n_formal_nomosaic_yolo11n_cap2_s0_a2mu1e3_b_e800_b64_s0_gpu6/results.csv
n_old_cap2_s0_bnfreeze,old no-mosaic n cap2 s0 BN-freeze B800,n,old_ladd_b,800,0.52679,0.57276,793,0.57254,800,0.00021999999999999797,0.55213,117,2.47536153615352e-05,ladd/results/converged_mainline_ladd_20260613/source/no_mosaic_90/n_cap2/ladd_hbb_ogsod11n_formal_nomosaic_yolo11n_cap2_s0_bnfreeze1e3_90_gpu7_b_e800_b64_s0_gpu7/results.csv
n_old_cap2_s123_crash,old no-mosaic n s123 old-B crash,n,old_ladd_b,483,0.52182,0.52182,1,0.0,483,0.52182,0.52182,1,-0.0046155591359135955,ladd/results/converged_mainline_ladd_20260613/source/no_mosaic_90/n_cap2/ladd_hbb_ogsod11n_formal_nomosaic_yolo11n_cap2_s123_a2mu1e3_b_e800_b64_s123_gpu5/results.csv
n_current_n1,current N1 SAR baseline cont. B100,n,current_b_entrance,100,0.54123,0.56615,99,0.56594,100,0.00021000000000004349,0.56615,99,0.0003230658265826573,ladd/results/b_entrance_20260613/evidence/ladd4090/N1_basecontinue_b100/run_files/results.csv
n_current_n3,current N3 SAR-base + A2-last decomp B100,n,current_b_entrance,100,0.51435,0.55722,100,0.55722,100,0.0,0.55722,100,0.0005345981398139811,ladd/results/b_entrance_20260613/evidence/ladd4090/N3_base_a2last_decomp_b100/run_files/results.csv
n_current_n4,current N4 N3 + KD ramp B120,n,current_b_entrance,120,0.53806,0.56379,113,0.56311,120,0.0006800000000000139,0.56379,113,0.0001730253825382519,ladd/results/b_entrance_20260613/evidence/ladd4090/N4_base_a2last_kdramp_b120/run_files/results.csv
s_baseline,SAR s baseline train 800ep,s,baseline,800,0.05413,0.62897,729,0.62233,800,0.006639999999999979,0.4369,120,-6.602022202220294e-05,ladd/results/ladd90_formal_baselines_20260612/results/sar_yolo11s_s0_b64.csv
s_old_cap2_s0_no_bnfreeze,old no-mosaic s cap2 s0 no-BN-freeze B608,s,old_ladd_b,608,0.60675,0.63551,605,0.63527,608,0.00024000000000001798,0.60675,1,0.00013648166816681374,ladd/results/converged_mainline_ladd_20260613/source/no_mosaic_90/s_cap2/ladd_hbb_ogsod11n_formal_nomosaic_yolo11s_cap2_s0_a2mu1e3_b_e800_b64_s0_gpu5/results.csv
s_old_cap2_s0_bnfreeze,old no-mosaic s cap2 s0 BN-freeze B800,s,old_ladd_b,800,0.6057,0.63388,263,0.61759,800,0.016290000000000027,0.62654,118,-4.5586558656193616e-07,ladd/results/converged_mainline_ladd_20260613/source/no_mosaic_4090dual/s_cap2/ladd_hbb_ogsod11n_formal_nomosaic_yolo11s_cap2_s0_bnfreeze1e3_public4090dual_final_v2_b_e800_b64_s0_gpu1/results.csv
s_current_s1,current S1 SAR baseline cont. B100,s,current_b_entrance,100,0.61471,0.62493,62,0.62238,100,0.002549999999999941,0.62493,62,0.00014964326432642826,ladd/results/b_entrance_20260613/evidence/autodl/S1_basecontinue_b100_autodl/run_files/results.csv
s_current_s3,current S3 SAR-base + A2-last decomp B100,s,current_b_entrance,100,0.60625,0.62553,65,0.62262,100,0.002910000000000079,0.62553,65,0.0001426656465646526,ladd/results/b_entrance_20260613/evidence/ladd4090/S3_base_a2last_decomp_b100/run_files/results.csv
s_current_s4,current S4 S3 + KD ramp B120,s,current_b_entrance,120,0.61462,0.62521,62,0.62111,120,0.0040999999999999925,0.62521,62,5.079261926192468e-05,docs/experiments/figures/ladd_b_entrance_trends_20260614/source/S4_latest_results.csv
