group,probe_final,probe_best,control_final,control_best,final_delta,best_delta,late5_delta,late10_delta,late20_delta,positive_epochs,total_common,max_delta,max_delta_epoch
img512_std,0.364040,0.364490,0.365240,0.369400,-0.001200,-0.004910,-0.001296,-0.001675,-0.001427,44,200,0.022000,41
img256_std,0.255680,0.256600,0.255680,0.257550,0.000000,-0.000950,-0.000650,-0.000402,-0.000274,105,200,0.030190,16
img256_nomix,0.258160,0.259460,0.262210,0.263210,-0.004050,-0.003750,-0.003916,-0.003796,-0.003352,53,200,0.018880,50
