epoch,stage,lr_pg0,lr_pg1,lr_pg2,train_box_loss,train_cls_loss,train_dfl_loss,kd_loss,reach_match_loss,reach_rank_loss,bn_running_var_max,bn_running_var_mean,bn_running_var_p95,bn_running_mean_abs_max,bn_num_layers,bn_stats_mode,bn_stats_frozen_this_epoch,nan_or_inf_detected,grad_norm_total,grad_norm_backbone,grad_norm_neck,grad_norm_head
1,a1,0.00047426231884057973,0.00047426231884057973,0.00047426231884057973,0.0,0.0,0.0,0.0,0.58014,0.3103,155.75,1.1527643203735352,5.660747528076172,20.984375,81,normal,0,0,16.764955520629883,nan,nan,12.806021690368652
2,a1,0.0008564866826086955,0.0008564866826086955,0.0008564866826086955,0.0,0.0,0.0,0.0,0.01613,0.15529,155.75,1.1527643203735352,5.660747528076172,20.984375,81,normal,0,0,10.521782875061035,nan,nan,5.6024603843688965
3,a1,0.0011443970463768114,0.0011443970463768114,0.0011443970463768114,0.0,0.0,0.0,0.0,0.00956,0.15435,155.75,1.1527643203735352,5.660747528076172,20.984375,81,normal,0,0,8.88294506072998,nan,nan,2.8893516063690186
4,a1,0.001004587,0.001004587,0.001004587,0.0,0.0,0.0,0.0,0.00647,0.1539,155.75,1.1527643203735352,5.660747528076172,20.984375,81,normal,0,0,10.525920867919922,nan,nan,2.23410964012146
5,a1,0.0008631159999999999,0.0008631159999999999,0.0008631159999999999,0.0,0.0,0.0,0.0,0.00462,0.15364,155.75,1.1527643203735352,5.660747528076172,20.984375,81,normal,0,0,14.218875885009766,nan,nan,5.754871368408203
6,a1,0.0007216449999999999,0.0007216449999999999,0.0007216449999999999,0.0,0.0,0.0,0.0,0.00372,0.15351,155.75,1.1527643203735352,5.660747528076172,20.984375,81,normal,0,0,6.764377593994141,nan,nan,1.6198008060455322
7,a1,0.000580174,0.000580174,0.000580174,0.0,0.0,0.0,0.0,0.00282,0.15338,155.75,1.1527643203735352,5.660747528076172,20.984375,81,normal,0,0,6.441127300262451,nan,nan,3.0942559242248535
8,a1,0.00043870300000000003,0.00043870300000000003,0.00043870300000000003,0.0,0.0,0.0,0.0,0.00239,0.15332,155.75,1.1527643203735352,5.660747528076172,20.984375,81,normal,0,0,7.299809455871582,nan,nan,2.865792989730835
9,a1,0.0002972319999999999,0.0002972319999999999,0.0002972319999999999,0.0,0.0,0.0,0.0,0.00197,0.15326,155.75,1.1527643203735352,5.660747528076172,20.984375,81,normal,0,0,8.6481294631958,nan,nan,4.772376537322998
10,a1,0.00015576099999999995,0.00015576099999999995,0.00015576099999999995,0.0,0.0,0.0,0.0,0.00167,0.15322,155.75,1.1527643203735352,5.660747528076172,20.984375,81,normal,0,0,6.969110488891602,nan,nan,2.7873833179473877
