epoch,time,train/s_box_loss,train/s_cls_loss,train/s_dfl_loss,train/t_box_loss,train/t_cls_loss,train/t_dfl_loss,train/cclkd_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/s_box_loss,val/s_cls_loss,val/s_dfl_loss,val/t_box_loss,val/t_cls_loss,val/t_dfl_loss,val/cclkd_loss,lr/pg0,lr/pg1,lr/pg2
30,7108.59,2.41683,1.82201,1.19004,2.19794,1.9403,1.16937,2.57619,0.472553,0.388954,0.382636,0.183264,nan,nan,nan,nan,nan,nan,nan,0.00928225,0.00928225,0.00928225
31,7348.41,2.39431,1.78738,1.19271,2.18466,1.90586,1.16972,2.59224,0.486558,0.388394,0.385355,0.189071,nan,nan,nan,nan,nan,nan,nan,0.0092575,0.0092575,0.0092575
32,7591.32,2.38988,1.78398,1.18846,2.17881,1.90113,1.17036,2.62329,0.482011,0.386498,0.386225,0.186476,nan,nan,nan,nan,nan,nan,nan,0.00923275,0.00923275,0.00923275
33,7828.88,2.41265,1.79532,1.18958,2.17413,1.87989,1.1583,2.56323,0.481054,0.389077,0.386624,0.189135,nan,nan,nan,nan,nan,nan,nan,0.009208,0.009208,0.009208
34,8066.03,2.37643,1.77826,1.18549,2.16161,1.86695,1.15671,2.57938,0.479203,0.386883,0.387878,0.189613,nan,nan,nan,nan,nan,nan,nan,0.00918325,0.00918325,0.00918325
35,8307.5,2.3991,1.78014,1.18358,2.16282,1.84234,1.15819,2.71725,0.501761,0.397091,0.397864,0.194121,nan,nan,nan,nan,nan,nan,nan,0.0091585,0.0091585,0.0091585
36,8550.05,2.37884,1.75283,1.17248,2.1616,1.84986,1.14794,2.58331,0.490621,0.398569,0.397598,0.195624,nan,nan,nan,nan,nan,nan,nan,0.00913375,0.00913375,0.00913375
37,8783.99,2.37211,1.75683,1.17745,2.14936,1.83454,1.15456,2.53007,0.503901,0.406134,0.404339,0.200844,nan,nan,nan,nan,nan,nan,nan,0.009109,0.009109,0.009109
38,9031.83,2.38333,1.76747,1.17719,2.16027,1.84454,1.15402,2.57845,0.499592,0.397643,0.405874,0.203909,nan,nan,nan,nan,nan,nan,nan,0.00908425,0.00908425,0.00908425
39,9271.65,2.35804,1.74066,1.1777,2.13216,1.81232,1.15412,2.62334,0.499968,0.407684,0.409473,0.207762,nan,nan,nan,nan,nan,nan,nan,0.0090595,0.0090595,0.0090595
40,9514.16,2.34957,1.73389,1.17065,2.129,1.78938,1.14804,2.44217,0.49665,0.404289,0.408055,0.204866,nan,nan,nan,nan,nan,nan,nan,0.00903475,0.00903475,0.00903475
41,9768.95,2.36355,1.72925,1.17355,2.13826,1.78785,1.14904,2.49011,0.494383,0.412811,0.410178,0.206075,nan,nan,nan,nan,nan,nan,nan,0.00901,0.00901,0.00901
42,10002.8,2.35252,1.73225,1.18036,2.11514,1.77477,1.14898,2.54,0.501441,0.413509,0.417335,0.213721,nan,nan,nan,nan,nan,nan,nan,0.00898525,0.00898525,0.00898525
43,10253.9,2.3558,1.71902,1.16416,2.14158,1.77082,1.14168,2.47653,0.507288,0.424691,0.41989,0.215309,nan,nan,nan,nan,nan,nan,nan,0.0089605,0.0089605,0.0089605
