epoch,stage,lr_pg0,lr_pg1,lr_pg2,train_box_loss,train_cls_loss,train_dfl_loss,kd_loss,reach_match_loss,reach_rank_loss,bn_running_var_max,bn_running_var_mean,bn_running_var_p95,bn_running_mean_abs_max,bn_num_layers,bn_stats_mode,bn_stats_frozen_this_epoch,nan_or_inf_detected,grad_norm_total,grad_norm_backbone,grad_norm_neck,grad_norm_head
1,a2,0.003,0.001,0.003,0.76533,0.37195,0.80289,0.0,0.00154,0.1532,155.75,1.1527643203735352,5.660747528076172,20.984375,81,normal,0,0,96.2671127319336,nan,nan,1.8199626207351685
2,a2,0.0029406,0.0009802,0.0029406,0.78694,0.38085,0.80414,0.0,0.00148,0.15319,155.75,1.1527643203735352,5.660747528076172,20.984375,81,normal,0,0,83.06624603271484,nan,nan,2.128220796585083
3,a2,0.0028812,0.0009603999999999999,0.0028812,0.79491,0.38226,0.80238,0.0,0.0014,0.15318,155.75,1.1527643203735352,5.660747528076172,20.984375,81,normal,0,0,99.97545623779297,nan,nan,2.289602279663086
4,a2,0.0028218,0.0009406,0.0028218,0.80221,0.38557,0.8043,0.0,0.00136,0.15317,155.75,1.1527643203735352,5.660747528076172,20.984375,81,normal,0,0,112.72063446044922,nan,nan,3.4773974418640137
5,a2,0.0027624000000000004,0.0009208,0.0027624000000000004,0.79277,0.3826,0.80445,0.0,0.0013,0.15316,155.75,1.1527643203735352,5.660747528076172,20.984375,81,normal,0,0,145.40301513671875,nan,nan,2.2677080631256104
6,a2,0.002703,0.000901,0.002703,0.7936,0.38253,0.80408,0.0,0.00124,0.15315,155.75,1.1527643203735352,5.660747528076172,20.984375,81,normal,0,0,91.07142639160156,nan,nan,2.3258614540100098
7,a2,0.0026436,0.0008812,0.0026436,0.79597,0.38265,0.80336,0.0,0.00122,0.15315,155.75,1.1527643203735352,5.660747528076172,20.984375,81,normal,0,0,71.24857330322266,nan,nan,4.19412088394165
8,a2,0.0025842,0.0008614,0.0025842,0.78411,0.37857,0.80325,0.0,0.00119,0.15315,155.75,1.1527643203735352,5.660747528076172,20.984375,81,normal,0,0,85.2672119140625,nan,nan,2.0222811698913574
9,a2,0.0025248000000000002,0.0008416000000000001,0.0025248000000000002,0.79318,0.38209,0.80171,0.0,0.00116,0.15314,155.75,1.1527643203735352,5.660747528076172,20.984375,81,normal,0,0,109.30582427978516,nan,nan,4.66347599029541
10,a2,0.0024654000000000004,0.0008218000000000001,0.0024654000000000004,0.78722,0.38042,0.80341,0.0,0.00114,0.15314,155.75,1.1527643203735352,5.660747528076172,20.984375,81,normal,0,0,65.92252349853516,nan,nan,3.1829936504364014
11,a2,0.002406,0.0008020000000000001,0.002406,0.78104,0.37738,0.80192,0.0,0.0011,0.15313,155.75,1.1527643203735352,5.660747528076172,20.984375,81,normal,0,0,95.52313995361328,nan,nan,1.5120803117752075
12,a2,0.0023466,0.0007822,0.0023466,0.78282,0.3776,0.80219,0.0,0.00108,0.15313,155.75,1.1527643203735352,5.660747528076172,20.984375,81,normal,0,0,100.12786102294922,nan,nan,2.1020283699035645
13,a2,0.0022872,0.0007624,0.0022872,0.78413,0.37847,0.80268,0.0,0.00107,0.15313,155.75,1.1527643203735352,5.660747528076172,20.984375,81,normal,0,0,95.93423461914062,nan,nan,2.9535534381866455
14,a2,0.0022278000000000003,0.0007426,0.0022278000000000003,0.77925,0.37721,0.80194,0.0,0.00105,0.15313,155.75,1.1527643203735352,5.660747528076172,20.984375,81,normal,0,0,110.69692993164062,nan,nan,3.5596582889556885
15,a2,0.0021684,0.0007228,0.0021684,0.7701,0.37425,0.80129,0.0,0.00104,0.15313,155.75,1.1527643203735352,5.660747528076172,20.984375,81,normal,0,0,56.5952262878418,nan,nan,1.3599920272827148
