server,run_key,method,rows,latest_epoch,latest_map50,latest_map5095,best_map5095,best_epoch,late5_map5095,late10_map5095,late20_map5095,late50_map5095,matched_det_rows,latest_delta_vs_detonly,late20_delta_vs_detonly,positive_epochs_vs_detonly,matched_plain_rows,latest_delta_vs_plain,late20_delta_vs_plain,positive_epochs_vs_plain,mainline_evidence_allowed,rank_d_neg_cap_arg,alpha_s_rec_arg,alpha_kd_arg,lambda_reach_arg,student_branch_mode_arg,reach_input_mode_arg,ladd_b_detach_reach_probe_diag,ladd_b_frozen_reach_probe_diag,effective_alpha_s_rec_diag,effective_alpha_kd_diag,effective_lambda_reach_diag,note
remote_3090,detonly,detonly_control_yoloinit,580,580,0.790990,0.524430,0.524680,578,0.524532,0.524178,0.523251,0.520193,580,0.000000,0.000000,0,364,-0.017040,-0.017197,22,yes,,,,,,,0,0,0.0,0.0,0.0,running control
remote_3090,plain,dynamic_plain_yoloinit,364,364,0.749290,0.486110,0.486230,363,0.485858,0.485031,0.483508,0.478032,364,0.017040,0.017197,342,364,0.000000,0.000000,0,yes,,,,,,,0,0,0.1,1.0,1.0,running plain anchor; current strongest conceptual baseline
remote_3090,singleproj,dynamic_singleproj_yoloinit,463,463,0.778740,0.510170,0.510170,463,0.509912,0.509354,0.507844,0.504716,463,0.015170,0.014497,424,364,-0.000670,-0.000660,194,yes,,,,,,,0,0,0.0,1.0,1.0,running; positive vs det-only but below plain at matched overlap
remote_3090,wo_s_rec,dynamic_wo_s_rec_yoloinit,492,492,0.786900,0.519450,0.519450,492,0.518720,0.518238,0.516808,0.512596,492,0.016080,0.015645,470,364,-0.003100,-0.003238,70,yes,,,,,,,0,0,0.0,1.0,1.0,running; positive vs det-only but below plain at matched overlap
remote_3090,reach_rawinput,dynamic_reach_rawinput_yoloinit,340,340,0.738930,0.477950,0.477950,340,0.477576,0.476759,0.475021,0.469316,340,0.015130,0.015467,319,340,-0.001120,0.000039,310,yes,,,,,,,0,0,0.1,1.0,1.0,"running; close to plain, tests raw input for reach"
remote_3090,capR2,dynamic_capR2_yoloinit,135,135,0.618780,0.371220,0.371220,135,0.370258,0.368886,0.366395,0.358832,135,0.004840,0.005270,113,135,0.000000,0.000000,0,yes,,,,,,,0,0,0.1,1.0,1.0,"running; early, weak positive vs det-only"
remote_3090,capR4,dynamic_capR4_yoloinit,138,138,0.621750,0.371350,0.371350,138,0.369960,0.368636,0.366175,0.357973,138,0.003260,0.003344,95,138,-0.001920,-0.001761,10,yes,,,,,,,0,0,0.1,1.0,1.0,"running; early, cap-disabled-ish control"
remote_3090,detach_probe,dynamic_plain_detach_reach_probe_yoloinit,10,10,0.274000,0.115050,0.115050,10,0.086548,0.056203,0.056203,0.056203,10,0.010940,-0.004475,3,10,0.003730,-0.004370,4,yes,,,,,,,1,0,0.0333333333333333,0.3333333333333333,1.0,running but very early; probe gradient diagnostic
remote_3090,combo_singleproj_raw_STOPPED,combo_singleproj_raw_STOPPED,40,40,0.497010,0.261360,0.261360,40,0.254508,0.243596,0.217177,0.157728,40,0.005480,0.001606,19,40,0.001920,0.001446,21,no,,,,,,,0,0,0.0,1.0,1.0,stopped diagnostic combo; do not use as main evidence
remote_3090,combo_raw_wo_srec_STOPPED,combo_raw_wo_srec_STOPPED,43,43,0.508270,0.269740,0.269740,43,0.263160,0.253616,0.230432,0.163576,43,0.003540,0.001469,21,43,0.001920,0.001842,17,no,,,,,,,0,0,0.0,1.0,1.0,stopped diagnostic combo; do not use as main evidence
