epoch,stage,lr_pg0,lr_pg1,lr_pg2,train_box_loss,train_cls_loss,train_dfl_loss,kd_loss,reach_match_loss,reach_rank_loss,cmdistill_pcc_levels,cmdistill_slrd_tokens,cmdistill_ibcld_candidate_ratio,cmdistill_ibcld_fg_count,cmdistill_ibcld_teacher_conf_added_count,cmdistill_ibcld_cls_loss,cmdistill_ibcld_box_loss,cmdistill_pcc_loss,cmdistill_relation_loss,cmdistill_ibcld_loss,cmdistill_total_loss,bn_running_var_max,bn_running_var_mean,bn_running_var_p95,bn_running_mean_abs_max,bn_num_layers,bn_stats_mode,bn_stats_frozen_this_epoch,nonfinite_metrics_or_cmdistill,nonfinite_bn_stats,nan_or_inf_detected,grad_norm_total,grad_norm_backbone,grad_norm_neck,grad_norm_head,base_alpha_kd,effective_alpha_kd,kd_multiplier,kd_warmup_active,ladd_kd_decay_mode,ladd_kd_decay_start_epoch,ladd_kd_decay_end_epoch,ladd_kd_final_mult,ladd_kd_stop_after_epoch,b_loss_warmup_mode,b_loss_warmup_start_epoch,b_loss_warmup_end_epoch,b_loss_warmup_final_mult,b_loss_warmup_scope,b_loss_warmup_multiplier,b_loss_warmup_active,ladd_b_a2_core,ladd_b_frozen_reach_probe,ladd_b_detach_reach_probe,ladd_b_keep_reach_probe_grad,ladd_b_det_only,ladd_a2_det_only,effective_alpha_s_rec,effective_lambda_reach,effective_lambda_match_inner,effective_lambda_rank_inner
11,b,0.02998855118817473,0.009996183729391579,0.02998855118817473,2.54713,1.85664,1.31693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.6614227294922,2.899948835372925,10.06888198852539,31.111495971679688,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,0.0,1.0,0,none,-1,-1,1.0,-1,linear,0,30,1.0,core,0.36666666666666664,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0
12,b,0.02998614731155236,0.009995382437184121,0.02998614731155236,2.52557,1.82149,1.30381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249.0902862548828,3.203279733657837,10.93297004699707,31.655170440673828,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,0.0,1.0,0,none,-1,-1,1.0,-1,linear,0,30,1.0,core,0.4,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0
13,b,0.029983514643185254,0.009994504881061753,0.029983514643185254,2.49665,1.78784,1.29447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,264.7274169921875,3.52693510055542,11.72260570526123,36.237998962402344,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,0.0,1.0,0,none,-1,-1,1.0,-1,linear,0,30,1.0,core,0.43333333333333335,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0
14,b,0.029980653223672417,0.009993551074557473,0.029980653223672417,2.48159,1.76357,1.27409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.36468505859375,3.725006103515625,12.796809196472168,37.99920654296875,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,0.0,1.0,0,none,-1,-1,1.0,-1,linear,0,30,1.0,core,0.4666666666666667,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0
15,b,0.02997756309714049,0.009992521032380164,0.02997756309714049,2.45602,1.73957,1.27147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,298.1516418457031,3.9863715171813965,13.221173286437988,36.720008850097656,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,0.0,1.0,0,none,-1,-1,1.0,-1,linear,0,30,1.0,core,0.5,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0
16,b,0.029974244311243032,0.009991414770414344,0.029974244311243032,2.44553,1.71277,1.26524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,323.8826599121094,4.2546067237854,13.791997909545898,37.04090118408203,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,0.0,1.0,0,none,-1,-1,1.0,-1,linear,0,30,1.0,core,0.5333333333333333,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0
17,b,0.02997069691715983,0.009990232305719944,0.02997069691715983,2.41968,1.69473,1.25045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342.9067687988281,4.530673503875732,14.43435287475586,37.30937194824219,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,0.0,1.0,0,none,-1,-1,1.0,-1,linear,0,30,1.0,core,0.5666666666666667,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0
18,b,0.0299669209695961,0.009988973656532034,0.0299669209695961,2.41637,1.66745,1.25673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,363.5674133300781,4.763777732849121,15.373003959655762,33.208011627197266,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,0.0,1.0,0,none,-1,-1,1.0,-1,linear,0,30,1.0,core,0.6,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0
19,b,0.02996291652678161,0.009987638842260537,0.02996291652678161,2.39977,1.64042,1.23715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,378.8388977050781,5.019191265106201,15.889366149902344,35.81538772583008,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,0.0,1.0,0,none,-1,-1,1.0,-1,linear,0,30,1.0,core,0.6333333333333333,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0
20,b,0.02995868365046983,0.009986227883489945,0.02995868365046983,2.3856,1.64358,1.23281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,368.47430419921875,5.171638011932373,16.50990867614746,35.67880630493164,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,0.0,1.0,0,none,-1,-1,1.0,-1,linear,0,30,1.0,core,0.6666666666666666,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0
