epoch,time,train/s_box_loss,train/s_cls_loss,train/s_dfl_loss,train/t_box_loss,train/t_cls_loss,train/t_dfl_loss,train/cclkd_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/s_box_loss,val/s_cls_loss,val/s_dfl_loss,val/t_box_loss,val/t_cls_loss,val/t_dfl_loss,val/cclkd_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,146.597,2.81742,3.50253,1.56045,2.35206,3.19488,1.36552,8.81586,0.618711,0.192352,0.165916,0.0655766,nan,nan,nan,nan,nan,nan,nan,0.00995652,0.00331884,0.00995652,0.00331884,0.00995652,0.00331884,0.00995652,0.00331884
2,304.381,2.7272,2.34848,1.32888,2.21453,1.76844,1.14607,9.68392,0.520941,0.169025,0.11195,0.0400231,nan,nan,nan,nan,nan,nan,nan,0.0199562,0.00665207,0.0199562,0.00665207,0.0199562,0.00665207,0.0199562,0.00665207
3,460.501,2.85596,2.2951,1.38864,2.34393,1.7308,1.2194,8.42215,0.159982,0.147517,0.091072,0.0313697,nan,nan,nan,nan,nan,nan,nan,0.0299547,0.0099849,0.0299547,0.0099849,0.0299547,0.0099849,0.0299547,0.0099849
4,614.368,2.87582,2.26886,1.41841,2.38008,1.69587,1.25353,7.6421,0.275219,0.181692,0.150288,0.056296,nan,nan,nan,nan,nan,nan,nan,0.0299959,0.00999863,0.0299959,0.00999863,0.0299959,0.00999863,0.0299959,0.00999863
5,767.373,2.75584,2.11375,1.37696,2.2867,1.56102,1.22312,6.28448,0.32317,0.222384,0.188188,0.0763207,nan,nan,nan,nan,nan,nan,nan,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756
6,919.372,2.68015,2.02869,1.35247,2.21471,1.46962,1.19936,5.85269,0.296309,0.193272,0.162578,0.0613758,nan,nan,nan,nan,nan,nan,nan,0.0299886,0.00999618,0.0299886,0.00999618,0.0299886,0.00999618,0.0299886,0.00999618
7,1075.15,2.6426,1.95461,1.33315,2.15896,1.38572,1.17399,5.25517,0.296834,0.297642,0.216859,0.0844903,nan,nan,nan,nan,nan,nan,nan,0.0299835,0.0099945,0.0299835,0.0099945,0.0299835,0.0099945,0.0299835,0.0099945
8,1229.87,2.60041,1.92105,1.31605,2.10138,1.33647,1.15289,5.12918,0.325404,0.253696,0.215599,0.0838579,nan,nan,nan,nan,nan,nan,nan,0.0299776,0.00999252,0.0299776,0.00999252,0.0299776,0.00999252,0.0299776,0.00999252
9,1384.3,2.57233,1.87626,1.29635,2.08487,1.30015,1.13675,5.01236,0.507151,0.261082,0.271879,0.113446,nan,nan,nan,nan,nan,nan,nan,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023
10,1534.02,2.53159,1.82901,1.28474,2.04461,1.27237,1.13304,4.87571,0.363242,0.290572,0.254945,0.105261,nan,nan,nan,nan,nan,nan,nan,0.0299629,0.00998764,0.0299629,0.00998764,0.0299629,0.00998764,0.0299629,0.00998764
