epoch,time,train/s_box_loss,train/s_cls_loss,train/s_dfl_loss,train/t_box_loss,train/t_cls_loss,train/t_dfl_loss,train/cclkd_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/s_box_loss,val/s_cls_loss,val/s_dfl_loss,val/t_box_loss,val/t_cls_loss,val/t_dfl_loss,val/cclkd_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
23,3581.92,2.29831,1.51478,1.1926,1.84921,1.0473,1.04456,1.607,0.457771,0.425814,0.406158,0.19716,nan,nan,nan,nan,nan,nan,nan,0.0297789,0.00992629,0.0297789,0.00992629,0.0297789,0.00992629,0.0297789,0.00992629
24,3734.21,2.28424,1.48714,1.18189,1.83896,1.02515,1.03937,1.62239,0.484896,0.423706,0.419174,0.202775,nan,nan,nan,nan,nan,nan,nan,0.0297584,0.00991946,0.0297584,0.00991946,0.0297584,0.00991946,0.0297584,0.00991946
25,3885.59,2.27918,1.48384,1.17642,1.8318,1.02087,1.03532,1.60687,0.500141,0.419605,0.425863,0.206177,nan,nan,nan,nan,nan,nan,nan,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
26,4037.59,2.2749,1.4689,1.17032,1.82752,1.01324,1.03039,1.62579,0.490715,0.434366,0.432851,0.214549,nan,nan,nan,nan,nan,nan,nan,0.0297147,0.00990489,0.0297147,0.00990489,0.0297147,0.00990489,0.0297147,0.00990489
27,4190.63,2.25068,1.44897,1.16561,1.8046,1.00698,1.02359,1.54527,0.502071,0.434096,0.440176,0.22074,nan,nan,nan,nan,nan,nan,nan,0.0296915,0.00989715,0.0296915,0.00989715,0.0296915,0.00989715,0.0296915,0.00989715
28,4344.93,2.24414,1.43191,1.16011,1.80458,0.99239,1.02191,1.50118,0.473672,0.457563,0.448876,0.224514,nan,nan,nan,nan,nan,nan,nan,0.0296674,0.00988912,0.0296674,0.00988912,0.0296674,0.00988912,0.0296674,0.00988912
29,4497.72,2.22021,1.41829,1.15198,1.79483,0.98539,1.01514,1.51383,0.504378,0.453355,0.454843,0.234542,nan,nan,nan,nan,nan,nan,nan,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079
30,4652.2,2.20729,1.39849,1.15041,1.78947,0.97772,1.01786,1.48615,0.505467,0.469764,0.46587,0.234151,nan,nan,nan,nan,nan,nan,nan,0.0296165,0.00987216,0.0296165,0.00987216,0.0296165,0.00987216,0.0296165,0.00987216
31,4806.81,2.214,1.39725,1.15169,1.78393,0.97438,1.01661,1.48352,0.537256,0.457853,0.468816,0.237434,nan,nan,nan,nan,nan,nan,nan,0.0295897,0.00986323,0.0295897,0.00986323,0.0295897,0.00986323,0.0295897,0.00986323
32,4961.58,2.1966,1.38063,1.14069,1.77464,0.9599,1.01062,1.50191,0.497582,0.472921,0.472104,0.239899,nan,nan,nan,nan,nan,nan,nan,0.029562,0.00985401,0.029562,0.00985401,0.029562,0.00985401,0.029562,0.00985401
33,5116.69,2.18388,1.37803,1.14532,1.77028,0.96528,1.01273,1.49706,0.513508,0.480602,0.482956,0.246369,nan,nan,nan,nan,nan,nan,nan,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
34,5271.81,2.17861,1.36398,1.13742,1.76232,0.95172,1.0107,1.47977,0.524093,0.499591,0.495904,0.256159,nan,nan,nan,nan,nan,nan,nan,0.029504,0.00983467,0.029504,0.00983467,0.029504,0.00983467,0.029504,0.00983467
35,5426.17,2.15439,1.34209,1.12738,1.75582,0.94403,1.00346,1.43808,0.539718,0.489644,0.492283,0.255447,nan,nan,nan,nan,nan,nan,nan,0.0294737,0.00982456,0.0294737,0.00982456,0.0294737,0.00982456,0.0294737,0.00982456
36,5580.4,2.16185,1.34406,1.12787,1.76079,0.94263,1.00437,1.4212,0.521819,0.489268,0.494065,0.262155,nan,nan,nan,nan,nan,nan,nan,0.0294425,0.00981415,0.0294425,0.00981415,0.0294425,0.00981415,0.0294425,0.00981415
37,5735.59,2.14754,1.32431,1.12618,1.7511,0.941,1.00335,1.43324,0.544659,0.503311,0.507028,0.267581,nan,nan,nan,nan,nan,nan,nan,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345
38,5890.98,2.13573,1.31491,1.12157,1.73578,0.93269,0.99676,1.43648,0.536814,0.507445,0.507333,0.269849,nan,nan,nan,nan,nan,nan,nan,0.0293774,0.00979246,0.0293774,0.00979246,0.0293774,0.00979246,0.0293774,0.00979246
39,6044.56,2.13345,1.31065,1.11757,1.73542,0.92227,0.99739,1.3796,0.525869,0.518173,0.51438,0.275148,nan,nan,nan,nan,nan,nan,nan,0.0293435,0.00978118,0.0293435,0.00978118,0.0293435,0.00978118,0.0293435,0.00978118
