epoch,time,train/s_box_loss,train/s_cls_loss,train/s_dfl_loss,train/t_box_loss,train/t_cls_loss,train/t_dfl_loss,train/cclkd_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/s_box_loss,val/s_cls_loss,val/s_dfl_loss,val/t_box_loss,val/t_cls_loss,val/t_dfl_loss,val/cclkd_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,146.542,2.79929,3.49379,1.57601,2.35309,3.21389,1.37432,3.03304,0.609997,0.17302,0.142907,0.0550996,nan,nan,nan,nan,nan,nan,nan,0.00995652,0.00331884,0.00995652,0.00331884,0.00995652,0.00331884,0.00995652,0.00331884
2,300.529,2.71694,2.33529,1.35447,2.22004,1.77773,1.15608,3.70141,0.48923,0.142711,0.0877321,0.0288553,nan,nan,nan,nan,nan,nan,nan,0.0199562,0.00665207,0.0199562,0.00665207,0.0199562,0.00665207,0.0199562,0.00665207
3,453.443,2.83118,2.293,1.39855,2.34982,1.74284,1.22309,3.73075,0.52182,0.0953484,0.089513,0.0344275,nan,nan,nan,nan,nan,nan,nan,0.0299547,0.0099849,0.0299547,0.0099849,0.0299547,0.0099849,0.0299547,0.0099849
4,607.017,2.8615,2.2653,1.42624,2.38797,1.71297,1.25315,3.33081,0.286404,0.18061,0.134986,0.0479026,nan,nan,nan,nan,nan,nan,nan,0.0299959,0.00999863,0.0299959,0.00999863,0.0299959,0.00999863,0.0299959,0.00999863
5,758.985,2.76665,2.13153,1.38708,2.29385,1.56896,1.2192,3.03885,0.604899,0.180036,0.165929,0.0634984,nan,nan,nan,nan,nan,nan,nan,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756
6,912.028,2.69422,2.03247,1.35487,2.20861,1.46042,1.19505,2.86039,0.322157,0.233113,0.201867,0.0776508,nan,nan,nan,nan,nan,nan,nan,0.0299886,0.00999618,0.0299886,0.00999618,0.0299886,0.00999618,0.0299886,0.00999618
7,1063.75,2.63891,1.95866,1.3367,2.15395,1.39386,1.16388,2.66364,0.386149,0.250915,0.244126,0.0997784,nan,nan,nan,nan,nan,nan,nan,0.0299835,0.0099945,0.0299835,0.0099945,0.0299835,0.0099945,0.0299835,0.0099945
8,1215.62,2.60199,1.90991,1.31872,2.10247,1.34886,1.14742,2.619,0.431508,0.258485,0.239818,0.0940535,nan,nan,nan,nan,nan,nan,nan,0.0299776,0.00999252,0.0299776,0.00999252,0.0299776,0.00999252,0.0299776,0.00999252
9,1370.52,2.57908,1.8677,1.30251,2.08323,1.3078,1.13517,2.5064,0.438577,0.2549,0.251273,0.100713,nan,nan,nan,nan,nan,nan,nan,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023
10,1522.38,2.5374,1.81825,1.29306,2.05567,1.27277,1.13227,2.28878,0.46677,0.264579,0.281536,0.119088,nan,nan,nan,nan,nan,nan,nan,0.0299629,0.00998764,0.0299629,0.00998764,0.0299629,0.00998764,0.0299629,0.00998764
11,1674.83,2.51034,1.78355,1.26964,2.03025,1.23742,1.10939,2.26116,0.377069,0.28659,0.272724,0.11982,nan,nan,nan,nan,nan,nan,nan,0.0299542,0.00998474,0.0299542,0.00998474,0.0299542,0.00998474,0.0299542,0.00998474
12,1827.41,2.48961,1.76157,1.26802,1.99966,1.20992,1.10523,2.17531,0.428132,0.317953,0.300998,0.131094,nan,nan,nan,nan,nan,nan,nan,0.0299446,0.00998154,0.0299446,0.00998154,0.0299446,0.00998154,0.0299446,0.00998154
13,1978.01,2.47542,1.7261,1.25693,1.98093,1.18206,1.09315,2.18125,0.442574,0.330568,0.327001,0.14742,nan,nan,nan,nan,nan,nan,nan,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803
14,2129.14,2.43327,1.69916,1.2391,1.964,1.17132,1.0847,2.11158,0.397477,0.326771,0.322353,0.151344,nan,nan,nan,nan,nan,nan,nan,0.0299227,0.00997422,0.0299227,0.00997422,0.0299227,0.00997422,0.0299227,0.00997422
15,2280.98,2.41902,1.66823,1.228,1.95369,1.14514,1.07707,2.06147,0.420209,0.353482,0.325114,0.149389,nan,nan,nan,nan,nan,nan,nan,0.0299103,0.00997011,0.0299103,0.00997011,0.0299103,0.00997011,0.0299103,0.00997011
16,2433.55,2.41805,1.64318,1.22355,1.93725,1.13218,1.07036,2.06162,0.418098,0.343222,0.328956,0.152482,nan,nan,nan,nan,nan,nan,nan,0.0298971,0.00996569,0.0298971,0.00996569,0.0298971,0.00996569,0.0298971,0.00996569
17,2587.12,2.39419,1.62998,1.22836,1.91896,1.1032,1.06786,1.94815,0.462247,0.361023,0.359221,0.159765,nan,nan,nan,nan,nan,nan,nan,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
18,2739.79,2.37117,1.60299,1.21408,1.90033,1.09539,1.0641,1.90967,0.529945,0.324492,0.341034,0.154123,nan,nan,nan,nan,nan,nan,nan,0.0298678,0.00995594,0.0298678,0.00995594,0.0298678,0.00995594,0.0298678,0.00995594
19,2892.1,2.35606,1.58371,1.20541,1.88841,1.08906,1.05751,1.89155,0.443126,0.38417,0.370766,0.168695,nan,nan,nan,nan,nan,nan,nan,0.0298519,0.00995062,0.0298519,0.00995062,0.0298519,0.00995062,0.0298519,0.00995062
20,3046.59,2.34246,1.56991,1.20065,1.88117,1.07925,1.0553,1.82839,0.426931,0.390104,0.364395,0.169858,nan,nan,nan,nan,nan,nan,nan,0.029835,0.00994499,0.029835,0.00994499,0.029835,0.00994499,0.029835,0.00994499
21,3198.95,2.33452,1.54796,1.19549,1.86846,1.06321,1.04487,1.79909,0.491441,0.404164,0.397736,0.187282,nan,nan,nan,nan,nan,nan,nan,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
22,3350.83,2.32421,1.53274,1.18747,1.86037,1.04524,1.04389,1.85682,0.425289,0.40593,0.382622,0.185757,nan,nan,nan,nan,nan,nan,nan,0.0297985,0.00993282,0.0297985,0.00993282,0.0297985,0.00993282,0.0297985,0.00993282
23,3504.55,2.30757,1.51139,1.18785,1.8528,1.03803,1.03926,1.73276,0.457074,0.401657,0.38351,0.182071,nan,nan,nan,nan,nan,nan,nan,0.0297789,0.00992629,0.0297789,0.00992629,0.0297789,0.00992629,0.0297789,0.00992629
24,3658.1,2.28062,1.48905,1.17737,1.83693,1.02222,1.03085,1.77395,0.491417,0.427039,0.424053,0.204848,nan,nan,nan,nan,nan,nan,nan,0.0297584,0.00991946,0.0297584,0.00991946,0.0297584,0.00991946,0.0297584,0.00991946
25,3811.87,2.27327,1.48198,1.17469,1.83114,1.02464,1.03612,1.72255,0.517622,0.432408,0.442788,0.210389,nan,nan,nan,nan,nan,nan,nan,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
26,3964.39,2.26772,1.46082,1.16771,1.82283,1.01241,1.02692,1.70313,0.499965,0.425414,0.426475,0.208535,nan,nan,nan,nan,nan,nan,nan,0.0297147,0.00990489,0.0297147,0.00990489,0.0297147,0.00990489,0.0297147,0.00990489
27,4117.83,2.24514,1.45239,1.16539,1.81227,0.99928,1.02352,1.70577,0.502137,0.44282,0.440438,0.217425,nan,nan,nan,nan,nan,nan,nan,0.0296915,0.00989715,0.0296915,0.00989715,0.0296915,0.00989715,0.0296915,0.00989715
28,4271.5,2.23446,1.43274,1.15777,1.79889,0.98296,1.01875,1.65194,0.500124,0.450774,0.447034,0.22279,nan,nan,nan,nan,nan,nan,nan,0.0296674,0.00988912,0.0296674,0.00988912,0.0296674,0.00988912,0.0296674,0.00988912
29,4424.36,2.22132,1.42246,1.15851,1.79292,0.98609,1.01827,1.66902,0.496516,0.470497,0.457612,0.231501,nan,nan,nan,nan,nan,nan,nan,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079
30,4580.06,2.21135,1.41028,1.15131,1.79213,0.98401,1.02023,1.6269,0.49507,0.47472,0.463748,0.230738,nan,nan,nan,nan,nan,nan,nan,0.0296165,0.00987216,0.0296165,0.00987216,0.0296165,0.00987216,0.0296165,0.00987216
31,4733.16,2.218,1.39491,1.14528,1.78378,0.96774,1.01218,1.66219,0.506129,0.455936,0.457641,0.232819,nan,nan,nan,nan,nan,nan,nan,0.0295897,0.00986323,0.0295897,0.00986323,0.0295897,0.00986323,0.0295897,0.00986323
32,4885.34,2.19171,1.37802,1.1395,1.77272,0.96272,1.0128,1.57787,0.524871,0.470622,0.472617,0.238572,nan,nan,nan,nan,nan,nan,nan,0.029562,0.00985401,0.029562,0.00985401,0.029562,0.00985401,0.029562,0.00985401
33,5037.94,2.18949,1.37416,1.14176,1.76614,0.96177,1.01054,1.58892,0.507366,0.478994,0.475611,0.242313,nan,nan,nan,nan,nan,nan,nan,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
34,5189.81,2.17506,1.36474,1.13569,1.7549,0.94977,1.00477,1.58082,0.549914,0.485189,0.493525,0.255501,nan,nan,nan,nan,nan,nan,nan,0.029504,0.00983467,0.029504,0.00983467,0.029504,0.00983467,0.029504,0.00983467
35,5342.3,2.1635,1.35435,1.13115,1.74811,0.94192,1.00215,1.56671,0.536356,0.489604,0.494674,0.259484,nan,nan,nan,nan,nan,nan,nan,0.0294737,0.00982456,0.0294737,0.00982456,0.0294737,0.00982456,0.0294737,0.00982456
36,5497.91,2.16803,1.34817,1.12891,1.75255,0.94281,0.99848,1.56036,0.543892,0.493876,0.501305,0.265499,nan,nan,nan,nan,nan,nan,nan,0.0294425,0.00981415,0.0294425,0.00981415,0.0294425,0.00981415,0.0294425,0.00981415
37,5650.83,2.14874,1.31917,1.12292,1.74286,0.9261,0.99368,1.54188,0.566109,0.487632,0.501517,0.263478,nan,nan,nan,nan,nan,nan,nan,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345
38,5804.62,2.14817,1.31393,1.12194,1.73388,0.92062,0.99488,1.54322,0.558786,0.505628,0.511,0.266672,nan,nan,nan,nan,nan,nan,nan,0.0293774,0.00979246,0.0293774,0.00979246,0.0293774,0.00979246,0.0293774,0.00979246
39,5960.06,2.13009,1.30508,1.11788,1.72085,0.91469,0.99228,1.54557,0.556735,0.506462,0.509456,0.268434,nan,nan,nan,nan,nan,nan,nan,0.0293435,0.00978118,0.0293435,0.00978118,0.0293435,0.00978118,0.0293435,0.00978118
40,6115.42,2.11276,1.29247,1.11174,1.72031,0.91789,0.98966,1.50648,0.551658,0.518295,0.519241,0.275056,nan,nan,nan,nan,nan,nan,nan,0.0293088,0.0097696,0.0293088,0.0097696,0.0293088,0.0097696,0.0293088,0.0097696
41,6271.38,2.10503,1.28582,1.10936,1.71424,0.90851,0.99179,1.51584,0.564778,0.525153,0.52554,0.277845,nan,nan,nan,nan,nan,nan,nan,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
42,6426.74,2.10233,1.28341,1.10647,1.72204,0.91052,0.9912,1.48746,0.547521,0.526447,0.524848,0.280907,nan,nan,nan,nan,nan,nan,nan,0.0292367,0.00974557,0.0292367,0.00974557,0.0292367,0.00974557,0.0292367,0.00974557
43,6581.16,2.09479,1.27367,1.10346,1.71969,0.9093,0.9898,1.47928,0.556751,0.527026,0.528767,0.287343,nan,nan,nan,nan,nan,nan,nan,0.0291994,0.00973312,0.0291994,0.00973312,0.0291994,0.00973312,0.0291994,0.00973312
44,6733.55,2.08881,1.26041,1.09835,1.70711,0.89835,0.98644,1.43796,0.579906,0.524782,0.536494,0.29137,nan,nan,nan,nan,nan,nan,nan,0.0291612,0.00972039,0.0291612,0.00972039,0.0291612,0.00972039,0.0291612,0.00972039
45,6886.67,2.09164,1.26384,1.10257,1.7016,0.89443,0.98614,1.5282,0.589305,0.52525,0.538506,0.293562,nan,nan,nan,nan,nan,nan,nan,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736
46,7039.67,2.07129,1.25331,1.09568,1.70002,0.89124,0.98217,1.45935,0.592341,0.52568,0.541433,0.29633,nan,nan,nan,nan,nan,nan,nan,0.0290821,0.00969405,0.0290821,0.00969405,0.0290821,0.00969405,0.0290821,0.00969405
47,7194.6,2.05362,1.23049,1.08801,1.68269,0.88415,0.9783,1.44744,0.556612,0.53828,0.54578,0.299363,nan,nan,nan,nan,nan,nan,nan,0.0290413,0.00968045,0.0290413,0.00968045,0.0290413,0.00968045,0.0290413,0.00968045
48,7347.37,2.05314,1.23202,1.08932,1.67786,0.8749,0.97548,1.47314,0.596479,0.529769,0.549414,0.302314,nan,nan,nan,nan,nan,nan,nan,0.0289997,0.00966656,0.0289997,0.00966656,0.0289997,0.00966656,0.0289997,0.00966656
49,7497.49,2.04737,1.2201,1.08411,1.68528,0.87898,0.9776,1.4512,0.586482,0.541036,0.554766,0.30504,nan,nan,nan,nan,nan,nan,nan,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239
50,7649.26,2.02855,1.22248,1.07925,1.66824,0.86607,0.97478,1.44922,0.58462,0.5459,0.555973,0.306399,nan,nan,nan,nan,nan,nan,nan,0.0289138,0.00963794,0.0289138,0.00963794,0.0289138,0.00963794,0.0289138,0.00963794
51,7799.05,2.03926,1.21701,1.08919,1.67201,0.87141,0.97828,1.449,0.596665,0.548596,0.560402,0.309859,nan,nan,nan,nan,nan,nan,nan,0.0288696,0.0096232,0.0288696,0.0096232,0.0288696,0.0096232,0.0288696,0.0096232
52,7948.43,2.02483,1.21418,1.07622,1.66716,0.8667,0.97345,1.41056,0.601705,0.552741,0.562223,0.31175,nan,nan,nan,nan,nan,nan,nan,0.0288246,0.00960819,0.0288246,0.00960819,0.0288246,0.00960819,0.0288246,0.00960819
53,8100.79,2.01305,1.19385,1.07704,1.6627,0.863,0.97268,1.4171,0.611088,0.556019,0.567665,0.316428,nan,nan,nan,nan,nan,nan,nan,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289
54,8252.91,2.01741,1.1885,1.07982,1.65697,0.8566,0.97086,1.42505,0.619485,0.554053,0.568666,0.319176,nan,nan,nan,nan,nan,nan,nan,0.0287319,0.00957731,0.0287319,0.00957731,0.0287319,0.00957731,0.0287319,0.00957731
55,8403.05,2.01025,1.18526,1.07095,1.65669,0.85695,0.97034,1.40853,0.621694,0.555767,0.570812,0.322641,nan,nan,nan,nan,nan,nan,nan,0.0286843,0.00956145,0.0286843,0.00956145,0.0286843,0.00956145,0.0286843,0.00956145
