epoch,time,train/s_box_loss,train/s_cls_loss,train/s_dfl_loss,train/t_box_loss,train/t_cls_loss,train/t_dfl_loss,train/cclkd_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/s_box_loss,val/s_cls_loss,val/s_dfl_loss,val/t_box_loss,val/t_cls_loss,val/t_dfl_loss,val/cclkd_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
23,3433.88,2.31488,1.52594,1.2218,1.84719,1.04348,1.03733,0.25506,0.495049,0.41573,0.405047,0.189571,nan,nan,nan,nan,nan,nan,nan,0.0297789,0.00992629,0.0297789,0.00992629,0.0297789,0.00992629,0.0297789,0.00992629
24,3583.88,2.30147,1.50509,1.21324,1.84171,1.02789,1.03559,0.26652,0.47464,0.414728,0.411266,0.194407,nan,nan,nan,nan,nan,nan,nan,0.0297584,0.00991946,0.0297584,0.00991946,0.0297584,0.00991946,0.0297584,0.00991946
25,3735.6,2.2803,1.49472,1.20944,1.82436,1.01749,1.03612,0.25293,0.501244,0.437036,0.429465,0.205845,nan,nan,nan,nan,nan,nan,nan,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
26,3885.22,2.28061,1.48506,1.20288,1.82682,1.01417,1.02796,0.26538,0.50177,0.434346,0.439082,0.210768,nan,nan,nan,nan,nan,nan,nan,0.0297147,0.00990489,0.0297147,0.00990489,0.0297147,0.00990489,0.0297147,0.00990489
27,4035.5,2.2672,1.47017,1.19871,1.81287,0.99741,1.02356,0.24388,0.49766,0.437028,0.436498,0.210242,nan,nan,nan,nan,nan,nan,nan,0.0296915,0.00989715,0.0296915,0.00989715,0.0296915,0.00989715,0.0296915,0.00989715
28,4184.89,2.24596,1.44684,1.19291,1.79898,0.98629,1.02465,0.24641,0.50105,0.440979,0.447253,0.22198,nan,nan,nan,nan,nan,nan,nan,0.0296674,0.00988912,0.0296674,0.00988912,0.0296674,0.00988912,0.0296674,0.00988912
29,4336.54,2.23394,1.43284,1.18828,1.79161,0.98294,1.01973,0.22699,0.495547,0.45173,0.449622,0.222635,nan,nan,nan,nan,nan,nan,nan,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079
30,4487.92,2.22773,1.43194,1.18281,1.78595,0.9809,1.01692,0.23397,0.506279,0.464668,0.461607,0.231629,nan,nan,nan,nan,nan,nan,nan,0.0296165,0.00987216,0.0296165,0.00987216,0.0296165,0.00987216,0.0296165,0.00987216
31,4639.85,2.22621,1.41218,1.17631,1.78015,0.97253,1.00988,0.23698,0.500159,0.469596,0.460778,0.230901,nan,nan,nan,nan,nan,nan,nan,0.0295897,0.00986323,0.0295897,0.00986323,0.0295897,0.00986323,0.0295897,0.00986323
32,4790.35,2.20686,1.40097,1.17318,1.76722,0.95666,1.01178,0.24234,0.506486,0.472391,0.467453,0.233381,nan,nan,nan,nan,nan,nan,nan,0.029562,0.00985401,0.029562,0.00985401,0.029562,0.00985401,0.029562,0.00985401
33,4940.52,2.19857,1.3893,1.16967,1.76893,0.95948,1.01194,0.24144,0.546101,0.476799,0.485323,0.244985,nan,nan,nan,nan,nan,nan,nan,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
34,5091.2,2.18855,1.37174,1.1649,1.75586,0.94896,1.00605,0.24297,0.529566,0.481888,0.489916,0.248018,nan,nan,nan,nan,nan,nan,nan,0.029504,0.00983467,0.029504,0.00983467,0.029504,0.00983467,0.029504,0.00983467
35,5243.11,2.16086,1.35633,1.15672,1.74447,0.94394,1.00284,0.25342,0.531126,0.487757,0.487471,0.25348,nan,nan,nan,nan,nan,nan,nan,0.0294737,0.00982456,0.0294737,0.00982456,0.0294737,0.00982456,0.0294737,0.00982456
