epoch,time,train/s_box_loss,train/s_cls_loss,train/s_dfl_loss,train/t_box_loss,train/t_cls_loss,train/t_dfl_loss,train/cclkd_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/s_box_loss,val/s_cls_loss,val/s_dfl_loss,val/t_box_loss,val/t_cls_loss,val/t_dfl_loss,val/cclkd_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
23,3556.33,2.30747,1.51703,1.17931,1.8494,1.03948,1.04064,3.33557,0.471679,0.423706,0.413138,0.197637,nan,nan,nan,nan,nan,nan,nan,0.0297789,0.00992629,0.0297789,0.00992629,0.0297789,0.00992629,0.0297789,0.00992629
24,3711.3,2.28569,1.49181,1.17245,1.83891,1.02171,1.03975,3.34266,0.454527,0.416962,0.40179,0.190942,nan,nan,nan,nan,nan,nan,nan,0.0297584,0.00991946,0.0297584,0.00991946,0.0297584,0.00991946,0.0297584,0.00991946
25,3865.35,2.27207,1.47781,1.17518,1.83397,1.02829,1.03963,3.3417,0.50871,0.445178,0.439325,0.21179,nan,nan,nan,nan,nan,nan,nan,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
26,4020.6,2.26889,1.46496,1.16299,1.83199,1.02123,1.03109,3.22091,0.50706,0.438185,0.443624,0.217341,nan,nan,nan,nan,nan,nan,nan,0.0297147,0.00990489,0.0297147,0.00990489,0.0297147,0.00990489,0.0297147,0.00990489
27,4174.26,2.259,1.46047,1.16521,1.81051,1.0035,1.02774,3.22581,0.511907,0.443344,0.445148,0.214619,nan,nan,nan,nan,nan,nan,nan,0.0296915,0.00989715,0.0296915,0.00989715,0.0296915,0.00989715,0.0296915,0.00989715
28,4329.88,2.23572,1.43172,1.15457,1.80046,0.9863,1.02383,3.32147,0.493214,0.44369,0.438188,0.215617,nan,nan,nan,nan,nan,nan,nan,0.0296674,0.00988912,0.0296674,0.00988912,0.0296674,0.00988912,0.0296674,0.00988912
29,4484.95,2.21992,1.42234,1.15243,1.79658,0.97936,1.02237,3.19269,0.501593,0.46426,0.458414,0.232492,nan,nan,nan,nan,nan,nan,nan,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079
30,4642.74,2.21451,1.41251,1.14635,1.792,0.98154,1.02189,3.17931,0.506937,0.477458,0.468996,0.23178,nan,nan,nan,nan,nan,nan,nan,0.0296165,0.00987216,0.0296165,0.00987216,0.0296165,0.00987216,0.0296165,0.00987216
31,4796.42,2.215,1.40784,1.14238,1.78694,0.97218,1.01352,3.20446,0.492265,0.470614,0.465384,0.238442,nan,nan,nan,nan,nan,nan,nan,0.0295897,0.00986323,0.0295897,0.00986323,0.0295897,0.00986323,0.0295897,0.00986323
32,4950.97,2.19705,1.38348,1.13957,1.76769,0.96115,1.01249,3.17666,0.51234,0.475214,0.47544,0.242626,nan,nan,nan,nan,nan,nan,nan,0.029562,0.00985401,0.029562,0.00985401,0.029562,0.00985401,0.029562,0.00985401
