run,window,ap,det,val_det,kd,s_rec,s_sep,r_aux,weighted_core_kd_rec,weighted_extra_sep_aux,lr
mosaic_n_s0_cap2_B800,early1-20,0.21134,4.7594935,4.7324615,0.30349400000000004,0.010423999999999998,0.0008154999999999999,0.0001595,0.30453640000000004,8.065000000000001e-05,0.028479346
mosaic_n_s0_cap2_B800,best+-10,0.5678646153846154,2.2105500000000005,2.531842307692308,0.07669076923076924,0.001329230769230769,0.00017692307692307693,3.846153846153847e-06,0.07682369230769232,9.807692307692308e-06,0.00030721276923076926
mosaic_n_s0_cap2_B800,final20,0.5673725,2.2110994999999996,2.533035,0.07681950000000001,0.0013295000000000002,0.000176,6.000000000000001e-06,0.07695245000000002,1.0300000000000001e-05,0.0003164259
mosaic_n_s42_cap2_B800,early1-20,0.2345625,4.6307785,4.5525009999999995,0.21244649999999998,0.008808,0.000752,8e-05,0.21332729999999997,5.7600000000000004e-05,0.028479346
mosaic_n_s42_cap2_B800,best+-10,0.5671142857142857,2.2452523809523806,2.51770380952381,0.09145,0.0014476190476190476,0.00019190476190476192,7.1428571428571436e-06,0.09159476190476191,1.1380952380952384e-05,0.0006009419523809523
mosaic_n_s42_cap2_B800,final20,0.5622029999999999,2.2194765,2.5518880000000004,0.09053399999999999,0.0014300000000000003,0.00018500000000000002,1.5000000000000004e-05,0.090677,1.3000000000000003e-05,0.0003164259
mosaic_n_s123_cap2_B800,early1-20,0.21237,4.762379,4.71843,0.39380649999999995,0.0103805,0.000801,0.00016800000000000002,0.39484454999999996,8.205e-05,0.028479346
mosaic_n_s123_cap2_B800,best+-10,0.561150909090909,2.2173854545454543,2.5428236363636363,0.09137454545454546,0.0013636363636363635,0.0002163636363636364,8.181818181818183e-06,0.0915109090909091,1.2863636363636366e-05,0.0003052667272727273
mosaic_n_s123_cap2_B800,final20,0.5611115,2.21965,2.5421275,0.09143399999999999,0.0013664999999999999,0.0002075,1.3000000000000001e-05,0.09157064999999999,1.3625000000000003e-05,0.0003164259
nomosaic90_n_s0_B800,early1-20,0.25580450000000005,4.048337500000001,4.494814,0.9005365000000001,0.040832,0.0083875,0.000661,0.9046197,0.0005846250000000001,0.028479346
nomosaic90_n_s0_B800,best+-10,0.5761528571428571,2.257072857142857,2.457567619047619,0.09402476190476189,0.0014933333333333333,0.00021476190476190472,1.8571428571428572e-05,0.09417409523809522,1.538095238095238e-05,0.0009604859523809524
nomosaic90_n_s0_B800,final20,0.5741375,2.2046685,2.4831095,0.09087899999999999,0.0014455000000000002,0.00020999999999999998,2.45e-05,0.09102354999999998,1.6624999999999998e-05,0.0003164259
nomosaic90_n_s42_B800,early1-20,0.29122499999999996,3.909356,4.130544,0.29804400000000003,0.011310999999999998,0.0011385,8.3e-05,0.2991751,7.7675e-05,0.028479346
nomosaic90_n_s42_B800,best+-10,0.5734500000000001,2.245214285714286,2.473025238095238,0.07902285714285714,0.0013833333333333332,0.00025142857142857145,1.285714285714286e-05,0.07916119047619048,1.5785714285714288e-05,0.0008000462857142859
nomosaic90_n_s42_B800,final20,0.5726510000000001,2.203514,2.4951445,0.07672799999999999,0.00135,0.00023449999999999998,1.1499999999999998e-05,0.07686299999999999,1.4599999999999999e-05,0.0003164259
nomosaic90_n_s123_collapse,early1-20,0.147303,4.0289585,9.554406000000002,0.4058940000000001,0.049646499999999996,0.0093025,0.0002405,0.4108586500000001,0.00052525,0.028479346
nomosaic90_n_s123_collapse,best+-10,0.2017818181818182,3.9308336363636367,5.6134118181818184,0.48960454545454546,0.04064363636363636,0.006789090909090909,0.00036181818181818185,0.4936689090909091,0.00042990909090909093,0.027256874545454543
nomosaic90_n_s123_collapse,final20,0.0033115000000000006,270.1960416666667,,0.5165815,0.20365800000000003,0.0140265,0.032759500000000004,0.5369473,0.008891200000000002,0.01098007
nomosaic90_n_s0_bnfreeze,early1-20,0.5183745,2.4713265000000004,2.687515,1.140703,0.022408499999999998,0.0031259999999999994,0.00013450000000000002,1.14294385,0.00018992499999999997,0.0029985865
nomosaic90_n_s0_bnfreeze,best+-10,0.5725127777777778,2.078477222222222,2.5193894444444442,0.12297166666666667,0.001965,0.0006466666666666666,6.666666666666667e-06,0.12316816666666668,3.4e-05,3.134124444444444e-05
nomosaic90_n_s0_bnfreeze,final20,0.5724965,2.0786404999999997,2.519453,0.1227455,0.001964,0.0006485,6e-06,0.12294189999999999,3.3925000000000005e-05,3.1642589999999993e-05
b800_N2_a2best_continue,early1-20,0.5155035000000001,2.4642695,2.7165865,1.2042550000000003,0.0220555,0.0030015,0.00014699999999999997,1.2064605500000003,0.000186825,0.0029985865
b800_N2_a2best_continue,best+-10,0.555835238095238,2.446094285714286,2.5022766666666665,0.3294547619047619,0.04553523809523809,0.00510952380952381,4.80952380952381e-05,0.3340082857142857,0.00026750000000000005,0.002509820952380952
b800_N2_a2best_continue,final20,0.5539535,2.4673505263157893,2.5050055,0.3397305,0.0474625,0.0044615,8.95e-05,0.34447675,0.00024545000000000003,0.0024858159999999996
b800_N2_a2last_continue,early1-20,0.5140895,2.469755,2.7190515,1.2097015,0.0227685,0.0030575,0.00017700000000000002,1.21197835,0.00019712500000000003,0.0029985865
b800_N2_a2last_continue,best+-10,0.5603009523809523,2.3778852380952378,2.4956404761904762,0.3094919047619048,0.04226190476190476,0.0032476190476190474,2.7619047619047626e-05,0.3137180952380953,0.00016928571428571427,0.002240397619047619
b800_N2_a2last_continue,final20,0.49666699999999997,2.4503263157894737,3.0795610000000004,0.2301855,0.071004,0.011215,0.0004944999999999999,0.2372859,0.0006843749999999999,0.0020370475000000003
b800_N3_yoloinit_decomp,early1-20,0.13281600000000002,5.6765225,5.369860000000001,0.5156745,0.0173725,0.00544,0.0011324999999999998,0.5174117500000001,0.0005551250000000001,0.0029985865
b800_N3_yoloinit_decomp,best+-10,0.48699272727272724,2.492742727272727,2.8613163636363637,0.10864727272727275,0.0009509090909090908,6.090909090909092e-05,1.1818181818181817e-05,0.10874236363636365,6e-06,0.0008460766363636364
b800_N3_yoloinit_decomp,final20,0.4865735,2.498239,2.8635884999999996,0.10902350000000002,0.0009509999999999999,5.899999999999999e-05,8.5e-06,0.10911860000000002,5.075e-06,0.0008697223499999999
b800_N4_yoloinit_kdwarm,early1-20,0.1289565,5.6837675,5.383631,0.0,0.010997999999999999,0.0013415,0.0006695000000000001,0.0010998,0.00023445000000000003,0.0029985865
b800_N4_yoloinit_kdwarm,best+-10,0.4604545454545455,2.7002454545454544,2.983455454545455,0.20154363636363637,0.0014909090909090907,0.0002381818181818182,9.090909090909091e-07,0.20169272727272727,1.2136363636363639e-05,0.000914596
b800_N4_yoloinit_kdwarm,final20,0.4594055000000001,2.712412,2.987331,0.20331200000000002,0.0014994999999999997,0.00024849999999999997,2.0000000000000003e-06,0.20346195000000003,1.2924999999999999e-05,0.0009387912000000002
s_alphaKD0p5_B400,early1-20,0.6097539999999999,1.9420775,2.4088179999999992,0.142307,0.008641,0.0005855000000000001,6.5000000000000004e-06,0.1431711,3.0900000000000006e-05,0.002994351
s_alphaKD0p5_B400,best+-10,0.6304123809523811,1.834621904761905,2.3089528571428573,0.061774285714285726,0.001397142857142857,6.095238095238094e-05,4.7619047619047623e-07,0.06191400000000001,3.166666666666666e-06,0.001317537619047619
s_alphaKD0p5_B400,final20,0.6181938888888889,1.699433888888889,2.3505188888888884,0.05479166666666666,0.0012705555555555556,5.4444444444444446e-05,0.0,0.054918722222222216,2.7222222222222224e-06,3.536072222222222e-05
s_alphaKD0p25_B400,early1-20,0.6114305,1.9836629999999995,2.4050164999999994,0.0817015,0.008193500000000003,0.0005429999999999999,4.000000000000001e-06,0.08252084999999999,2.8149999999999996e-05,0.002994351
s_alphaKD0p25_B400,best+-10,0.6297414285714286,1.8531247619047622,2.3069580952380955,0.03457380952380952,0.0013099999999999997,5.7142857142857135e-05,5.2380952380952384e-06,0.03470480952380952,4.166666666666667e-06,0.0015382990476190475
s_alphaKD0p25_B400,final20,0.6171933333333334,1.6955211111111113,2.3501738888888886,0.030546111111111114,0.0011633333333333333,5.055555555555556e-05,6.111111111111111e-06,0.030662444444444447,4.055555555555556e-06,3.536072222222222e-05
