line,phase,run_name,rows,best_ap,best_epoch,last_ap,extra_active,max_t_sep_loss,max_s_sep_loss,max_r_aux_loss,max_u_aux_loss,max_mask_reg_loss,max_recon_task_loss,max_rs_comp_loss,max_r_obb_loss,max_s_repel_loss,max_path_b_loss,max_r_sar_loss,max_dkd_loss,max_proto_cls_loss,results_path
a2_selection,a1,m_A2_lr3e4_full50_retry3_B1_A1,10,0.65533,1,0.65533,t_sep;u_aux,0.00097,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ladd/results/a2_selection_20260612/current_evidence/runs/m_A2_lr3e4_full50_retry3_B1_A1/results.csv
a2_selection,b1,m_A2_lr3e4_full50_retry3_B1_B1,1,0.62682,1,0.62682,s_sep;r_aux,0.0,0.00477,0.00027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ladd/results/a2_selection_20260612/current_evidence/runs/m_A2_lr3e4_full50_retry3_B1_B1/results.csv
a2_selection,a2,s_A2_lr3e4_short13_B1_A2,13,0.63057,13,0.63057,t_sep,0.00032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ladd/results/a2_selection_20260612/current_evidence/runs/s_A2_lr3e4_short13_B1_A2/results.csv
a2_selection,a2,m_A2_lr3e4_short10_B1_A2,10,0.64929,4,0.6399,t_sep,0.00014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ladd/results/a2_selection_20260612/current_evidence/runs/m_A2_lr3e4_short10_B1_A2/results.csv
a2_selection,a1,s_A2_lr3e4_short13_Bdet200_A1,10,0.62878,1,0.62878,t_sep;u_aux,0.00121,0.0,0.0,0.00026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ladd/results/a2_selection_20260612/current_evidence/runs/s_A2_lr3e4_short13_Bdet200_A1/results.csv
a2_selection,a2,s_A2_lr1e4_short15_B1_A2,15,0.63051,13,0.62647,t_sep,0.00033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ladd/results/a2_selection_20260612/current_evidence/runs/s_A2_lr1e4_short15_B1_A2/results.csv
a2_selection,a1,m_A2_short10_B1_A1,10,0.65533,1,0.65533,t_sep;u_aux,0.00097,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ladd/results/a2_selection_20260612/current_evidence/runs/m_A2_short10_B1_A1/results.csv
a2_selection,b1,m_A2_short10_B1_B1,1,0.62642,1,0.62642,s_sep;r_aux,0.0,0.0047,0.00026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ladd/results/a2_selection_20260612/current_evidence/runs/m_A2_short10_B1_B1/results.csv
a2_selection,a2,m_A2_lr3e4_full50_retry3_B1_A2,50,0.64611,8,0.63911,t_sep;u_aux,0.00035,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ladd/results/a2_selection_20260612/current_evidence/runs/m_A2_lr3e4_full50_retry3_B1_A2/results.csv
a2_selection,b1,s_A2_lr3e4_short13_B1_B1,1,0.60811,1,0.60811,s_sep;r_aux,0.0,0.0034,0.00018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ladd/results/a2_selection_20260612/current_evidence/runs/s_A2_lr3e4_short13_B1_B1/results.csv
a2_selection,a1,s_A2_lr3e4_short13_B1_A1,10,0.62878,1,0.62878,t_sep;u_aux,0.00121,0.0,0.0,0.00026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ladd/results/a2_selection_20260612/current_evidence/runs/s_A2_lr3e4_short13_B1_A1/results.csv
b_entrance,,run_files,114,0.62521,62,0.62106,s_sep;r_aux,0.0,0.01147,0.00163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ladd/results/b_entrance_20260613/evidence/ladd4090/S4_base_a2last_kdramp_b120_retry_strict_b64_running/run_files/results.csv
b_entrance,,run_files,120,0.56379,113,0.56311,s_sep;r_aux,0.0,0.00902,0.00082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ladd/results/b_entrance_20260613/evidence/ladd4090/N4_base_a2last_kdramp_b120/run_files/results.csv
b_entrance,,run_files,100,0.55722,100,0.55722,s_sep;r_aux,0.0,0.00893,0.00225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ladd/results/b_entrance_20260613/evidence/ladd4090/N3_base_a2last_decomp_b100/run_files/results.csv
b_entrance,,run_files,100,0.62599,54,0.62174,s_sep;r_aux,0.0,0.00342,0.00031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ladd/results/b_entrance_20260613/evidence/ladd4090/S2_a2best_continue_b100_retry2_running/run_files/results.csv
b_entrance,,run_files,23,0.61945,23,0.61945,s_sep;r_aux,0.0,0.00342,0.00031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ladd/results/b_entrance_20260613/evidence/ladd4090/S2_a2best_continue_b100_oom_old/run_files/results.csv
b_entrance,,run_files,100,0.62553,65,0.62262,s_sep;r_aux,0.0,0.00902,0.00119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ladd/results/b_entrance_20260613/evidence/ladd4090/S3_base_a2last_decomp_b100/run_files/results.csv
b_entrance,,run_files,24,0.62103,22,0.61618,s_sep;r_aux,0.0,0.00188,0.00146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ladd/results/b_entrance_20260613/evidence/ladd4090/S4_base_a2last_kdramp_b120_autobatch_old/run_files/results.csv
b_entrance,,run_files,100,0.55872,100,0.55872,s_sep;r_aux,0.0,0.00895,0.00092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ladd/results/b_entrance_20260613/evidence/ladd4090/N2_a2best_continue_b100/run_files/results.csv
mainline_stability,b,ladd_hbb_ogsod11n_formal_nomosaic_yolo11n_cap2_s42_bnfreeze1e3_public4090dual_final_v2_b_e800_b64_s42_gpu0,800,0.57615,400,0.57295,s_sep;r_aux,0.0,0.00575,0.00062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ladd/results/mainline_stability_20260609/remote_4090dual/runs_public/ogsod/hbb/formal_nomosaic_20260528/ladd/yolo11n/cap2/ladd_hbb_ogsod11n_formal_nomosaic_yolo11n_cap2_s42_bnfreeze1e3_public4090dual_final_v2_b_e800_b64_s42_gpu0/results.csv
mainline_stability,a1,ladd_hbb_ogsod11n_formal_nomosaic_yolo11n_cap2_s42_bnfreeze1e3_public4090dual_final_v2_a1_e10_b64_s42_gpu0,10,0.55795,1,0.55795,t_sep;u_aux,0.00324,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ladd/results/mainline_stability_20260609/remote_4090dual/runs_public/ogsod/hbb/formal_nomosaic_20260528/ladd/yolo11n/cap2/ladd_hbb_ogsod11n_formal_nomosaic_yolo11n_cap2_s42_bnfreeze1e3_public4090dual_final_v2_a1_e10_b64_s42_gpu0/results.csv
mainline_stability,a2,ladd_hbb_ogsod11n_formal_nomosaic_yolo11n_cap2_s42_bnfreeze1e3_public4090dual_final_v2_a2_e50_b64_s42_gpu0,50,0.56401,42,0.56127,t_sep;u_aux,0.00045,0.0,0.0,5e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ladd/results/mainline_stability_20260609/remote_4090dual/runs_public/ogsod/hbb/formal_nomosaic_20260528/ladd/yolo11n/cap2/ladd_hbb_ogsod11n_formal_nomosaic_yolo11n_cap2_s42_bnfreeze1e3_public4090dual_final_v2_a2_e50_b64_s42_gpu0/results.csv
mainline_stability,b,ladd_hbb_ogsod11n_formal_nomosaic_yolo11s_cap2_s0_bnfreeze1e3_public4090dual_final_v2_b_e800_b64_s0_gpu1,800,0.63388,263,0.61759,s_sep;r_aux,0.0,0.0032,0.00011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ladd/results/mainline_stability_20260609/remote_4090dual/runs_public/ogsod/hbb/formal_nomosaic_20260528/ladd/yolo11s/cap2/ladd_hbb_ogsod11n_formal_nomosaic_yolo11s_cap2_s0_bnfreeze1e3_public4090dual_final_v2_b_e800_b64_s0_gpu1/results.csv
mainline_stability,a2,ladd_hbb_ogsod11n_formal_nomosaic_yolo11s_cap2_s0_bnfreeze1e3_public4090dual_final_v2_a2_e50_b64_s0_gpu1,50,0.62664,12,0.62349,t_sep;u_aux,9e-05,0.0,0.0,2e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ladd/results/mainline_stability_20260609/remote_4090dual/runs_public/ogsod/hbb/formal_nomosaic_20260528/ladd/yolo11s/cap2/ladd_hbb_ogsod11n_formal_nomosaic_yolo11s_cap2_s0_bnfreeze1e3_public4090dual_final_v2_a2_e50_b64_s0_gpu1/results.csv
