host,device,main_pid,etime,label,latest_epoch,epochs,AP50,AP,best_AP,best_epoch,batch,comparison,mosaic,close_mosaic,nan_or_inf,run_dir,local_results
autodl,0,66242,15:16:35,LADD n no-mosaic A1+B(A2core),445,800,0.81016,0.53035,0.53096,432,64,none,0.0,0,0,/root/autodl-tmp/LADD_public/runs_public/ogsod/hbb/formal_nomosaic_20260528/ladd/yolo11n/cap2/ladd_hbb_ogsod11n_formal_nomosaic_yolo11n_cap2_s0_yoloinit_a1_bA2core_B800_autodl_20260616_b_e800_b64_s0_gpu0,docs/experiments/current_running_snapshot_20260616/raw/autodl/ladd_hbb_ogsod11n_formal_nomosaic_yolo11n_cap2_s0_yoloinit_a1_bA2core_B800_autodl_20260616_b_e800_b64_s0_gpu0/results.csv
autodl,0,83054,05:29:42,LADD s no-mosaic A1+B(A2core),154,800,0.47114,0.25784,0.25784,154,64,none,0.0,0,0,/root/autodl-tmp/LADD_public/runs_public/ogsod/hbb/formal_nomosaic_20260528/ladd/yolo11s/cap2/ladd_hbb_ogsod11s_formal_nomosaic_yolo11s_cap2_s0_yoloinit_a1_bA2core_B800_autodl_20260616_b_e800_b64_s0_gpu0,docs/experiments/current_running_snapshot_20260616/raw/autodl/ladd_hbb_ogsod11s_formal_nomosaic_yolo11s_cap2_s0_yoloinit_a1_bA2core_B800_autodl_20260616_b_e800_b64_s0_gpu0/results.csv
autodl,0,67298,14:57:13,CMDistill n no-mosaic,569,800,0.81317,0.54191,0.54191,569,64,cmdistill,0.0,0,0,runs_public/ogsod/hbb/formal_nomosaic_20260528/comparisons/from_yolo_pretrain/yolo11n/cmdistill/transfer_cmdistill_hbb_ogsod11n_from_yolo_formal_nomosaic_yolo11n_cmdistill_v3_smoke_ready_20260615_from_yolo_s0_formal800_b_e800_b64_s0_gpu0,docs/experiments/current_running_snapshot_20260616/raw/autodl/transfer_cmdistill_hbb_ogsod11n_from_yolo_formal_nomosaic_yolo11n_cmdistill_v3_smoke_ready_20260615_from_yolo_s0_formal800_b_e800_b64_s0_gpu0/results.csv
autodl,0,67304,14:57:13,CMDistill s no-mosaic,571,800,0.9047,0.61637,0.61673,569,64,cmdistill,0.0,0,0,runs_public/ogsod/hbb/formal_nomosaic_20260528/comparisons/from_yolo_pretrain/yolo11s/cmdistill/transfer_cmdistill_hbb_ogsod11s_from_yolo_formal_nomosaic_yolo11s_cmdistill_v3_smoke_ready_20260615_from_yolo_s0_formal800_b_e800_b64_s0_gpu0,docs/experiments/current_running_snapshot_20260616/raw/autodl/transfer_cmdistill_hbb_ogsod11s_from_yolo_formal_nomosaic_yolo11s_cmdistill_v3_smoke_ready_20260615_from_yolo_s0_formal800_b_e800_b64_s0_gpu0/results.csv
ladd90,0,2944948,14:43:44,RGB yolo11m mosaic baseline,346,800,0.941,0.64676,0.64678,344,64,,1.0,700,,/mnt/dataY/ydf/projects/LADD_public/runs_public/ogsod/hbb/baseline_controls/mosaic_baselines_20260615/rgb_yolo11m_hbb_mosaicE800_closeAt100_s0_gpu0_b64_restart_20260616_015135,docs/experiments/current_running_snapshot_20260616/raw/ladd90/rgb_yolo11m_hbb_mosaicE800_closeAt100_s0_gpu0_b64_restart_20260616_015135/results.csv
ladd90,0,2944947,14:43:44,SAR yolo11m mosaic baseline,345,800,0.88309,0.60048,0.60048,345,64,,1.0,700,,/mnt/dataY/ydf/projects/LADD_public/runs_public/ogsod/hbb/baseline_controls/mosaic_baselines_20260615/sar_yolo11m_hbb_mosaicE800_closeAt100_s0_gpu0_b64_restart_20260616_015135,docs/experiments/current_running_snapshot_20260616/raw/ladd90/sar_yolo11m_hbb_mosaicE800_closeAt100_s0_gpu0_b64_restart_20260616_015135/results.csv
ladd90,1,1164145,1-14:47:29,LADD n mosaic skipA2 s42,771,800,0.84608,0.56819,0.56835,746,64,none,1.0,700,,/mnt/dataY/ydf/projects/LADD_public/runs_public/ogsod/hbb/ladd_mosaic_a2last_20260615/ladd_hbb_ogsod11n_mosaic_a1best_skipa2_cap2_s42_b_e800_b64_s42_gpu1,docs/experiments/current_running_snapshot_20260616/raw/ladd90/ladd_hbb_ogsod11n_mosaic_a1best_skipa2_cap2_s42_b_e800_b64_s42_gpu1/results.csv
ladd90,1,1271817,1-14:21:26,LADD n mosaic A2last s0,765,800,0.84732,0.56555,0.56563,734,64,none,1.0,700,,/mnt/dataY/ydf/projects/LADD_public/runs_public/ogsod/hbb/ladd_mosaic_a2last_20260615/ladd_hbb_ogsod11n_mosaic_a2last_cap2_s0_b_e800_b64_s0_gpu1,docs/experiments/current_running_snapshot_20260616/raw/ladd90/ladd_hbb_ogsod11n_mosaic_a2last_cap2_s0_b_e800_b64_s0_gpu1/results.csv
ladd90,3,1150017,1-14:53:17,LADD n mosaic A2last s123,259,800,0.74411,0.47196,0.47196,259,64,none,1.0,700,,/mnt/dataY/ydf/projects/LADD_public/runs_public/ogsod/hbb/ladd_mosaic_a2last_20260615/ladd_hbb_ogsod11n_mosaic_a2last_cap2_s123_b_e800_b64_s123_gpu3,docs/experiments/current_running_snapshot_20260616/raw/ladd90/ladd_hbb_ogsod11n_mosaic_a2last_cap2_s123_b_e800_b64_s123_gpu3/results.csv
ladd90,5,191783,04:57:14,LADD m no-mosaic A1+B(A2core),59,800,0.50709,0.24601,0.24601,59,32,none,0.0,0,0,/mnt/dataY/ydf/projects/LADD_public/runs_public/ogsod/hbb/formal_nomosaic_20260528/ladd/yolo11m/cap2/ladd_hbb_ogsod11m_formal_nomosaic_yolo11m_cap2_s0_yoloinit_a1_bA2core_B800_b32_90gpu5_20260616_b_e800_b32_s0_gpu5,docs/experiments/current_running_snapshot_20260616/raw/ladd90/ladd_hbb_ogsod11m_formal_nomosaic_yolo11m_cap2_s0_yoloinit_a1_bA2core_B800_b32_90gpu5_20260616_b_e800_b32_s0_gpu5/results.csv
