               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.048975,            0.005758,           0.0019708,             0.76501,              0.7196,             0.74069,             0.36687,             0.03704,           0.0036211,           0.0008058,           0.0091585,           0.0091585,           0.0091585
                  36,            0.048482,           0.0057266,           0.0016056,             0.78771,             0.72184,             0.75005,             0.37343,            0.036724,            0.003562,          0.00078654,           0.0091337,           0.0091337,           0.0091337
                  37,            0.048625,           0.0057589,            0.001868,             0.78888,             0.71946,             0.75065,             0.37546,            0.036232,           0.0035574,          0.00079666,            0.009109,            0.009109,            0.009109
                  38,            0.048529,           0.0057183,           0.0018625,             0.77274,             0.71975,             0.74968,             0.37153,             0.03668,           0.0035354,          0.00081918,           0.0090843,           0.0090843,           0.0090843
                  39,            0.048033,           0.0058155,           0.0016608,             0.78253,             0.73468,             0.75588,             0.38665,            0.035888,           0.0035451,          0.00079426,           0.0090595,           0.0090595,           0.0090595
                  40,            0.048262,           0.0058232,            0.001513,             0.76717,             0.73014,              0.7498,             0.37857,            0.036333,           0.0035355,          0.00083901,           0.0090347,           0.0090347,           0.0090347
                  41,              0.0481,           0.0057042,           0.0016982,             0.79069,             0.73578,             0.76257,             0.38761,            0.035696,           0.0035259,          0.00078268,             0.00901,             0.00901,             0.00901
                  42,            0.048761,           0.0058895,           0.0018122,             0.79177,             0.72401,             0.75862,             0.38621,            0.035794,            0.003534,          0.00081203,           0.0089853,           0.0089853,           0.0089853
                  43,            0.048516,           0.0057357,           0.0015253,             0.78909,              0.7259,             0.76269,             0.38743,            0.035757,           0.0035156,          0.00076961,           0.0089605,           0.0089605,           0.0089605
                  44,            0.048407,           0.0057295,            0.001642,             0.78531,             0.73721,             0.76531,             0.39349,            0.035368,           0.0035069,          0.00075503,           0.0089358,           0.0089358,           0.0089358
                  45,            0.048025,            0.005732,            0.001551,             0.79535,             0.73136,             0.76405,             0.39618,            0.035036,           0.0034611,          0.00075686,            0.008911,            0.008911,            0.008911
                  46,             0.04793,           0.0058217,           0.0016311,             0.78843,             0.73065,             0.76239,             0.38772,            0.035102,           0.0034902,          0.00077102,           0.0088863,           0.0088863,           0.0088863
                  47,            0.048032,            0.005722,           0.0017084,             0.79569,             0.73458,             0.76735,             0.39399,             0.03484,           0.0034712,          0.00075814,           0.0088615,           0.0088615,           0.0088615
                  48,            0.047707,           0.0057055,           0.0016217,             0.79883,             0.73375,              0.7677,             0.39465,            0.034977,           0.0034629,           0.0007533,           0.0088368,           0.0088368,           0.0088368
                  49,            0.047968,           0.0056945,           0.0017565,             0.79205,             0.73788,             0.77162,             0.39825,            0.034809,           0.0034615,           0.0007442,            0.008812,            0.008812,            0.008812
                  50,            0.048009,           0.0057856,           0.0018622,              0.8036,              0.7391,             0.77558,             0.40292,            0.034745,           0.0034456,          0.00074394,           0.0087872,           0.0087872,           0.0087872
