epoch,time,train/s_box_loss,train/s_cls_loss,train/s_dfl_loss,train/t_box_loss,train/t_cls_loss,train/t_dfl_loss,train/cclkd_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/s_box_loss,val/s_cls_loss,val/s_dfl_loss,val/t_box_loss,val/t_cls_loss,val/t_dfl_loss,val/cclkd_loss,lr/pg0,lr/pg1,lr/pg2
30,6030.04,2.37535,1.77191,1.18843,2.15694,1.88331,1.15157,1.33728,0.460132,0.385373,0.37937,0.184688,nan,nan,nan,nan,nan,nan,nan,0.00928225,0.00928225,0.00928225
31,6232.66,2.3951,1.7811,1.19912,2.15143,1.87716,1.15455,1.31961,0.483269,0.379242,0.382744,0.187112,nan,nan,nan,nan,nan,nan,nan,0.0092575,0.0092575,0.0092575
32,6439.95,2.39356,1.78019,1.18848,2.15232,1.86993,1.14497,1.32597,0.478673,0.389914,0.386906,0.18783,nan,nan,nan,nan,nan,nan,nan,0.00923275,0.00923275,0.00923275
33,6652.08,2.3791,1.76037,1.18194,2.14543,1.84996,1.14111,1.33541,0.462584,0.398513,0.391114,0.195337,nan,nan,nan,nan,nan,nan,nan,0.009208,0.009208,0.009208
34,6861.65,2.36011,1.75378,1.1884,2.12838,1.82239,1.13882,1.36274,0.469791,0.405635,0.40035,0.196211,nan,nan,nan,nan,nan,nan,nan,0.00918325,0.00918325,0.00918325
35,7068.02,2.37259,1.75538,1.17899,2.14084,1.81439,1.13783,1.32726,0.480756,0.399626,0.403545,0.201595,nan,nan,nan,nan,nan,nan,nan,0.0091585,0.0091585,0.0091585
36,7269.38,2.35522,1.73463,1.18039,2.12214,1.79698,1.13524,1.30917,0.498364,0.40229,0.412141,0.207456,nan,nan,nan,nan,nan,nan,nan,0.00913375,0.00913375,0.00913375
37,7472.87,2.35581,1.72482,1.1836,2.1182,1.78733,1.13752,1.30619,0.499458,0.414075,0.413244,0.205893,nan,nan,nan,nan,nan,nan,nan,0.009109,0.009109,0.009109
38,7666.26,2.3474,1.72601,1.18267,2.12301,1.78354,1.1417,1.33906,0.497345,0.42031,0.420572,0.214029,nan,nan,nan,nan,nan,nan,nan,0.00908425,0.00908425,0.00908425
39,7874.88,2.34509,1.71423,1.17658,2.10511,1.75778,1.13172,1.24911,0.498782,0.423484,0.425477,0.215859,nan,nan,nan,nan,nan,nan,nan,0.0090595,0.0090595,0.0090595
40,8077.9,2.33108,1.70267,1.16982,2.10256,1.7567,1.1342,1.29558,0.489681,0.42022,0.420267,0.212208,nan,nan,nan,nan,nan,nan,nan,0.00903475,0.00903475,0.00903475
41,8278,2.339,1.70871,1.17751,2.09577,1.74243,1.13144,1.2287,0.492059,0.423104,0.425543,0.216246,nan,nan,nan,nan,nan,nan,nan,0.00901,0.00901,0.00901
42,8479.02,2.34671,1.7185,1.17921,2.10218,1.74568,1.13532,1.31345,0.501799,0.423413,0.427733,0.217386,nan,nan,nan,nan,nan,nan,nan,0.00898525,0.00898525,0.00898525
43,8683.2,2.31495,1.69419,1.17373,2.08542,1.7334,1.13584,1.24304,0.490277,0.420937,0.424632,0.218479,nan,nan,nan,nan,nan,nan,nan,0.0089605,0.0089605,0.0089605
44,8894.95,2.34036,1.69507,1.16826,2.10437,1.7267,1.1319,1.25028,0.498489,0.433638,0.436083,0.224235,nan,nan,nan,nan,nan,nan,nan,0.00893575,0.00893575,0.00893575
45,9098.9,2.30723,1.68674,1.16911,2.07612,1.70957,1.13031,1.24935,0.500158,0.429892,0.434784,0.223604,nan,nan,nan,nan,nan,nan,nan,0.008911,0.008911,0.008911
46,9305.02,2.28684,1.67256,1.16615,2.06838,1.69749,1.13494,1.27944,0.503868,0.436406,0.434258,0.222861,nan,nan,nan,nan,nan,nan,nan,0.00888625,0.00888625,0.00888625
47,9510.87,2.3122,1.67042,1.15652,2.08039,1.68853,1.12411,1.2765,0.509753,0.4394,0.438203,0.224251,nan,nan,nan,nan,nan,nan,nan,0.0088615,0.0088615,0.0088615
48,9723.34,2.29621,1.66869,1.16246,2.08081,1.6929,1.13244,1.21335,0.506749,0.438473,0.440924,0.227992,nan,nan,nan,nan,nan,nan,nan,0.00883675,0.00883675,0.00883675
49,9933.62,2.31642,1.66586,1.16142,2.09193,1.68615,1.1327,1.18185,0.515213,0.438696,0.445229,0.232074,nan,nan,nan,nan,nan,nan,nan,0.008812,0.008812,0.008812
50,10137.8,2.28375,1.64312,1.1588,2.05745,1.66994,1.12381,1.18152,0.511286,0.44573,0.444673,0.231096,nan,nan,nan,nan,nan,nan,nan,0.00878725,0.00878725,0.00878725
51,10344.4,2.2842,1.64109,1.1595,2.04459,1.65142,1.12593,1.21416,0.513553,0.440068,0.447244,0.234037,nan,nan,nan,nan,nan,nan,nan,0.0087625,0.0087625,0.0087625
52,10555.2,2.28657,1.64348,1.15041,2.06766,1.66228,1.12552,1.2139,0.524397,0.444606,0.451768,0.236141,nan,nan,nan,nan,nan,nan,nan,0.00873775,0.00873775,0.00873775
53,10765.8,2.2846,1.63667,1.15549,2.06325,1.65433,1.13358,1.17996,0.523124,0.451982,0.454256,0.238087,nan,nan,nan,nan,nan,nan,nan,0.008713,0.008713,0.008713
54,10976.9,2.29418,1.63394,1.15638,2.06545,1.6534,1.12918,1.18578,0.530068,0.452928,0.456792,0.239068,nan,nan,nan,nan,nan,nan,nan,0.00868825,0.00868825,0.00868825
55,11188.2,2.26935,1.62457,1.15383,2.05375,1.64361,1.1308,1.20107,0.522717,0.456726,0.458137,0.240036,nan,nan,nan,nan,nan,nan,nan,0.0086635,0.0086635,0.0086635
56,11400,2.26301,1.61429,1.14888,2.05706,1.63818,1.13161,1.17071,0.531994,0.457578,0.462437,0.244466,nan,nan,nan,nan,nan,nan,nan,0.00863875,0.00863875,0.00863875
57,11635.9,2.24351,1.60581,1.15251,2.03812,1.62561,1.13267,1.14944,0.528199,0.458235,0.465079,0.244316,nan,nan,nan,nan,nan,nan,nan,0.008614,0.008614,0.008614
58,11854.2,2.26083,1.60842,1.1484,2.05093,1.63247,1.12692,1.11959,0.532479,0.458106,0.465119,0.245634,nan,nan,nan,nan,nan,nan,nan,0.00858925,0.00858925,0.00858925
59,12065.1,2.27404,1.61592,1.14969,2.04945,1.62645,1.12974,1.12317,0.53526,0.463568,0.468754,0.247224,nan,nan,nan,nan,nan,nan,nan,0.0085645,0.0085645,0.0085645
60,12271.2,2.25169,1.59731,1.14684,2.04525,1.61819,1.13372,1.12442,0.541597,0.462924,0.471243,0.248654,nan,nan,nan,nan,nan,nan,nan,0.00853975,0.00853975,0.00853975
61,12479.3,2.24819,1.59447,1.1396,2.04781,1.61057,1.13196,1.12466,0.539261,0.462569,0.471555,0.250274,nan,nan,nan,nan,nan,nan,nan,0.008515,0.008515,0.008515
62,12687.9,2.24641,1.58759,1.14919,2.04094,1.60556,1.13594,1.05896,0.545435,0.461092,0.472667,0.251323,nan,nan,nan,nan,nan,nan,nan,0.00849025,0.00849025,0.00849025
63,12899.9,2.24573,1.59908,1.14734,2.03826,1.60537,1.13784,1.08116,0.538916,0.463851,0.474249,0.252,nan,nan,nan,nan,nan,nan,nan,0.0084655,0.0084655,0.0084655
64,13113.4,2.24371,1.58463,1.13996,2.03431,1.58967,1.13237,1.12612,0.536241,0.468657,0.47738,0.252481,nan,nan,nan,nan,nan,nan,nan,0.00844075,0.00844075,0.00844075
65,13323.3,2.24309,1.57863,1.13984,2.05339,1.59867,1.13489,1.06216,0.537774,0.467174,0.477793,0.253183,nan,nan,nan,nan,nan,nan,nan,0.008416,0.008416,0.008416
66,13530.8,2.22423,1.57441,1.14451,2.02896,1.58902,1.14057,1.06835,0.539255,0.472721,0.480355,0.255483,nan,nan,nan,nan,nan,nan,nan,0.00839125,0.00839125,0.00839125
67,13715.4,2.21725,1.56156,1.13677,2.02111,1.57121,1.14104,1.0454,0.542518,0.474896,0.481391,0.256293,nan,nan,nan,nan,nan,nan,nan,0.0083665,0.0083665,0.0083665
68,13889.8,2.23457,1.57036,1.13679,2.03676,1.57904,1.13549,0.99678,0.547225,0.47472,0.482958,0.25722,nan,nan,nan,nan,nan,nan,nan,0.00834175,0.00834175,0.00834175
69,14066,2.23452,1.57796,1.14198,2.04281,1.57967,1.14288,1.02799,0.542476,0.476086,0.483617,0.257632,nan,nan,nan,nan,nan,nan,nan,0.008317,0.008317,0.008317
70,14241.4,2.23697,1.57329,1.1404,2.03819,1.57856,1.14363,1.01019,0.546317,0.475915,0.483449,0.258046,nan,nan,nan,nan,nan,nan,nan,0.00829225,0.00829225,0.00829225
71,14411,2.21512,1.55001,1.13504,2.02191,1.54776,1.13957,1.00161,0.544386,0.477362,0.485341,0.259195,nan,nan,nan,nan,nan,nan,nan,0.0082675,0.0082675,0.0082675
72,14577.1,2.20941,1.54682,1.13668,2.03628,1.56459,1.14634,1.00079,0.54758,0.47762,0.487322,0.25988,nan,nan,nan,nan,nan,nan,nan,0.00824275,0.00824275,0.00824275
73,14750.2,2.21429,1.55695,1.13659,2.02671,1.56195,1.14551,0.97866,0.549284,0.47547,0.488037,0.260863,nan,nan,nan,nan,nan,nan,nan,0.008218,0.008218,0.008218
74,14924.7,2.22595,1.55642,1.13323,2.04655,1.56478,1.14723,0.98893,0.547641,0.476661,0.488494,0.261397,nan,nan,nan,nan,nan,nan,nan,0.00819325,0.00819325,0.00819325
75,15100.9,2.20984,1.54367,1.13091,2.03374,1.55044,1.14641,0.94143,0.547329,0.478078,0.488914,0.262119,nan,nan,nan,nan,nan,nan,nan,0.0081685,0.0081685,0.0081685
