run,rows,best_ep,best_ap,last_ap,drop,early_allowed,final_allowed,allowed_delta,early_extra,final_extra,extra_delta,early_det,final_det,det_delta
mosaic_n_s0_A2,50,1,0.42623,0.40143,0.02479999999999999,1.2019862,0.6674338000000001,-0.5345523999999998,0.00021150000000000002,1.6199999999999997e-05,-0.00019530000000000003,5.020664,3.290328,-1.7303359999999999
mosaic_n_s42_A2,50,50,0.40313,0.40313,0.0,1.1992734,0.6685155999999999,-0.5307578000000002,0.0001358,1.5399999999999998e-05,-0.0001204,5.021330000000001,3.301944,-1.7193860000000005
nomosaic_n_s0_A2,50,49,0.56273,0.562,0.0007299999999998974,0.5410454,0.5062096,-0.03483579999999997,7.35e-05,4.52e-05,-2.8299999999999997e-05,2.36778,2.184992,-0.1827880000000004
nomosaic_n_s123_A2,50,50,0.56574,0.56574,0.0,0.5397168,0.5037476000000001,-0.03596919999999992,3.4699999999999996e-05,3.85e-05,3.8000000000000043e-06,2.360392,2.172224,-0.1881680000000001
s_A2_lr3e4_A2,50,13,0.63309,0.62443,0.008660000000000001,0.4445056,0.43218619999999996,-0.012319400000000036,1.13e-05,6.9e-06,-4.4e-06,1.866028,1.8044,-0.061628000000000016
s_A2_detonly_A2,50,13,0.62795,0.62222,0.005730000000000013,0.0,0.0,0.0,0.0,0.0,0.0,1.973092,1.814928,-0.15816399999999997
m_A2_lr3e4_full50_A2,50,8,0.64611,0.63911,0.007000000000000006,0.42365880000000006,0.412107,-0.011551800000000056,1.7000000000000003e-05,1.4099999999999999e-05,-2.9000000000000044e-06,1.7387580000000002,1.6797700000000002,-0.05898800000000004
m_A2_detonly_A2,50,4,0.64521,0.63892,0.006289999999999907,0.0,0.0,0.0,0.0,0.0,0.0,1.82835,1.6801060000000003,-0.1482439999999996
