run,rows,best_ep,best_ap,last_ap,drop,early_ap,final_ap,early_det,final_det,det_delta,early_kd,final_kd,kd_delta,early_srec,final_srec,srec_delta,early_ssep,final_ssep,ssep_delta,early_raux,final_raux,raux_delta,early_weighted_extra,final_weighted_extra,extra_delta,early_weighted_core,final_weighted_core,core_delta,last100_ap_slope,last100_det_slope,last100_kd_slope,last100_ssep_slope,last100_raux_slope
mosaic_n_s0_cap2_B800,800,798,0.56841,0.56792,0.0004899999999999904,0.21134,0.5673725,4.7594935,2.2110994999999996,-2.548394,0.30349400000000004,0.07681950000000001,-0.22667450000000003,0.010423999999999998,0.0013295000000000002,-0.009094499999999997,0.0008154999999999999,0.000176,-0.0006394999999999999,0.0001595,6.000000000000001e-06,-0.0001535,8.065000000000001e-05,1.0300000000000001e-05,-7.035e-05,0.30453640000000004,0.07695245000000002,-0.22758395000000003,9.966876687665916e-06,-0.0009759173717371904,-4.429336933693393e-05,-6.102610261026153e-08,-4.962496249624973e-08
mosaic_n_s42_cap2_B800,800,750,0.56799,0.56044,0.007549999999999946,0.2345625,0.5622029999999999,4.6307785,2.2194765,-2.411302,0.21244649999999998,0.09053399999999999,-0.1219125,0.008808,0.0014300000000000003,-0.007377999999999999,0.000752,0.00018500000000000002,-0.0005669999999999999,8e-05,1.5000000000000004e-05,-6.500000000000001e-05,5.7600000000000004e-05,1.3000000000000003e-05,-4.46e-05,0.21332729999999997,0.090677,-0.12265029999999998,-1.3815481548157914e-05,-0.0009549426942694407,-3.510543054305476e-05,-3.5403540354036184e-08,-8.28082808280832e-09
mosaic_n_s123_cap2_B800,800,800,0.56163,0.56163,0.0,0.21237,0.5611115,4.762379,2.21965,-2.542729,0.39380649999999995,0.09143399999999999,-0.30237249999999993,0.0103805,0.0013664999999999999,-0.009014000000000001,0.000801,0.0002075,-0.0005935,0.00016800000000000002,1.3000000000000001e-05,-0.00015500000000000003,8.205e-05,1.3625000000000003e-05,-6.8425e-05,0.39484454999999996,0.09157064999999999,-0.3032739,8.14707470746917e-06,-0.0009257540354035517,-6.162778277827827e-05,8.958895889588854e-08,3.46834683468347e-08
nomosaic90_n_s0_B800,800,725,0.57662,0.57504,0.0015800000000000258,0.25580450000000005,0.5741375,4.048337500000001,2.2046685,-1.8436690000000007,0.9005365000000001,0.09087899999999999,-0.8096575000000001,0.040832,0.0014455000000000002,-0.0393865,0.0083875,0.00020999999999999998,-0.0081775,0.000661,2.45e-05,-0.0006365,0.0005846250000000001,1.6624999999999998e-05,-0.000568,0.9046197,0.09102354999999998,-0.8135961500000001,-2.4143954395440166e-05,-0.0008950722472247137,-5.1533093309331246e-05,-3.882388238823972e-08,1.783978397839782e-07
nomosaic90_n_s42_B800,800,735,0.5742,0.57293,0.0012699999999999934,0.29122499999999996,0.5726510000000001,3.909356,2.203514,-1.7058419999999996,0.29804400000000003,0.07672799999999999,-0.22131600000000004,0.011310999999999998,0.00135,-0.009960999999999998,0.0011385,0.00023449999999999998,-0.000904,8.3e-05,1.1499999999999998e-05,-7.15e-05,7.7675e-05,1.4599999999999999e-05,-6.3075e-05,0.2991751,0.07686299999999999,-0.22231210000000004,-3.0549054905516755e-06,-0.0009418744074407545,-5.521728172817358e-05,-3.7605760576057697e-07,-1.1863186318631869e-07
nomosaic90_n_s123_collapse,483,1,0.52182,0.0,0.52182,0.147303,0.0033115000000000006,4.0289585,270.1960416666667,266.1670831666667,0.4058940000000001,0.5165815,0.11068749999999994,0.049646499999999996,0.20365800000000003,0.15401150000000002,0.0093025,0.0140265,0.004724000000000001,0.0002405,0.032759500000000004,0.032519000000000006,0.00052525,0.008891200000000002,0.008365950000000002,0.4108586500000001,0.5369473,0.1260886499999999,-0.0046155591359135955,4.2753987147634955,0.004912955115511552,0.00012871287128712875,0.0004158535253525354
nomosaic90_n_s0_bnfreeze,800,793,0.57276,0.57254,0.00021999999999999797,0.5183745,0.5724965,2.4713265000000004,2.0786404999999997,-0.39268600000000076,1.140703,0.1227455,-1.0179575,0.022408499999999998,0.001964,-0.020444499999999997,0.0031259999999999994,0.0006485,-0.0024774999999999997,0.00013450000000000002,6e-06,-0.0001285,0.00018992499999999997,3.3925000000000005e-05,-0.00015599999999999997,1.14294385,0.12294189999999999,-1.02000195,2.47536153615352e-05,-0.00015161218121813118,-8.710111011101768e-06,1.19285928592859e-06,5.2865286528652846e-08
b800_N2_a2best_continue,229,214,0.55681,0.54271,0.014100000000000001,0.5155035000000001,0.5539535,2.4642695,2.4673505263157893,0.003081026315789437,1.2042550000000003,0.3397305,-0.8645245000000004,0.0220555,0.0474625,0.025407,0.0030015,0.0044615,0.0014600000000000004,0.00014699999999999997,8.95e-05,-5.7499999999999975e-05,0.000186825,0.00024545000000000003,5.862500000000003e-05,1.2064605500000003,0.34447675,-0.8619838000000003,1.117221722171928e-05,4.126209029068848e-05,-0.0013947401140114058,3.8113771377137715e-05,8.538853885388541e-07
b800_N2_a2last_continue,319,271,0.56073,0.4629,0.09782999999999997,0.5140895,0.49666699999999997,2.469755,2.4503263157894737,-0.01942868421052646,1.2097015,0.2301855,-0.979516,0.0227685,0.071004,0.0482355,0.0030575,0.011215,0.0081575,0.00017700000000000002,0.0004944999999999999,0.0003174999999999999,0.00019712500000000003,0.0006843749999999999,0.00048724999999999984,1.21197835,0.2372859,-0.97469245,-0.0006394307230723102,0.0006369680890538291,-0.0022079329132913316,0.0001270833483348335,5.211821182118214e-06
b800_N3_yoloinit_decomp,525,525,0.48742,0.48742,0.0,0.13281600000000002,0.4865735,5.6765225,2.498239,-3.1782835,0.5156745,0.10902350000000002,-0.406651,0.0173725,0.0009509999999999999,-0.0164215,0.00544,5.899999999999999e-05,-0.005381,0.0011324999999999998,8.5e-06,-0.0011239999999999998,0.0005551250000000001,5.075e-06,-0.0005500500000000001,0.5174117500000001,0.10911860000000002,-0.40829315000000005,6.830393039304149e-05,-0.0019587092709271083,-0.0001460409240924099,-8.304830483048315e-08,2.8442844284428415e-08
