path,name,phase,model,seed,epochs,batch,alpha_kd,alpha_s_rec,alpha_sep,lambda_sep,lambda_residual_aux,residual_aux_mode,lambda_teacher_private_aux,teacher_private_aux_mode,lambda_reach,lambda_match_inner,lambda_rank_inner,ladd_b_det_only,ladd_a2_det_only,ladd_b_a2_core,cats
ladd/results/a2_selection_20260612/current_evidence/runs/s_A2_lr3e4_short13_Bdet200_A1/args.yaml,ladd_hbb_ogsod11s_formal_nomosaic_yolo11s_cap2_s0_diag_a2select_s_s0_a2lr3e4_short13_bdetonly200_a1_e10_b64_s0_gpu0,,runs_public/ogsod/hbb/formal_nomosaic_20260528/baselines/sar/sar_yolo11s_hbb_800ep_cos_nomosaic_albu,0,10,64,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0,0,0,
ladd/results/a2_selection_20260612/current_evidence/runs/s_A2_lr1e4_short15_B1_A2/args.yaml,ladd_hbb_ogsod11s_formal_nomosaic_yolo11s_cap2_s0_diag_a2select_s_s0_a2lr1e4_short15_b1_a2_e15_b64_s0_gpu1,,/root/shared-nvme/LADD_public/runs_public/ogsod/hbb/formal_nomosaic_20260528/ladd/yolo11s/cap2/ladd_,0,15,64,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0,0,0,
ladd/results/a2_selection_20260612/current_evidence/runs/m_A2_short10_B1_A1/args.yaml,ladd_hbb_ogsod11m_formal_nomosaic_yolo11m_cap2_s0_diag_a2select_m_s0_a2short10_b1_a1_e10_b32_s0_gpu0,,runs_public/ogsod/hbb/formal_nomosaic_20260528/baselines/sar/sar_yolo11m_hbb_800ep_cos_nomosaic_albu,0,10,32,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0,0,0,
ladd/results/a2_selection_20260612/current_evidence/runs/m_A2_short10_B1_B1/args.yaml,ladd_hbb_ogsod11m_formal_nomosaic_yolo11m_cap2_s0_diag_a2select_m_s0_a2short10_b1_b_e1_b32_s0_gpu0,,/root/shared-nvme/LADD_public/runs_public/ogsod/hbb/formal_nomosaic_20260528/ladd/yolo11m/cap2/ladd_,0,1,32,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0,0,0,
ladd/results/a2_selection_20260612/current_evidence/runs/m_A2_lr3e4_full50_retry3_B1_A2/args.yaml,ladd_hbb_ogsod11m_formal_nomosaic_yolo11m_cap2_s0_diag_a2damage_m_s0_a2lr3e4_b1_retry3_a2_e50_b32_s0_gpu1,,/root/shared-nvme/LADD_public/runs_public/ogsod/hbb/formal_nomosaic_20260528/ladd/yolo11m/cap2/ladd_,0,50,32,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0,0,0,
ladd/results/a2_selection_20260612/current_evidence/runs/s_A2_lr3e4_short13_Bdet200_B200/args.yaml,ladd_hbb_ogsod11s_formal_nomosaic_yolo11s_cap2_s0_diag_a2select_s_s0_a2lr3e4_short13_bdetonly200_b_e200_b64_s0_gpu0,,/root/shared-nvme/LADD_public/runs_public/ogsod/hbb/formal_nomosaic_20260528/ladd/yolo11s/cap2/ladd_,0,200,64,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0,0,0,
ladd/results/a2_selection_20260612/current_evidence/runs/s_A2_lr3e4_short13_B1_B1/args.yaml,ladd_hbb_ogsod11s_formal_nomosaic_yolo11s_cap2_s0_diag_a2select_s_s0_a2lr3e4_short13_b1_b_e1_b64_s0_gpu0,,/root/shared-nvme/LADD_public/runs_public/ogsod/hbb/formal_nomosaic_20260528/ladd/yolo11s/cap2/ladd_,0,1,64,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0,0,0,
ladd/results/a2_selection_20260612/current_evidence/runs/s_A2_lr3e4_short13_B1_A1/args.yaml,ladd_hbb_ogsod11s_formal_nomosaic_yolo11s_cap2_s0_diag_a2select_s_s0_a2lr3e4_short13_b1_a1_e10_b64_s0_gpu0,,runs_public/ogsod/hbb/formal_nomosaic_20260528/baselines/sar/sar_yolo11s_hbb_800ep_cos_nomosaic_albu,0,10,64,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0,0,0,
ladd/results/b_entrance_20260613/evidence/autodl/S1_basecontinue_b100_autodl/run_files/args.yaml,ladd_hbb_ogsod11s_formal_nomosaic_yolo11s_cap2_s0_bentrance_S1_basecontinue_b100_autodl_after67b_b_e100_b64_s0_gpu0,,runs_public/ogsod/hbb/formal_nomosaic_20260528/baselines/sar/sar_yolo11s_hbb_800ep_cos_nomosaic_albu,0,100,64,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0,0,0,
ladd/results/b_entrance_20260613/evidence/ladd4090/S4_base_a2last_kdramp_b120_retry_strict_b64_running/run_files/args.yaml,ladd_hbb_ogsod11s_formal_nomosaic_yolo11s_cap2_s0_bentrance_S4_base_a2last_kdramp_b120_after67b_retry_strict_b64_b_e120_b64_s0_gpu0,,runs_public/ogsod/hbb/formal_nomosaic_20260528/baselines/sar/sar_yolo11s_hbb_800ep_cos_nomosaic_albu,0,120,64,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0,0,0,
ladd/results/b_entrance_20260613/evidence/ladd4090/comparison_n_fgd_running/run_files/args.yaml,transfer_fgd_hbb_ogsod11n_from_yolo_formal_nomosaic_yolo11n_fgd_v2_20260612_fgd_original_low_from_yolo_s0_b_e800_b64_s0_gpu0,,yolo11n.pt,0,800,64,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0,0,0,
ladd/results/b_entrance_20260613/evidence/ladd4090/N1_basecontinue_b100/run_files/args.yaml,ladd_hbb_ogsod11n_formal_nomosaic_yolo11n_cap2_s0_bentrance_N1_basecontinue_b100_after67b_b_e100_b64_s0_gpu0,,runs_public/ogsod/hbb/formal_nomosaic_20260528/baselines/sar/sar_yolo11n_hbb_800ep_cos_nomosaic_albu,0,100,64,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0,0,0,
