protocol,probe_epoch_current,probe_current_AP50,probe_current_AP,probe_best_AP_epoch,probe_best_AP,probe_AP50_at_best_AP,sar_best_AP_epoch,sar_best_AP,rgb_best_AP_epoch,rgb_best_AP,delta_AP_vs_SAR,AP_gap_RGB_minus_SAR,AP_gap_closure,probe_best_AP50_epoch,probe_best_AP50,sar_best_AP50_epoch,sar_best_AP50,rgb_best_AP50_epoch,rgb_best_AP50,delta_AP50_vs_SAR,AP50_gap_RGB_minus_SAR,AP50_gap_closure
no-mosaic,686,0.9192,0.63725,640,0.64073,0.92198,729,0.62897,647,0.65768,0.011759999999999993,0.028710000000000013,0.4096133751306161,640,0.92198,732,0.91091,622,0.94435,0.011070000000000024,0.033440000000000025,0.3310406698564598
mosaic100,800,0.91364,0.62764,708,0.63487,0.91903,770,0.61972,679,0.66029,0.015149999999999997,0.040569999999999995,0.3734286418535864,714,0.91981,760,0.90837,672,0.94702,0.011440000000000006,0.03864999999999996,0.295989650711514
