model,run,rows,last_epoch,best_ap,best_ap_epoch,last_ap,best_ap50,last_ap50,last_det_loss,last_kd_loss,protocol,path
n,SAR baseline,800,800.0,0.55654,734.0,0.55127,0.82462,0.8234,2.25602,,"SAR-only detector, formal no-mosaic, b64, seed0",docs/experiments/cmdistill_mainline_progress_20260616/source/sar_yolo11n_baseline_results.csv
n,RGB teacher,800,800.0,0.63018,723.0,0.62737,0.92952,0.92787,2.09853,,"RGB-only detector reference, formal no-mosaic, b64, seed0",docs/experiments/cmdistill_mainline_progress_20260616/source/rgb_yolo11n_baseline_results.csv
n,FGD,800,800.0,0.53368,789.0,0.53123,0.80605,0.8036,2.3264400000000003,0.13692,"from YOLO pretrain, frozen RGB teacher, b64, seed0",ladd/results/ladd4090_shutdown_sync_20260614/evidence_raw/ladd4090/repo_root_snapshot/runs_public/ogsod/hbb/formal_nomosaic_20260528/comparisons/from_yolo_pretrain/yolo11n/fgd/transfer_fgd_hbb_ogsod11n_from_yolo_formal_nomosaic_yolo11n_fgd_v2_20260612_fgd_original_low_from_yolo_s0_b_e800_b64_s0_gpu0/results.csv
n,LD,800,800.0,0.56145,791.0,0.56064,0.83393,0.833,2.22348,0.00489,"from YOLO pretrain, frozen RGB teacher, b64, seed0",ladd/results/ladd4090_shutdown_sync_20260614/evidence_raw/ladd4090/repo_root_snapshot/runs_public/ogsod/hbb/formal_nomosaic_20260528/comparisons/from_yolo_pretrain/yolo11n/ld/transfer_ld_hbb_ogsod11n_from_yolo_formal_nomosaic_yolo11n_ld_v2_20260612_ld_from_yolo_clean_from_yolo_s0_b_e800_b64_s0_gpu1/results.csv
n,CMDistill,800,800.0,0.56777,729.0,0.56459,0.84008,0.83932,2.2240200000000003,0.80475,"from YOLO pretrain, frozen RGB teacher, b64, seed0",comparison/cmdistill/results_autodl_sync_20260616/from_yolo_b64_800ep/yolo11n/transfer_cmdistill_hbb_ogsod11n_from_yolo_formal_nomosaic_yolo11n_cmdistill_v3_smoke_ready_20260615_from_yolo_s0_formal800_b_e800_b64_s0_gpu0/results.csv
n,HalluciDet,800,800.0,0.54150234080819,747.0,0.5376759306673481,0.8448711354392642,0.8404041814805451,2.230766676819843,,"standalone hallucination protocol, frozen RGB detector, b64, seed0",comparison/hallucidet/results_autodl_sync_20260616/official_b64_800ep/yolo11n/hallucidet_yolo11n_official_unet_b64_800ep_s0_20260615/results.csv
n,LADD ref,800,800.0,0.57615,400.0,0.57295,0.85492,0.85155,2.03677,0.10444,"LADD cap2 reference, formal no-mosaic, b64, seed42",docs/experiments/cmdistill_mainline_progress_20260616/source/prev_ladd_cap2_yolo11n_b800_s42_results.csv
s,SAR baseline,800,800.0,0.62897,729.0,0.62233,0.9106,0.90602,1.8618100000000002,,"SAR-only detector, formal no-mosaic, b64, seed0",docs/experiments/cmdistill_mainline_progress_20260616/source/sar_yolo11s_baseline_results.csv
s,RGB teacher,800,800.0,0.65768,647.0,0.64958,0.94426,0.93707,1.7813,,"RGB-only detector reference, formal no-mosaic, b64, seed0",docs/experiments/cmdistill_mainline_progress_20260616/source/rgb_yolo11s_baseline_results.csv
s,FGD,800,800.0,0.62486,718.0,0.61484,0.90815,0.90368,1.8322100000000001,0.08207,"from YOLO pretrain, frozen RGB teacher, b64, seed0",ladd/results/ladd4090_shutdown_sync_20260614/evidence_raw/ladd4090/repo_root_snapshot/runs_public/ogsod/hbb/formal_nomosaic_20260528/comparisons/from_yolo_pretrain/yolo11s/fgd/transfer_fgd_hbb_ogsod11s_from_yolo_formal_nomosaic_yolo11s_fgd_v2_20260612_fgd_original_low_from_yolo_from_yolo_s0_b_e800_b64_s0_gpu1/results.csv
s,LD,800,800.0,0.6187,736.0,0.6147,0.90302,0.90057,1.83785,0.00246,"from YOLO pretrain, frozen RGB teacher, b64, seed0",ladd/results/ladd4090_shutdown_sync_20260614/evidence_raw/ladd4090/repo_root_snapshot/runs_public/ogsod/hbb/formal_nomosaic_20260528/comparisons/from_yolo_pretrain/yolo11s/ld/transfer_ld_hbb_ogsod11s_from_yolo_formal_nomosaic_yolo11s_ld_v2_20260612_ld_from_yolo_clean_from_yolo_s0_b_e800_b64_s0_gpu0/results.csv
s,CMDistill,800,800.0,0.62716,690.0,0.61904,0.91361,0.90755,1.82892,0.52965,"from YOLO pretrain, frozen RGB teacher, b64, seed0",comparison/cmdistill/results_autodl_sync_20260616/from_yolo_b64_800ep/yolo11s/transfer_cmdistill_hbb_ogsod11s_from_yolo_formal_nomosaic_yolo11s_cmdistill_v3_smoke_ready_20260615_from_yolo_s0_formal800_b_e800_b64_s0_gpu0/results.csv
s,HalluciDet,800,800.0,0.5525210015940363,759.0,0.550891948029163,0.8597732323560493,0.8590749844338236,2.1146496040665586,,"standalone hallucination protocol, frozen RGB detector, b64, seed0",comparison/hallucidet/results_autodl_sync_20260616/official_b64_800ep/yolo11s/hallucidet_yolo11s_official_unet_b64_800ep_s0_20260615/results.csv
s,LADD ref,800,800.0,0.63388,263.0,0.61759,0.91812,0.89676,1.68063,0.15865,"LADD cap2 reference, formal no-mosaic, b64, seed0",docs/experiments/cmdistill_mainline_progress_20260616/source/prev_ladd_cap2_yolo11s_b800_s0_results.csv
