run,epoch,AP,det_same_AP,delta_AP,student_box,student_obj,student_cls,student_det_sum,teacher_det_sum,lld,fld,rld,atkd,ccl,kd_total,atkd_share_in_kd,ccl_share_in_kd,weighted_kd/det,raw_kd/det,cop_pos,feature_ok,nan
Full CCLKD,228,0.34940,0.34332,0.00608,0.04797,0.00562,0.00149,0.05508,0.04586,0.00977,0.03488,0.05771,0.10236,0.69364,0.79600,0.12859,0.87141,0.45916,0.45916,0.98643,1.00000,0.00000
ATKD-only,174,0.31653,0.30917,0.00736,0.05140,0.00596,0.00172,0.05908,0.04872,0.01077,0.03434,0.06665,0.11176,0.00000,0.11175,1.00009,0.00000,0.05941,0.05941,0.98384,1.00000,0.00000
CCL-only,279,0.37938,0.37259,0.00679,0.04504,0.00541,0.00131,0.05176,0.04340,0.00000,0.00000,0.00000,0.00000,0.69390,0.69390,0.00000,1.00000,0.42872,0.42872,0.98756,1.00000,0.00000
Det-only baseline,316,0.39387,baseline,,0.04198,0.00515,0.00106,0.04819,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,,0.00000,0.00000,,,0.00000
