epoch,ap,delta_ap_vs_det,ap50,delta_ap50_vs_det
288,0.38985419278996863,0.01274419278996865,0.6757929702194357,0.01793297021943573
289,0.3907364678066993,0.012806467806699305,0.6757421585185446,0.0179221585185446
290,0.39141874282343,0.012868742823429957,0.6765313468176535,0.017911346817653474
291,0.3921110178401606,0.012931017840160612,0.6774605351167624,0.017900535116762345
292,0.39225329285689126,0.012993292856891268,0.6782797234158713,0.01788972341587122
293,0.39362556787362196,0.01305556787362192,0.6795289117149801,0.01787891171498009
294,0.39381784289035254,0.013117842890352576,0.680168100014089,0.017868100014088964
295,0.3942601179070832,0.013180117907083228,0.6807572883131979,0.017857288313197835
296,0.3951723929238139,0.013242392923813883,0.6817164766123067,0.01784647661230671
297,0.39598466794054454,0.013304667940544536,0.6828756649114156,0.017835664911415583
298,0.3965969429572752,0.013366942957275191,0.6838048532105244,0.017824853210524454
299,0.3970592179740059,0.013429217974005847,0.6840140415096333,0.017814041509633324
300,0.3976514929907365,0.013491492990736499,0.6847132298087422,0.0178032298087422
301,0.39853376800746715,0.013553768007467154,0.6855724181078511,0.017792418107851073
302,0.3994860430241978,0.013616043024197807,0.68707160640696,0.017781606406959943
303,0.40018831804092847,0.013678318040928462,0.6876907947060688,0.017770794706068817
304,0.40064059305765914,0.013740593057659114,0.6888199830051777,0.017759983005177688
305,0.4014228680743898,0.01380286807438977,0.6891491713042865,0.017749171304286562
306,0.4017851430911204,0.013865143091120425,0.6899683596033954,0.017738359603395433
307,0.4026874181078511,0.013927418107851077,0.6903075479025043,0.017727547902504307
308,0.40311969312458173,0.013989693124581733,0.6911767362016131,0.017716736201613178
309,0.4033319681413124,0.014051968141312385,0.6917059245007221,0.017705924500722052
310,0.40454424315804305,0.01411424315804304,0.6922451127998309,0.017695112799830923
311,0.40463651817477364,0.014176518174773693,0.6928443010989398,0.017684301098939797
312,0.4053187931915043,0.014238793191504348,0.6937334893980487,0.017673489398048668
313,0.406651068208235,0.014301068208235004,0.6938726776971575,0.01766267769715754
314,0.40676334322496566,0.014363343224965656,0.6945518659962664,0.017651865996266412
315,0.4078056182416963,0.014425618241696312,0.6956010542953753,0.017641054295375286
316,0.408357893258427,0.014487893258426964,0.6960702425944842,0.01763024259448416
317,0.4091701682751576,0.01455016827515762,0.697149430893593,0.01761943089359303
318,0.40970244329188826,0.014612443291888271,0.6972086191927018,0.017608619192701902
319,0.41010471830861894,0.014674718308618927,0.6972378074918107,0.017597807491810776
320,0.41033699332534956,0.01473699332534958,0.6975069957909196,0.01758699579091965
321,0.41105926834208023,0.014799268342080235,0.6978861840900284,0.01757618409002852
322,0.4117115433588109,0.01486154335881089,0.6985653723891374,0.017565372389137395
323,0.4123838183755415,0.014923818375541542,0.6988845606882462,0.017554560688246266
324,0.4132360933922722,0.014986093392272198,0.7001237489873551,0.01754374898735514
325,0.41373836840900285,0.01504836840900285,0.700192937286464,0.01753293728646401
326,0.4148806434257335,0.015110643425733506,0.7006921255855729,0.017522125585572885
327,0.41557291844246413,0.015172918442464158,0.7019313138846818,0.017511313884681756
328,0.41606519345919485,0.015235193459194813,0.7023605021837906,0.01750050218379063
329,0.41615746847592544,0.015297468475925469,0.7021996904828995,0.0174896904828995
330,0.41679974349265614,0.015359743492656121,0.7027688787820083,0.017478878782008374
331,0.4173520185093868,0.015422018509386777,0.7039180670811173,0.017468067081117245
332,0.4181342935261174,0.015484293526117429,0.7046272553802261,0.01745725538022612
333,0.4188065685428481,0.015546568542848084,0.705036443679335,0.01744644367933499
334,0.41946884355957875,0.015608843559578736,0.7060656319784439,0.017435631978443864
335,0.4200911185763094,0.015671118576309394,0.7063148202775528,0.01742482027755274
336,0.42132339359304005,0.015733393593040046,0.7066340085766617,0.01741400857666161
337,0.42201566860977074,0.015795668609770698,0.7068931968757706,0.01740319687577048
338,0.4228579436265013,0.015857943626501357,0.7082723851748794,0.017392385174879354
339,0.423550218643232,0.01592021864323201,0.7086515734739883,0.017381573473988228
340,0.42409249365996265,0.01598249365996266,0.709290761773097,0.0173707617730971
341,0.4248547686766933,0.016044768676693313,0.7086899500722059,0.017359950072205973
342,0.425367043693424,0.016107043693423972,0.7091891383713148,0.017349138371314844
343,0.42595931871015463,0.016169318710154625,0.7089083266704237,0.017338326670423718
344,0.4269415937268853,0.016231593726885277,0.7093675149695325,0.01732751496953259
345,0.42777386874361595,0.016293868743615936,0.7106467032686414,0.017316703268641463
346,0.4284761437603466,0.016356143760346588,0.7109958915677503,0.017305891567750333
347,0.4290384187770772,0.01641841877707724,0.7119750798668592,0.017295079866859207
348,0.4297306937938079,0.016480693793807892,0.7123142681659681,0.017284268165968078
349,0.43082296881053855,0.01654296881053855,0.713643456465077,0.017273456465076952
350,0.4313152438272692,0.016605243827269203,0.7146026447641858,0.017262644764185823
351,0.43184751884399986,0.016667518843999855,0.7155218330632946,0.017251833063294697
352,0.43346979386073053,0.016729793860730514,0.7163810213624036,0.017241021362403568
353,0.43396206887746114,0.016792068877461166,0.7168602096615124,0.017230209661512442
354,0.43465434389419183,0.01685434389419182,0.7178293979606213,0.017219397960621316
355,0.4351566189109225,0.01691661891092247,0.7182985862597302,0.017208586259730187
356,0.4363888939276531,0.01697889392765313,0.7194277745588391,0.017197774558839057
357,0.4369511689443838,0.017041168944383782,0.720006962857948,0.01718696285794793
358,0.4375334439611145,0.017103443961114434,0.7205961511570569,0.017176151157056806
359,0.4380257189778451,0.017165718977845093,0.7203353394561657,0.017165339456165676
360,0.43805799399457573,0.017227993994575745,0.7203645277552746,0.01715452775527455
361,0.43862026901130635,0.017290269011306397,0.7213537160543835,0.01714371605438342
362,0.43928254402803707,0.01735254402803705,0.7220929043534923,0.017132904353492295
363,0.4401348190447677,0.01741481904476771,0.7222820926526011,0.017122092652601166
364,0.4409370940614984,0.01747709406149836,0.72297128095171,0.01711128095171004
365,0.441609369078229,0.017539369078229013,0.7239504692508189,0.01710046925081891
366,0.44181164409495965,0.01760164409495967,0.7243496575499278,0.017089657549927785
367,0.4426239191116903,0.017663919111690324,0.7238888458490367,0.017078845849036656
368,0.44322619412842096,0.017726194128420976,0.7248980341481455,0.01706803414814553
369,0.44362846914515164,0.017788469145151628,0.7252172224472544,0.017057222447254404
370,0.44377074416188234,0.017850744161882287,0.7260164107463632,0.017046410746363275
371,0.4444130191786129,0.01791301917861294,0.7271955990454722,0.017035599045472145
372,0.4455552941953436,0.01797529419534359,0.727264787344581,0.01702478734458102
373,0.44594756921207424,0.01803756921207425,0.7270839756436899,0.017013975643689894
374,0.4465598442288049,0.018099844228804902,0.7281831639427988,0.017003163942798764
375,0.44687211924553555,0.018162119245535555,0.7282523522419077,0.016992352241907635
376,0.4470743942622662,0.018224394262266207,0.7288015405410165,0.01698154054101651
377,0.44778666927899685,0.018286669278996866,0.7291407288401254,0.016970728840125383
378,0.44836894429572755,0.018348944295727518,0.7296099171392343,0.016959917139234254
379,0.4490012193124581,0.01841121931245817,0.7303991054383432,0.016949105438343128
380,0.44994349432918884,0.01847349432918883,0.7315782937374521,0.016938293737452
381,0.4503757693459195,0.01853576934591948,0.732277482036561,0.016927482036560873
382,0.45123804436265014,0.018598044362650133,0.7326966703356698,0.016916670335669744
383,0.4514103193793808,0.018660319379380785,0.7324958586347786,0.016905858634778618
384,0.4520225943961115,0.018722594396111444,0.7333350469338874,0.01689504693388749
385,0.45272486941284207,0.018784869412842096,0.7331742352329963,0.016884235232996363
386,0.45267714442957274,0.01884714442957275,0.7333834235321052,0.016873423532105233
387,0.45325941944630344,0.018909419446303408,0.7339526118312141,0.016862611831214108
