epoch,stage,lr_pg0,lr_pg1,lr_pg2,train_box_loss,train_cls_loss,train_dfl_loss,kd_loss,reach_match_loss,reach_rank_loss,bn_running_var_max,bn_running_var_mean,bn_running_var_p95,bn_running_mean_abs_max,bn_num_layers,bn_stats_mode,bn_stats_frozen_this_epoch,nan_or_inf_detected,grad_norm_total,grad_norm_backbone,grad_norm_neck,grad_norm_head,effective_alpha_kd,kd_multiplier,ladd_kd_decay_mode,ladd_kd_decay_start_epoch,ladd_kd_decay_end_epoch,ladd_kd_final_mult,ladd_kd_stop_after_epoch,ladd_b_det_only,ladd_a2_det_only,effective_alpha_s_rec,effective_alpha_sep,effective_lambda_residual_aux,effective_lambda_reach,effective_lambda_match_inner,effective_lambda_rank_inner
19,a2,0.0019308000000000003,0.0006436,0.0019308000000000003,0.67058,0.3225,0.79686,0.0,0.00082,0.15309,178.875,0.8997980356216431,2.40234375,19.828125,106,normal,0,0,nan,nan,nan,nan,1.0,1.0,none,-1,-1,1.0,-1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
20,a2,0.0018714,0.0006238,0.0018714,0.66554,0.32025,0.79463,0.0,0.00082,0.15309,178.875,0.8997980356216431,2.40234375,19.828125,106,normal,0,0,nan,nan,nan,nan,1.0,1.0,none,-1,-1,1.0,-1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
21,a2,0.001812,0.000604,0.001812,0.66733,0.32347,0.79514,0.0,0.00082,0.15309,178.875,0.8997980356216431,2.40234375,19.828125,106,normal,0,0,nan,nan,nan,nan,1.0,1.0,none,-1,-1,1.0,-1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
22,a2,0.0017526000000000002,0.0005842000000000001,0.0017526000000000002,0.6641,0.31922,0.79363,0.0,0.00079,0.15309,178.875,0.8997980356216431,2.40234375,19.828125,106,normal,0,0,nan,nan,nan,nan,1.0,1.0,none,-1,-1,1.0,-1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
23,a2,0.0016932000000000002,0.0005644000000000001,0.0016932000000000002,0.66184,0.31951,0.79339,0.0,0.00077,0.15309,178.875,0.8997980356216431,2.40234375,19.828125,106,normal,0,0,nan,nan,nan,nan,1.0,1.0,none,-1,-1,1.0,-1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
24,a2,0.0016338000000000004,0.0005446000000000001,0.0016338000000000004,0.66075,0.31759,0.79383,0.0,0.00077,0.15309,178.875,0.8997980356216431,2.40234375,19.828125,106,normal,0,0,nan,nan,nan,nan,1.0,1.0,none,-1,-1,1.0,-1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
25,a2,0.0015744,0.0005248000000000001,0.0015744,0.65271,0.31651,0.7944,0.0,0.00076,0.15309,178.875,0.8997980356216431,2.40234375,19.828125,106,normal,0,0,nan,nan,nan,nan,1.0,1.0,none,-1,-1,1.0,-1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
26,a2,0.001515,0.000505,0.001515,0.65338,0.31688,0.79325,0.0,0.00075,0.15308,178.875,0.8997980356216431,2.40234375,19.828125,106,normal,0,0,nan,nan,nan,nan,1.0,1.0,none,-1,-1,1.0,-1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
27,a2,0.0014555999999999998,0.0004852,0.0014555999999999998,0.65149,0.31571,0.79464,0.0,0.00073,0.15308,178.875,0.8997980356216431,2.40234375,19.828125,106,normal,0,0,nan,nan,nan,nan,1.0,1.0,none,-1,-1,1.0,-1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
28,a2,0.0013962,0.0004654,0.0013962,0.6493,0.31374,0.79236,0.0,0.00072,0.15308,178.875,0.8997980356216431,2.40234375,19.828125,106,normal,0,0,nan,nan,nan,nan,1.0,1.0,none,-1,-1,1.0,-1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
29,a2,0.0013367999999999998,0.00044559999999999993,0.0013367999999999998,0.64579,0.31079,0.79179,0.0,0.00072,0.15308,178.875,0.8997980356216431,2.40234375,19.828125,106,normal,0,0,nan,nan,nan,nan,1.0,1.0,none,-1,-1,1.0,-1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
30,a2,0.0012774000000000001,0.00042580000000000005,0.0012774000000000001,0.64108,0.30999,0.79224,0.0,0.00071,0.15308,178.875,0.8997980356216431,2.40234375,19.828125,106,normal,0,0,nan,nan,nan,nan,1.0,1.0,none,-1,-1,1.0,-1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
31,a2,0.0012180000000000001,0.00040600000000000006,0.0012180000000000001,0.63826,0.31095,0.79328,0.0,0.00071,0.15308,178.875,0.8997980356216431,2.40234375,19.828125,106,normal,0,0,nan,nan,nan,nan,1.0,1.0,none,-1,-1,1.0,-1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
32,a2,0.0011586,0.0003862,0.0011586,0.63584,0.30779,0.79405,0.0,0.0007,0.15308,178.875,0.8997980356216431,2.40234375,19.828125,106,normal,0,0,nan,nan,nan,nan,1.0,1.0,none,-1,-1,1.0,-1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
33,a2,0.0010992,0.0003664,0.0010992,0.63318,0.30775,0.79107,0.0,0.00071,0.15308,178.875,0.8997980356216431,2.40234375,19.828125,106,normal,0,0,nan,nan,nan,nan,1.0,1.0,none,-1,-1,1.0,-1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
34,a2,0.0010398,0.00034659999999999997,0.0010398,0.63187,0.30703,0.79384,0.0,0.00069,0.15308,178.875,0.8997980356216431,2.40234375,19.828125,106,normal,0,0,nan,nan,nan,nan,1.0,1.0,none,-1,-1,1.0,-1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
35,a2,0.0009804,0.0003268,0.0009804,0.62262,0.30375,0.79318,0.0,0.00069,0.15308,178.875,0.8997980356216431,2.40234375,19.828125,106,normal,0,0,nan,nan,nan,nan,1.0,1.0,none,-1,-1,1.0,-1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
36,a2,0.0009210000000000002,0.00030700000000000004,0.0009210000000000002,0.62278,0.30305,0.79302,0.0,0.00068,0.15307,178.875,0.8997980356216431,2.40234375,19.828125,106,normal,0,0,nan,nan,nan,nan,1.0,1.0,none,-1,-1,1.0,-1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
37,a2,0.0008616,0.00028720000000000004,0.0008616,0.62524,0.30454,0.79141,0.0,0.00069,0.15308,178.875,0.8997980356216431,2.40234375,19.828125,106,normal,0,0,nan,nan,nan,nan,1.0,1.0,none,-1,-1,1.0,-1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
38,a2,0.0008022000000000001,0.00026740000000000005,0.0008022000000000001,0.62156,0.30323,0.79144,0.0,0.00068,0.15307,178.875,0.8997980356216431,2.40234375,19.828125,106,normal,0,0,nan,nan,nan,nan,1.0,1.0,none,-1,-1,1.0,-1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
39,a2,0.0007428,0.0002476,0.0007428,0.61675,0.3009,0.79183,0.0,0.00067,0.15307,178.875,0.8997980356216431,2.40234375,19.828125,106,normal,0,0,nan,nan,nan,nan,1.0,1.0,none,-1,-1,1.0,-1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
40,a2,0.0006833999999999999,0.00022779999999999998,0.0006833999999999999,0.61801,0.3013,0.791,0.0,0.00067,0.15307,178.875,0.8997980356216431,2.40234375,19.828125,106,normal,0,0,nan,nan,nan,nan,1.0,1.0,none,-1,-1,1.0,-1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
41,a2,0.0006239999999999999,0.00020799999999999996,0.0006239999999999999,0.61587,0.29976,0.79114,0.0,0.00066,0.15307,178.875,0.8997980356216431,2.40234375,19.828125,106,normal,0,0,nan,nan,nan,nan,1.0,1.0,none,-1,-1,1.0,-1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
42,a2,0.0005646000000000002,0.00018820000000000008,0.0005646000000000002,0.61145,0.30003,0.79027,0.0,0.00066,0.15307,178.875,0.8997980356216431,2.40234375,19.828125,106,normal,0,0,nan,nan,nan,nan,1.0,1.0,none,-1,-1,1.0,-1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
43,a2,0.0005052000000000001,0.00016840000000000005,0.0005052000000000001,0.60601,0.29745,0.78973,0.0,0.00066,0.15307,178.875,0.8997980356216431,2.40234375,19.828125,106,normal,0,0,nan,nan,nan,nan,1.0,1.0,none,-1,-1,1.0,-1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
44,a2,0.00044580000000000005,0.0001486,0.00044580000000000005,0.59812,0.29527,0.79129,0.0,0.00066,0.15307,178.875,0.8997980356216431,2.40234375,19.828125,106,normal,0,0,nan,nan,nan,nan,1.0,1.0,none,-1,-1,1.0,-1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
45,a2,0.0003864,0.00012880000000000001,0.0003864,0.60024,0.2955,0.79073,0.0,0.00065,0.15307,178.875,0.8997980356216431,2.40234375,19.828125,106,normal,0,0,nan,nan,nan,nan,1.0,1.0,none,-1,-1,1.0,-1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
46,a2,0.0003269999999999999,0.00010899999999999998,0.0003269999999999999,0.60313,0.29662,0.79128,0.0,0.00065,0.15307,178.875,0.8997980356216431,2.40234375,19.828125,106,normal,0,0,nan,nan,nan,nan,1.0,1.0,none,-1,-1,1.0,-1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
47,a2,0.0002675999999999999,8.919999999999996e-05,0.0002675999999999999,0.59668,0.29324,0.79014,0.0,0.00064,0.15307,178.875,0.8997980356216431,2.40234375,19.828125,106,normal,0,0,nan,nan,nan,nan,1.0,1.0,none,-1,-1,1.0,-1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
48,a2,0.00020820000000000013,6.940000000000005e-05,0.00020820000000000013,0.59711,0.29301,0.78794,0.0,0.00064,0.15307,178.875,0.8997980356216431,2.40234375,19.828125,106,normal,0,0,nan,nan,nan,nan,1.0,1.0,none,-1,-1,1.0,-1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
49,a2,0.00014880000000000012,4.960000000000004e-05,0.00014880000000000012,0.5979,0.29247,0.7912,0.0,0.00065,0.15307,178.875,0.8997980356216431,2.40234375,19.828125,106,normal,0,0,nan,nan,nan,nan,1.0,1.0,none,-1,-1,1.0,-1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
50,a2,8.940000000000006e-05,2.9800000000000023e-05,8.940000000000006e-05,0.58905,0.29173,0.79015,0.0,0.00064,0.15307,178.875,0.8997980356216431,2.40234375,19.828125,106,normal,0,0,nan,nan,nan,nan,1.0,1.0,none,-1,-1,1.0,-1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
