epoch,stage,lr_pg0,lr_pg1,lr_pg2,train_box_loss,train_cls_loss,train_dfl_loss,kd_loss,reach_match_loss,reach_rank_loss,cmdistill_pcc_levels,cmdistill_slrd_tokens,cmdistill_ibcld_candidate_ratio,cmdistill_ibcld_fg_count,cmdistill_ibcld_teacher_conf_added_count,cmdistill_ibcld_cls_loss,cmdistill_ibcld_box_loss,cmdistill_pcc_loss,cmdistill_relation_loss,cmdistill_ibcld_loss,cmdistill_total_loss,bn_running_var_max,bn_running_var_mean,bn_running_var_p95,bn_running_mean_abs_max,bn_num_layers,bn_stats_mode,bn_stats_frozen_this_epoch,nonfinite_metrics_or_cmdistill,nonfinite_bn_stats,nan_or_inf_detected,grad_norm_total,grad_norm_backbone,grad_norm_neck,grad_norm_head,base_alpha_kd,effective_alpha_kd,kd_multiplier,kd_warmup_active,ladd_kd_decay_mode,ladd_kd_decay_start_epoch,ladd_kd_decay_end_epoch,ladd_kd_final_mult,ladd_kd_stop_after_epoch,b_loss_warmup_mode,b_loss_warmup_start_epoch,b_loss_warmup_end_epoch,b_loss_warmup_final_mult,b_loss_warmup_scope,b_loss_warmup_multiplier,b_loss_warmup_active,ladd_b_a2_core,ladd_b_det_only,ladd_a2_det_only,effective_alpha_s_rec,effective_alpha_sep,effective_lambda_residual_aux,effective_lambda_reach,effective_lambda_match_inner,effective_lambda_rank_inner
11,b,0.0029988551188174736,0.0009996183729391577,0.0029988551188174736,2.56115,1.81389,1.38259,102.84051,0.01021,0.15457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.006674766540527,0.055362116545438766,0.1257874071598053,5.099613666534424,106,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
12,b,0.0029986147311552363,0.000999538243718412,0.0029986147311552363,2.5692,1.81731,1.38139,90.01497,0.00899,0.15432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.116766929626465,0.05837054178118706,0.12917892634868622,5.456173419952393,106,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
13,b,0.0029983514643185257,0.0009994504881061753,0.0029983514643185257,2.5578,1.79196,1.36883,63.49089,0.00766,0.15412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.710976600646973,0.05762631073594093,0.13163216412067413,4.957714080810547,106,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
14,b,0.002998065322367242,0.0009993551074557474,0.002998065322367242,2.5312,1.74488,1.3478,58.01211,0.00771,0.15413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.443532943725586,0.06042439118027687,0.13529647886753082,5.315327167510986,106,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
15,b,0.002997756309714049,0.0009992521032380164,0.002997756309714049,2.51714,1.73279,1.34176,53.52222,0.00887,0.15482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.363471031188965,0.061940036714076996,0.14012616872787476,5.463010787963867,106,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
16,b,0.002997424431124303,0.0009991414770414344,0.002997424431124303,2.52224,1.71671,1.34366,49.59389,0.00736,0.15413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.409850120544434,0.06372890621423721,0.14338205754756927,5.090110778808594,106,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
17,b,0.0029970696917159833,0.0009990232305719944,0.0029970696917159833,2.52428,1.71613,1.33502,47.27501,0.00725,0.15416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.491926193237305,0.06466134637594223,0.14808151125907898,5.2739973068237305,106,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
18,b,0.00299669209695961,0.0009988973656532034,0.00299669209695961,2.50485,1.70822,1.33167,44.88018,0.00701,0.15404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.89155101776123,0.0656723603606224,0.15141399204730988,5.543039798736572,106,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
19,b,0.002996291652678161,0.0009987638842260537,0.002996291652678161,2.51296,1.69726,1.33254,43.19979,0.00703,0.15413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.777982711791992,0.06777213513851166,0.15555177628993988,5.47349214553833,106,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
20,b,0.002995868365046983,0.0009986227883489944,0.002995868365046983,2.49118,1.68503,1.32582,41.18254,0.00674,0.15406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.895600318908691,0.07076955586671829,0.16051316261291504,5.700109481811523,106,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
21,b,0.002995422240593695,0.0009984740801978983,0.002995422240593695,2.49486,1.67047,1.32743,38.64142,0.00655,0.15395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.054251670837402,0.07164578139781952,0.16510918736457825,5.798663139343262,106,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
22,b,0.0029949532861980876,0.0009983177620660293,0.0029949532861980876,2.4757,1.65833,1.32509,37.84918,0.00629,0.15393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.047964096069336,0.07355540990829468,0.17003580927848816,5.6532182693481445,106,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
23,b,0.0029944615090920176,0.000998153836364006,0.0029944615090920176,2.46423,1.65349,1.31389,37.7119,0.00627,0.1539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.589391708374023,0.07453533262014389,0.16946078836917877,5.778014659881592,106,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
24,b,0.002993946916859297,0.0009979823056197657,0.002993946916859297,2.48694,1.64919,1.31583,36.26723,0.00622,0.15389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.090463638305664,0.07545232772827148,0.17773358523845673,6.027148723602295,106,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
25,b,0.002993409517435574,0.0009978031724785245,0.002993409517435574,2.47111,1.6297,1.31392,34.92152,0.00618,0.15395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.375710487365723,0.07716730237007141,0.17764164507389069,6.063046455383301,106,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
26,b,0.0029928493191082126,0.0009976164397027375,0.0029928493191082126,2.45925,1.61924,1.31225,33.90422,0.00583,0.15382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.910832405090332,0.07862608879804611,0.18139730393886566,6.302825450897217,106,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
27,b,0.002992266330516164,0.0009974221101720546,0.002992266330516164,2.45849,1.62749,1.30441,33.62371,0.00576,0.15382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.495881080627441,0.07942338287830353,0.18208257853984833,6.253957271575928,106,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
28,b,0.002991660560649833,0.0009972201868832778,0.002991660560649833,2.43877,1.61518,1.29448,32.1594,0.00577,0.15384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.596874237060547,0.08085804432630539,0.18872249126434326,6.175509452819824,106,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
29,b,0.002991032018850942,0.000997010672950314,0.002991032018850942,2.43395,1.59936,1.29667,31.80448,0.00548,0.15378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.51354217529297,0.08213475346565247,0.19231367111206055,6.232488632202148,106,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
30,b,0.002990380714812381,0.000996793571604127,0.002990380714812381,2.42961,1.59264,1.29854,31.51797,0.00549,0.15379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.50042152404785,0.08446931093931198,0.1945953518152237,6.273699760437012,106,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
31,b,0.0029897066585780653,0.0009965688861926884,0.0029897066585780653,2.43841,1.59059,1.29246,31.07816,0.00562,0.15383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.994083404541016,0.08549666404724121,0.19808414578437805,6.635602951049805,106,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
32,b,0.002989009860542776,0.0009963366201809253,0.002989009860542776,2.42801,1.58347,1.29099,31.16525,0.00564,0.15386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.63698387145996,0.08709558099508286,0.20194092392921448,6.752151012420654,106,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
33,b,0.0029882903314519997,0.0009960967771506667,0.0029882903314519997,2.42275,1.58412,1.2947,30.01122,0.00575,0.15385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.97413444519043,0.08883114159107208,0.2046830952167511,6.713698863983154,106,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
34,b,0.0029875480824017656,0.0009958493608005884,0.0029875480824017656,2.42089,1.57271,1.2815,30.45897,0.00543,0.15377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.04181480407715,0.08984353393316269,0.2064199298620224,6.761290073394775,106,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
35,b,0.0029867831248384727,0.0009955943749461575,0.0029867831248384727,2.41486,1.56888,1.28533,29.9572,0.00542,0.15377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.793672561645508,0.091560959815979,0.21307119727134705,6.662914752960205,106,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
36,b,0.002985995470558712,0.0009953318235195708,0.002985995470558712,2.40531,1.55654,1.27907,29.19456,0.00531,0.15375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.093534469604492,0.0921623632311821,0.21883216500282288,6.454617977142334,106,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
37,b,0.002985185131709088,0.000995061710569696,0.002985185131709088,2.38866,1.54182,1.27233,27.79151,0.0053,0.15376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.208852767944336,0.09464707225561142,0.22104457020759583,6.743436336517334,106,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
38,b,0.0029843521207860275,0.0009947840402620093,0.0029843521207860275,2.37938,1.52326,1.2788,28.09413,0.00522,0.15374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.663103103637695,0.09545373171567917,0.22070074081420898,6.966452121734619,106,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
39,b,0.0029834964506355896,0.0009944988168785298,0.0029834964506355896,2.39088,1.51795,1.27191,27.41315,0.00521,0.15376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.634214401245117,0.09677674621343613,0.22730517387390137,6.854619979858398,106,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
40,b,0.002982618134453266,0.0009942060448177553,0.002982618134453266,2.38793,1.51698,1.26668,27.31255,0.00527,0.15375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.60600471496582,0.09938063472509384,0.22954438626766205,6.867735862731934,106,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
