epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,train/t_rec_loss,train/reach_match_loss,train/reach_rank_loss,train/task_loss,train/kd_loss,train/s_rec_loss,train/d_pos_mean,train/d_neg_mean,train/rank_gap_mean,train/mask_mean,train/mask_std,train/mask_fg_mean,train/mask_bg_mean,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,val/t_rec_loss,val/reach_match_loss,val/reach_rank_loss,val/task_loss,val/kd_loss,val/s_rec_loss,val/d_pos_mean,val/d_neg_mean,val/rank_gap_mean,val/mask_mean,val/mask_std,val/mask_fg_mean,val/mask_bg_mean,phase_stop_fitness,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
14,1497.37,2.4652,1.73452,1.27855,0,0.0053,0.00561,0.15378,0.77475,0.42976,0.00225,0.00561,2.43664,2.43103,0.49353,0.07316,0.43649,0.49304,0.41022,0.32877,0.31773,0.13996,2.40074,1.72327,1.2143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13996,0.0299807,0.00999355,0.0299807,0.00999355,0.0299807,0.00999355,0.0299807,0.00999355
15,1603.15,2.44335,1.71975,1.27202,0,0.00522,0.00565,0.15379,0.777,0.46887,0.00237,0.00565,2.43336,2.4277,0.49687,0.07345,0.44333,0.49634,0.40727,0.32081,0.29716,0.12912,2.43845,1.67196,1.23303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12912,0.0299776,0.00999252,0.0299776,0.00999252,0.0299776,0.00999252,0.0299776,0.00999252
16,1708.54,2.43612,1.68722,1.26665,0,0.00513,0.00576,0.1538,0.76967,0.48885,0.00251,0.00576,2.42876,2.423,0.49713,0.07383,0.44606,0.49676,0.44575,0.30482,0.30949,0.13957,2.44002,1.76084,1.21216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13957,0.0299742,0.00999141,0.0299742,0.00999141,0.0299742,0.00999141,0.0299742,0.00999141
17,1813.76,2.40556,1.66569,1.25279,0,0.00507,0.00534,0.15374,0.76003,0.52689,0.00265,0.00534,2.43079,2.42545,0.49531,0.0723,0.4439,0.49461,0.45394,0.35985,0.35034,0.15687,2.37451,1.56341,1.19259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15687,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023
18,1918.71,2.3949,1.64921,1.25474,0,0.00501,0.0055,0.15376,0.75245,0.55591,0.0028,0.0055,2.43409,2.42859,0.49661,0.07184,0.44602,0.49651,0.47326,0.33735,0.34015,0.15336,2.37042,1.55152,1.19817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15336,0.0299669,0.00998897,0.0299669,0.00998897,0.0299669,0.00998897,0.0299669,0.00998897
19,2023.81,2.38323,1.62641,1.23741,0,0.00494,0.00548,0.15376,0.7503,0.56686,0.00295,0.00548,2.44052,2.43504,0.49809,0.07242,0.44742,0.49718,0.4417,0.364,0.35342,0.16245,2.36644,1.55991,1.1902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16245,0.0299629,0.00998764,0.0299629,0.00998764,0.0299629,0.00998764,0.0299629,0.00998764
20,2128.51,2.37288,1.61396,1.23552,0,0.00489,0.00535,0.15374,0.74391,0.62137,0.0031,0.00535,2.43582,2.43047,0.49986,0.07313,0.44772,0.49946,0.51328,0.37121,0.38303,0.17458,2.33676,1.52944,1.18295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17458,0.0299587,0.00998623,0.0299587,0.00998623,0.0299587,0.00998623,0.0299587,0.00998623
21,2234.5,2.3556,1.59119,1.231,0,0.00482,0.00574,0.1538,0.73896,0.6679,0.00326,0.00574,2.43926,2.43352,0.50073,0.07334,0.44526,0.49988,0.48979,0.38365,0.38962,0.18117,2.28148,1.50902,1.17237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18117,0.0299542,0.00998474,0.0299542,0.00998474,0.0299542,0.00998474,0.0299542,0.00998474
22,2340.12,2.34428,1.57562,1.22309,0,0.0048,0.00571,0.1538,0.73767,0.67271,0.00339,0.00571,2.44178,2.43607,0.49932,0.07311,0.44269,0.49837,0.42177,0.38009,0.37068,0.17945,2.30748,1.4848,1.16742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17945,0.0299495,0.00998318,0.0299495,0.00998318,0.0299495,0.00998318,0.0299495,0.00998318
23,2444.61,2.32964,1.56246,1.21937,0,0.00473,0.00591,0.15382,0.72792,0.70242,0.0036,0.00591,2.44873,2.44282,0.50117,0.07339,0.44918,0.49987,0.49221,0.4128,0.40704,0.19589,2.25167,1.42051,1.16127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19589,0.0299446,0.00998154,0.0299446,0.00998154,0.0299446,0.00998154,0.0299446,0.00998154
